sni_id,year,ant_for_hundra
jur_andra,2000,
jur_andra,2001,
jur_andra,2002,
jur_andra,2003,
jur_andra,2004,
jur_andra,2005,
jur_andra,2006,4
jur_andra,2007,4
jur_andra,2008,5
jur_andra,2009,6
jur_andra,2010,2
jur_andra,2011,5
jur_andra,2012,5
jur_andra,2013,5
jur_andra,2014,5
jur_andra,2015,8
jur_andra,2016,9
jur_andra,2017,9
jur_andra,2018,13
jur_andra,2019,13
jur_andra,2020,15
jur_andra,2021,18
jur_andra,2022,
jur_andra,2023,
andra_kons,2000,
andra_kons,2001,
andra_kons,2002,
andra_kons,2003,
andra_kons,2004,
andra_kons,2005,
andra_kons,2006,3
andra_kons,2007,4
andra_kons,2008,1
andra_kons,2009,3
andra_kons,2010,3
andra_kons,2011,6
andra_kons,2012,5
andra_kons,2013,6
andra_kons,2014,9
andra_kons,2015,7
andra_kons,2016,5
andra_kons,2017,3
andra_kons,2018,9
andra_kons,2019,13
andra_kons,2020,9
andra_kons,2021,7
andra_kons,2022,
andra_kons,2023,
anlaggningar_for,2000,
anlaggningar_for,2001,
anlaggningar_for,2002,
anlaggningar_for,2003,
anlaggningar_for,2004,
anlaggningar_for,2005,
anlaggningar_for,2006,0
anlaggningar_for,2007,0
anlaggningar_for,2008,0
anlaggningar_for,2009,0
anlaggningar_for,2010,0
anlaggningar_for,2011,0
anlaggningar_for,2012,0
anlaggningar_for,2013,0
anlaggningar_for,2014,0
anlaggningar_for,2015,0
anlaggningar_for,2016,0
anlaggningar_for,2017,0
anlaggningar_for,2018,1
anlaggningar_for,2019,1
anlaggningar_for,2020,1
anlaggningar_for,2021,0
anlaggningar_for,2022,
anlaggningar_for,2023,
anlaggningsentreprenorer,2000,
anlaggningsentreprenorer,2001,
anlaggningsentreprenorer,2002,
anlaggningsentreprenorer,2003,
anlaggningsentreprenorer,2004,
anlaggningsentreprenorer,2005,
anlaggningsentreprenorer,2006,12
anlaggningsentreprenorer,2007,12
anlaggningsentreprenorer,2008,10
anlaggningsentreprenorer,2009,8
anlaggningsentreprenorer,2010,12
anlaggningsentreprenorer,2011,9
anlaggningsentreprenorer,2012,10
anlaggningsentreprenorer,2013,12
anlaggningsentreprenorer,2014,10
anlaggningsentreprenorer,2015,9
anlaggningsentreprenorer,2016,9
anlaggningsentreprenorer,2017,8
anlaggningsentreprenorer,2018,12
anlaggningsentreprenorer,2019,18
anlaggningsentreprenorer,2020,18
anlaggningsentreprenorer,2021,19
anlaggningsentreprenorer,2022,
anlaggningsentreprenorer,2023,
annan_indu,2000,
annan_indu,2001,
annan_indu,2002,
annan_indu,2003,
annan_indu,2004,
annan_indu,2005,
annan_indu,2006,2
annan_indu,2007,2
annan_indu,2008,4
annan_indu,2009,4
annan_indu,2010,4
annan_indu,2011,4
annan_indu,2012,4
annan_indu,2013,4
annan_indu,2014,4
annan_indu,2015,3
annan_indu,2016,3
annan_indu,2017,3
annan_indu,2018,3
