sni_id,year,ant_kem
jordbruksforetag_serv,2007,
jordbruksforetag_serv,2008,1107
jordbruksforetag_serv,2009,1072
jordbruksforetag_serv,2010,1022
jordbruksforetag_serv,2011,1082
jordbruksforetag_serv,2012,1116
jordbruksforetag_serv,2013,1190
jordbruksforetag_serv,2014,1254
jordbruksforetag_serv,2015,1252
jordbruksforetag_serv,2016,1299
jordbruksforetag_serv,2017,1502
jordbruksforetag_serv,2018,1659
jordbruksforetag_serv,2019,1748
jordbruksforetag_serv,2020,1753
jordbruksforetag_serv,2021,1825
jordbruksforetag_serv,2022,1947
jordbruksforetag_serv,2023,
skogsbruksforetag,2007,
skogsbruksforetag,2008,230
skogsbruksforetag,2009,216
skogsbruksforetag,2010,191
skogsbruksforetag,2011,193
skogsbruksforetag,2012,205
skogsbruksforetag,2013,223
skogsbruksforetag,2014,214
skogsbruksforetag,2015,216
skogsbruksforetag,2016,226
skogsbruksforetag,2017,268
skogsbruksforetag,2018,294
skogsbruksforetag,2019,335
skogsbruksforetag,2020,339
skogsbruksforetag,2021,338
skogsbruksforetag,2022,341
skogsbruksforetag,2023,
fisk,2007,
fisk,2008,4
fisk,2009,4
fisk,2010,7
fisk,2011,11
fisk,2012,13
fisk,2013,17
fisk,2014,15
fisk,2015,16
fisk,2016,19
fisk,2017,22
fisk,2018,22
fisk,2019,29
fisk,2020,29
fisk,2021,32
fisk,2022,30
fisk,2023,
utvinning_min,2007,
utvinning_min,2008,217
utvinning_min,2009,201
utvinning_min,2010,198
utvinning_min,2011,207
utvinning_min,2012,219
utvinning_min,2013,239
utvinning_min,2014,254
utvinning_min,2015,261
utvinning_min,2016,299
utvinning_min,2017,299
utvinning_min,2018,301
utvinning_min,2019,277
utvinning_min,2020,284
utvinning_min,2021,291
utvinning_min,2022,281
utvinning_min,2023,
livsmedel,2007,
livsmedel,2008,1804
livsmedel,2009,1735
livsmedel,2010,1735
livsmedel,2011,1766
livsmedel,2012,1868
livsmedel,2013,1861
livsmedel,2014,1819
livsmedel,2015,1911
livsmedel,2016,2016
livsmedel,2017,2095
livsmedel,2018,2209
livsmedel,2019,2378
livsmedel,2020,2349
livsmedel,2021,2395
livsmedel,2022,2497
livsmedel,2023,
drycker,2007,
drycker,2008,9
drycker,2009,14
drycker,2010,19
drycker,2011,19
drycker,2012,23
drycker,2013,26
drycker,2014,32
drycker,2015,36
drycker,2016,45
drycker,2017,53
drycker,2018,65
drycker,2019,95
drycker,2020,100
drycker,2021,99
drycker,2022,102
drycker,2023,
tobaksindustri,2007,
tobaksindustri,2008,12
tobaksindustri,2009,11
tobaksindustri,2010,7
tobaksindustri,2011,8
tobaksindustri,2012,8
tobaksindustri,2013,9
tobaksindustri,2014,8
tobaksindustri,2015,9
tobaksindustri,2016,11
tobaksindustri,2017,9
tobaksindustri,2018,38
tobaksindustri,2019,59
tobaksindustri,2020,67
tobaksindustri,2021,101
tobaksindustri,2022,115
tobaksindustri,2023,
textilindustri,2007,
textilindustri,2008,1624
textilindustri,2009,1545
textilindustri,2010,1679
textilindustri,2011,1409
textilindustri,2012,1162
textilindustri,2013,1077
textilindustri,2014,920
textilindustri,2015,902
textilindustri,2016,809
textilindustri,2017,890
textilindustri,2018,929
textilindustri,2019,1005
textilindustri,2020,895
textilindustri,2021,815
textilindustri,2022,807
textilindustri,2023,
bekladnadsindustri,2007,
bekladnadsindustri,2008,12
bekladnadsindustri,2009,11
bekladnadsindustri,2010,11
bekladnadsindustri,2011,11
bekladnadsindustri,2012,7
bekladnadsindustri,2013,7
bekladnadsindustri,2014,4
bekladnadsindustri,2015,5
bekladnadsindustri,2016,4
bekladnadsindustri,2017,6
bekladnadsindustri,2018,7
bekladnadsindustri,2019,7
bekladnadsindustri,2020,7
bekladnadsindustri,2021,9
bekladnadsindustri,2022,9
bekladnadsindustri,2023,
industri_for_lad,2007,
industri_for_lad,2008,617
industri_for_lad,2009,650
industri_for_lad,2010,634
industri_for_lad,2011,630
industri_for_lad,2012,591
industri_for_lad,2013,502
industri_for_lad,2014,443
industri_for_lad,2015,408
industri_for_lad,2016,397
industri_for_lad,2017,361
industri_for_lad,2018,359
industri_for_lad,2019,312
industri_for_lad,2020,316
industri_for_lad,2021,311
industri_for_lad,2022,331
industri_for_lad,2023,
industri_for_tra,2007,
industri_for_tra,2008,1287
industri_for_tra,2009,1269
industri_for_tra,2010,3029
industri_for_tra,2011,3051
industri_for_tra,2012,3145
industri_for_tra,2013,2884
industri_for_tra,2014,3104
industri_for_tra,2015,3572
industri_for_tra,2016,4413
industri_for_tra,2017,3669
industri_for_tra,2018,3976
industri_for_tra,2019,4667
industri_for_tra,2020,1528
industri_for_tra,2021,5330
industri_for_tra,2022,5993
industri_for_tra,2023,
massa_papp,2007,
massa_papp,2008,3242
massa_papp,2009,3221
massa_papp,2010,3228
massa_papp,2011,3264
massa_papp,2012,3251
massa_papp,2013,3392
massa_papp,2014,3240
massa_papp,2015,3229
massa_papp,2016,3156
massa_papp,2017,3277
massa_papp,2018,3470
massa_papp,2019,3564
massa_papp,2020,3622
massa_papp,2021,3633
massa_papp,2022,3827
massa_papp,2023,
grafisk,2007,
grafisk,2008,2055
grafisk,2009,1737
grafisk,2010,1646
grafisk,2011,1554
grafisk,2012,2132
grafisk,2013,2069
grafisk,2014,2273
grafisk,2015,2759
grafisk,2016,2876
grafisk,2017,2948
grafisk,2018,3189
grafisk,2019,3629
grafisk,2020,3705
grafisk,2021,3891
grafisk,2022,3997
grafisk,2023,
industri_for_sten,2007,
industri_for_sten,2008,802
industri_for_sten,2009,639
industri_for_sten,2010,658
industri_for_sten,2011,691
industri_for_sten,2012,692
industri_for_sten,2013,715
industri_for_sten,2014,662
industri_for_sten,2015,656
industri_for_sten,2016,672
industri_for_sten,2017,710
industri_for_sten,2018,784
industri_for_sten,2019,800
industri_for_sten,2020,809
industri_for_sten,2021,805
industri_for_sten,2022,856
industri_for_sten,2023,
kemikalier,2007,
kemikalier,2008,12545
kemikalier,2009,13086
kemikalier,2010,13791
kemikalier,2011,14274
kemikalier,2012,14376
kemikalier,2013,15569
kemikalier,2014,15440
kemikalier,2015,16598
kemikalier,2016,17655
kemikalier,2017,17639
kemikalier,2018,18521
kemikalier,2019,18413
kemikalier,2020,17492
kemikalier,2021,19216
kemikalier,2022,19529
kemikalier,2023,
farmaceutiska_basp,2007,
farmaceutiska_basp,2008,1219
farmaceutiska_basp,2009,1222
farmaceutiska_basp,2010,1184
farmaceutiska_basp,2011,1210
farmaceutiska_basp,2012,1268
farmaceutiska_basp,2013,1292
farmaceutiska_basp,2014,1368
farmaceutiska_basp,2015,1315
farmaceutiska_basp,2016,1333
farmaceutiska_basp,2017,1410
farmaceutiska_basp,2018,1510
farmaceutiska_basp,2019,1472
farmaceutiska_basp,2020,1446
farmaceutiska_basp,2021,1567
farmaceutiska_basp,2022,1740
farmaceutiska_basp,2023,
gummi,2007,
gummi,2008,6620
gummi,2009,8617
gummi,2010,9776
gummi,2011,10108
gummi,2012,11230
gummi,2013,11098
gummi,2014,11123
gummi,2015,10922
gummi,2016,10980
gummi,2017,10643
gummi,2018,10863
gummi,2019,10584
gummi,2020,11094
gummi,2021,11804
gummi,2022,12474
gummi,2023,
icke_met_andra,2007,
icke_met_andra,2008,1207
icke_met_andra,2009,1243
icke_met_andra,2010,1247
icke_met_andra,2011,1388
icke_met_andra,2012,1517
icke_met_andra,2013,1563
icke_met_andra,2014,1573
icke_met_andra,2015,1485
icke_met_andra,2016,1475
icke_met_andra,2017,1442
icke_met_andra,2018,1517
icke_met_andra,2019,1574
icke_met_andra,2020,1509
icke_met_andra,2021,1569
icke_met_andra,2022,1624
icke_met_andra,2023,
metaller,2007,
metaller,2008,1276
metaller,2009,1292
metaller,2010,1335
metaller,2011,1383
metaller,2012,1377
metaller,2013,1399
metaller,2014,1572
metaller,2015,1740
metaller,2016,1811
metaller,2017,1824
metaller,2018,1786
metaller,2019,1734
metaller,2020,1645
metaller,2021,1486
metaller,2022,1535
metaller,2023,
industri_for_met,2007,
industri_for_met,2008,6400
industri_for_met,2009,6419
industri_for_met,2010,6331
industri_for_met,2011,7149
industri_for_met,2012,7029
industri_for_met,2013,6759
industri_for_met,2014,6651
industri_for_met,2015,6922
industri_for_met,2016,7085
industri_for_met,2017,7744
industri_for_met,2018,8200
industri_for_met,2019,8122
industri_for_met,2020,8184
industri_for_met,2021,7654
industri_for_met,2022,7785
industri_for_met,2023,
datorer_elek,2007,
datorer_elek,2008,506
datorer_elek,2009,457
datorer_elek,2010,462
datorer_elek,2011,456
datorer_elek,2012,467
datorer_elek,2013,502
datorer_elek,2014,494
datorer_elek,2015,619
datorer_elek,2016,632
datorer_elek,2017,601
datorer_elek,2018,519
datorer_elek,2019,528
datorer_elek,2020,502
datorer_elek,2021,337
datorer_elek,2022,350
datorer_elek,2023,
elapparatur,2007,
elapparatur,2008,738
elapparatur,2009,727
elapparatur,2010,722
elapparatur,2011,681
elapparatur,2012,665
elapparatur,2013,629
elapparatur,2014,637
elapparatur,2015,606
elapparatur,2016,584
elapparatur,2017,564
elapparatur,2018,568
elapparatur,2019,529
elapparatur,2020,450
elapparatur,2021,446
elapparatur,2022,485
elapparatur,2023,
ovrig_mask,2007,
ovrig_mask,2008,1890
ovrig_mask,2009,1911
ovrig_mask,2010,2009
ovrig_mask,2011,2031
ovrig_mask,2012,1966
ovrig_mask,2013,1879
ovrig_mask,2014,1697
ovrig_mask,2015,1847
ovrig_mask,2016,1734
ovrig_mask,2017,1886
ovrig_mask,2018,1947
ovrig_mask,2019,1970
ovrig_mask,2020,1762
ovrig_mask,2021,1610
ovrig_mask,2022,1713
ovrig_mask,2023,
industri_for_mot,2007,
industri_for_mot,2008,1275
industri_for_mot,2009,1364
industri_for_mot,2010,1350
industri_for_mot,2011,1324
industri_for_mot,2012,1249
industri_for_mot,2013,1259
industri_for_mot,2014,1161
industri_for_mot,2015,1319
industri_for_mot,2016,1139
industri_for_mot,2017,1402
industri_for_mot,2018,1393
industri_for_mot,2019,1565
industri_for_mot,2020,1528
industri_for_mot,2021,1498
industri_for_mot,2022,1827
industri_for_mot,2023,
andra_tran,2007,
andra_tran,2008,1128
andra_tran,2009,1051
andra_tran,2010,1045
andra_tran,2011,1005
andra_tran,2012,959
andra_tran,2013,875
andra_tran,2014,868
andra_tran,2015,891
andra_tran,2016,828
andra_tran,2017,820
andra_tran,2018,754
andra_tran,2019,640
andra_tran,2020,598
andra_tran,2021,585
andra_tran,2022,573
andra_tran,2023,
mobelindustri,2007,
mobelindustri,2008,768
mobelindustri,2009,732
mobelindustri,2010,2436
mobelindustri,2011,2408
mobelindustri,2012,2504
mobelindustri,2013,2485
mobelindustri,2014,3289
mobelindustri,2015,3709
mobelindustri,2016,4399
mobelindustri,2017,3771
mobelindustri,2018,3967
mobelindustri,2019,4649
mobelindustri,2020,1427
mobelindustri,2021,5343
mobelindustri,2022,6113
mobelindustri,2023,
andra_till,2007,
andra_till,2008,156
andra_till,2009,246
andra_till,2010,318
andra_till,2011,379
andra_till,2012,512
andra_till,2013,613
andra_till,2014,738
andra_till,2015,957
andra_till,2016,1160
andra_till,2017,1825
andra_till,2018,2307
andra_till,2019,2839
andra_till,2020,3166
andra_till,2021,3532
andra_till,2022,3839
andra_till,2023,
el_gas,2007,
el_gas,2008,397
el_gas,2009,429
el_gas,2010,473
el_gas,2011,503
el_gas,2012,545
el_gas,2013,554
el_gas,2014,542
el_gas,2015,551
el_gas,2016,580
el_gas,2017,526
el_gas,2018,555
el_gas,2019,617
el_gas,2020,537
el_gas,2021,611
el_gas,2022,631
el_gas,2023,
vattenforsorjning_e,2007,
vattenforsorjning_e,2008,194
vattenforsorjning_e,2009,205
vattenforsorjning_e,2010,215
vattenforsorjning_e,2011,207
vattenforsorjning_e,2012,242
vattenforsorjning_e,2013,256
vattenforsorjning_e,2014,256
vattenforsorjning_e,2015,270
vattenforsorjning_e,2016,290
vattenforsorjning_e,2017,417
vattenforsorjning_e,2018,397
vattenforsorjning_e,2019,445
vattenforsorjning_e,2020,401
vattenforsorjning_e,2021,465
vattenforsorjning_e,2022,499
vattenforsorjning_e,2023,
avloppsreningstjanster_avlo,2007,
avloppsreningstjanster_avlo,2008,695
avloppsreningstjanster_avlo,2009,769
avloppsreningstjanster_avlo,2010,625
avloppsreningstjanster_avlo,2011,623
avloppsreningstjanster_avlo,2012,615
avloppsreningstjanster_avlo,2013,667
avloppsreningstjanster_avlo,2014,662
avloppsreningstjanster_avlo,2015,682
avloppsreningstjanster_avlo,2016,685
avloppsreningstjanster_avlo,2017,632
avloppsreningstjanster_avlo,2018,642
avloppsreningstjanster_avlo,2019,582
avloppsreningstjanster_avlo,2020,618
avloppsreningstjanster_avlo,2021,593
avloppsreningstjanster_avlo,2022,594
avloppsreningstjanster_avlo,2023,
avfallshantering_ater,2007,
avfallshantering_ater,2008,30
avfallshantering_ater,2009,24
avfallshantering_ater,2010,29
avfallshantering_ater,2011,33
avfallshantering_ater,2012,51
avfallshantering_ater,2013,59
avfallshantering_ater,2014,62
avfallshantering_ater,2015,62
avfallshantering_ater,2016,63
avfallshantering_ater,2017,62
avfallshantering_ater,2018,66
avfallshantering_ater,2019,62
avfallshantering_ater,2020,46
avfallshantering_ater,2021,38
avfallshantering_ater,2022,43
avfallshantering_ater,2023,
byggentreprenorer,2007,
byggentreprenorer,2008,0
byggentreprenorer,2009,0
byggentreprenorer,2010,0
byggentreprenorer,2011,0
byggentreprenorer,2012,0
byggentreprenorer,2013,0
byggentreprenorer,2014,0
byggentreprenorer,2015,0
byggentreprenorer,2016,0
byggentreprenorer,2017,0
byggentreprenorer,2018,0
byggentreprenorer,2019,0
byggentreprenorer,2020,0
byggentreprenorer,2021,0
byggentreprenorer,2022,0
byggentreprenorer,2023,
anlaggningsentreprenorer,2007,
anlaggningsentreprenorer,2008,0
anlaggningsentreprenorer,2009,0
anlaggningsentreprenorer,2010,0
anlaggningsentreprenorer,2011,0
anlaggningsentreprenorer,2012,0
anlaggningsentreprenorer,2013,0
anlaggningsentreprenorer,2014,0
anlaggningsentreprenorer,2015,0
anlaggningsentreprenorer,2016,0
anlaggningsentreprenorer,2017,0
anlaggningsentreprenorer,2018,0
anlaggningsentreprenorer,2019,0
anlaggningsentreprenorer,2020,0
anlaggningsentreprenorer,2021,0
anlaggningsentreprenorer,2022,0
anlaggningsentreprenorer,2023,
specialiserade_bygg,2007,
specialiserade_bygg,2008,0
specialiserade_bygg,2009,0
specialiserade_bygg,2010,0
specialiserade_bygg,2011,0
specialiserade_bygg,2012,0
specialiserade_bygg,2013,0
specialiserade_bygg,2014,0
specialiserade_bygg,2015,0
specialiserade_bygg,2016,0
specialiserade_bygg,2017,0
specialiserade_bygg,2018,0
specialiserade_bygg,2019,0
specialiserade_bygg,2020,0
specialiserade_bygg,2021,0
specialiserade_bygg,2022,0
specialiserade_bygg,2023,
handel_med,2007,
handel_med,2008,6368
handel_med,2009,6464
handel_med,2010,6894
handel_med,2011,7160
handel_med,2012,7684
handel_med,2013,7971
handel_med,2014,8272
handel_med,2015,8942
handel_med,2016,9288
handel_med,2017,9996
handel_med,2018,10374
handel_med,2019,11967
handel_med,2020,12430
handel_med,2021,12892
handel_med,2022,13699
handel_med,2023,
parti_prov,2007,
parti_prov,2008,4631
parti_prov,2009,4640
parti_prov,2010,4870
parti_prov,2011,5360
