sni_id,year,bnp_fast
andra_tran,2008,21012
andra_tran,2009,22760
andra_tran,2010,19593
andra_tran,2011,20106
andra_tran,2012,17656
andra_tran,2013,27629
andra_tran,2014,28074
andra_tran,2015,27774
andra_tran,2016,26503
andra_tran,2017,27713
andra_tran,2018,25494
andra_tran,2019,26328
andra_tran,2020,22493
andra_tran,2021,30590
andra_tran,2022,23460
andra_tran,2023,34092
annan_serv,2008,32956
annan_serv,2009,31921
annan_serv,2010,33514
annan_serv,2011,34611
annan_serv,2012,33468
annan_serv,2013,33039
annan_serv,2014,33954
annan_serv,2015,34619
annan_serv,2016,36653
annan_serv,2017,37718
annan_serv,2018,38252
annan_serv,2019,37442
annan_serv,2020,34957
annan_serv,2021,36922
annan_serv,2022,37513
annan_serv,2023,40656
arbetsformedling_rese,2008,107383
arbetsformedling_rese,2009,98750
arbetsformedling_rese,2010,104244
arbetsformedling_rese,2011,112642
arbetsformedling_rese,2012,110885
arbetsformedling_rese,2013,110515
arbetsformedling_rese,2014,114572
arbetsformedling_rese,2015,123473
arbetsformedling_rese,2016,127822
arbetsformedling_rese,2017,128450
arbetsformedling_rese,2018,130538
arbetsformedling_rese,2019,132060
arbetsformedling_rese,2020,116487
arbetsformedling_rese,2021,127804
arbetsformedling_rese,2022,140992
arbetsformedling_rese,2023,140763
arkitekt_tekn,2008,74171
arkitekt_tekn,2009,61924
arkitekt_tekn,2010,75701
arkitekt_tekn,2011,77330
arkitekt_tekn,2012,79394
arkitekt_tekn,2013,90464
arkitekt_tekn,2014,93589
arkitekt_tekn,2015,96653
arkitekt_tekn,2016,103151
arkitekt_tekn,2017,107390
arkitekt_tekn,2018,111163
arkitekt_tekn,2019,117227
arkitekt_tekn,2020,117160
arkitekt_tekn,2021,112273
arkitekt_tekn,2022,130121
arkitekt_tekn,2023,133571
banker,2008,72631
banker,2009,76356
banker,2010,78900
banker,2011,83317
banker,2012,85130
banker,2013,91459
banker,2014,95682
banker,2015,104005
banker,2016,106977
banker,2017,109449
banker,2018,113419
banker,2019,113234
banker,2020,122827
banker,2021,125108
banker,2022,129137
banker,2023,130410
bnp_marknad,2008,4187551
bnp_marknad,2009,4009345
bnp_marknad,2010,4239913
bnp_marknad,2011,4374059
bnp_marknad,2012,4355933
bnp_marknad,2013,4405489
bnp_marknad,2014,4506629
bnp_marknad,2015,4704391
bnp_marknad,2016,4804650
bnp_marknad,2017,4895113
bnp_marknad,2018,4981769
bnp_marknad,2019,5111705
bnp_marknad,2020,5012855
bnp_marknad,2021,5274820
bnp_marknad,2022,5341042
bnp_marknad,2023,5330143
bygg,2008,248992
bygg,2009,253085
bygg,2010,250234
bygg,2011,258767
bygg,2012,257833
bygg,2013,247470
bygg,2014,255092
bygg,2015,272065
bygg,2016,266654
bygg,2017,278171
bygg,2018,289932
bygg,2019,299445
bygg,2020,296169
bygg,2021,300485
bygg,2022,310164
bygg,2023,308509
dataprogrammering_data,2008,100702
dataprogrammering_data,2009,105900
dataprogrammering_data,2010,120290
dataprogrammering_data,2011,133786
dataprogrammering_data,2012,133501
dataprogrammering_data,2013,146703
dataprogrammering_data,2014,156011
dataprogrammering_data,2015,188056
dataprogrammering_data,2016,172036
dataprogrammering_data,2017,147414
dataprogrammering_data,2018,184148
dataprogrammering_data,2019,209678
dataprogrammering_data,2020,233898
dataprogrammering_data,2021,259599
dataprogrammering_data,2022,262452
dataprogrammering_data,2023,252072
datorer_elek,2008,35627
datorer_elek,2009,30143
datorer_elek,2010,26994
datorer_elek,2011,22398
datorer_elek,2012,28489
datorer_elek,2013,27589
datorer_elek,2014,24860
datorer_elek,2015,23200
datorer_elek,2016,22025
datorer_elek,2017,23170
datorer_elek,2018,21310
datorer_elek,2019,24550
datorer_elek,2020,25271
datorer_elek,2021,31447
datorer_elek,2022,30908
datorer_elek,2023,31007
detaljhandel_ut_mot,2008,130625
detaljhandel_ut_mot,2009,130935
detaljhandel_ut_mot,2010,137497
detaljhandel_ut_mot,2011,138501
detaljhandel_ut_mot,2012,139757
detaljhandel_ut_mot,2013,148137
detaljhandel_ut_mot,2014,153873
detaljhandel_ut_mot,2015,155105
detaljhandel_ut_mot,2016,158639
detaljhandel_ut_mot,2017,158930
detaljhandel_ut_mot,2018,159909
detaljhandel_ut_mot,2019,161859
detaljhandel_ut_mot,2020,161474
detaljhandel_ut_mot,2021,174437
detaljhandel_ut_mot,2022,156395
detaljhandel_ut_mot,2023,150146
el_gas,2008,75672
el_gas,2009,72251
el_gas,2010,75551
el_gas,2011,78633
el_gas,2012,89054
el_gas,2013,79979
el_gas,2014,83755
el_gas,2015,84629
