sni_id,year,bnp_lop
andra_tran,2008,10385
andra_tran,2009,14532
andra_tran,2010,13554
andra_tran,2011,13754
andra_tran,2012,13104
andra_tran,2013,21094
andra_tran,2014,22477
andra_tran,2015,24815
andra_tran,2016,24220
andra_tran,2017,25269
andra_tran,2018,23265
andra_tran,2019,25537
andra_tran,2020,22493
andra_tran,2021,29714
andra_tran,2022,22916
andra_tran,2023,34409
annan_serv,2008,24940
annan_serv,2009,24130
annan_serv,2010,26237
annan_serv,2011,28091
annan_serv,2012,28177
annan_serv,2013,28883
annan_serv,2014,29962
annan_serv,2015,31218
annan_serv,2016,33765
annan_serv,2017,35497
annan_serv,2018,36681
annan_serv,2019,36779
annan_serv,2020,34957
annan_serv,2021,37766
annan_serv,2022,39504
annan_serv,2023,45598
arbetsformedling_rese,2008,77753
arbetsformedling_rese,2009,73248
arbetsformedling_rese,2010,80968
arbetsformedling_rese,2011,89220
arbetsformedling_rese,2012,90222
arbetsformedling_rese,2013,92622
arbetsformedling_rese,2014,96887
arbetsformedling_rese,2015,106577
arbetsformedling_rese,2016,114369
arbetsformedling_rese,2017,121645
arbetsformedling_rese,2018,127590
arbetsformedling_rese,2019,129518
arbetsformedling_rese,2020,116487
arbetsformedling_rese,2021,130130
arbetsformedling_rese,2022,150702
arbetsformedling_rese,2023,160983
arkitekt_tekn,2008,66538
arkitekt_tekn,2009,56468
arkitekt_tekn,2010,67511
arkitekt_tekn,2011,68859
arkitekt_tekn,2012,70990
arkitekt_tekn,2013,80450
arkitekt_tekn,2014,84709
arkitekt_tekn,2015,88830
arkitekt_tekn,2016,94995
arkitekt_tekn,2017,101864
arkitekt_tekn,2018,107362
arkitekt_tekn,2019,114409
arkitekt_tekn,2020,117160
arkitekt_tekn,2021,112069
arkitekt_tekn,2022,129020
arkitekt_tekn,2023,138273
banker,2008,64833
banker,2009,86884
banker,2010,83335
banker,2011,88484
banker,2012,98130
banker,2013,104660
banker,2014,113810
banker,2015,123021
banker,2016,114041
banker,2017,109628
banker,2018,103830
banker,2019,103671
banker,2020,122827
banker,2021,128857
banker,2022,139014
banker,2023,163241
bnp_marknad,2008,3391873
bnp_marknad,2009,3324135
bnp_marknad,2010,3551514
bnp_marknad,2011,3704817
bnp_marknad,2012,3724495
bnp_marknad,2013,3804976
bnp_marknad,2014,3963666
bnp_marknad,2015,4230936
bnp_marknad,2016,4392801
bnp_marknad,2017,4575114
bnp_marknad,2018,4777837
bnp_marknad,2019,5021382
bnp_marknad,2020,5012855
bnp_marknad,2021,5417760
bnp_marknad,2022,5816415
bnp_marknad,2023,6143187
bygg,2008,160298
bygg,2009,165536
bygg,2010,172433
bygg,2011,186105
bygg,2012,192002
bygg,2013,193024
bygg,2014,206321
bygg,2015,230380
bygg,2016,244682
bygg,2017,262228
bygg,2018,277985
bygg,2019,291133
bygg,2020,296169
bygg,2021,317948
bygg,2022,346985
bygg,2023,354193
dataprogrammering_data,2008,105815
dataprogrammering_data,2009,107748
dataprogrammering_data,2010,117484
dataprogrammering_data,2011,128493
dataprogrammering_data,2012,127148
dataprogrammering_data,2013,139188
dataprogrammering_data,2014,147714
dataprogrammering_data,2015,177273
dataprogrammering_data,2016,162826
dataprogrammering_data,2017,139733
dataprogrammering_data,2018,178277
dataprogrammering_data,2019,210282
dataprogrammering_data,2020,233898
dataprogrammering_data,2021,260732
dataprogrammering_data,2022,274626
dataprogrammering_data,2023,271987
datorer_elek,2008,39320
datorer_elek,2009,32130
datorer_elek,2010,26510
datorer_elek,2011,21344
datorer_elek,2012,26101
datorer_elek,2013,24817
datorer_elek,2014,22642
datorer_elek,2015,21970
datorer_elek,2016,21346
datorer_elek,2017,21277
datorer_elek,2018,20052
datorer_elek,2019,23748
datorer_elek,2020,25271
datorer_elek,2021,29887
datorer_elek,2022,30315
datorer_elek,2023,34680
detaljhandel_ut_mot,2008,118684
detaljhandel_ut_mot,2009,121724
detaljhandel_ut_mot,2010,128218
detaljhandel_ut_mot,2011,128892
detaljhandel_ut_mot,2012,130082
detaljhandel_ut_mot,2013,137975
detaljhandel_ut_mot,2014,143516
detaljhandel_ut_mot,2015,148519
detaljhandel_ut_mot,2016,152490
detaljhandel_ut_mot,2017,154021
detaljhandel_ut_mot,2018,155861
detaljhandel_ut_mot,2019,159112
detaljhandel_ut_mot,2020,161474
detaljhandel_ut_mot,2021,175741
detaljhandel_ut_mot,2022,168564
detaljhandel_ut_mot,2023,177042
el_gas,2008,92098
el_gas,2009,90390
el_gas,2010,101340
el_gas,2011,99333
el_gas,2012,100599
el_gas,2013,95030
el_gas,2014,95062
el_gas,2015,90113
el_gas,2016,88203
el_gas,2017,92189
el_gas,2018,91587
el_gas,2019,109038
el_gas,2020,104704
el_gas,2021,122887
el_gas,2022,161917
el_gas,2023,136090
el_gas_avl,2008,110968
el_gas_avl,2009,107671
el_gas_avl,2010,118428
el_gas_avl,2011,117072
el_gas_avl,2012,120346
el_gas_avl,2013,115978
el_gas_avl,2014,115658
el_gas_avl,2015,114266
el_gas_avl,2016,111678
el_gas_avl,2017,115944
el_gas_avl,2018,116659
el_gas_avl,2019,134801
el_gas_avl,2020,132133
el_gas_avl,2021,153848
el_gas_avl,2022,197111
el_gas_avl,2023,172777
elapparatur,2008,22355
elapparatur,2009,17878
elapparatur,2010,18796
elapparatur,2011,22120
elapparatur,2012,19805
elapparatur,2013,18962
elapparatur,2014,16052
elapparatur,2015,23000
elapparatur,2016,21562
elapparatur,2017,22667
elapparatur,2018,23029
elapparatur,2019,22009
elapparatur,2020,19493
elapparatur,2021,19806
elapparatur,2022,22527
elapparatur,2023,15082
fastighetsbolag_g,2008,275958
fastighetsbolag_g,2009,276517
fastighetsbolag_g,2010,271104
fastighetsbolag_g,2011,285355
fastighetsbolag_g,2012,288138
fastighetsbolag_g,2013,298119
fastighetsbolag_g,2014,312132
fastighetsbolag_g,2015,310330
fastighetsbolag_g,2016,325081
fastighetsbolag_g,2017,348016
fastighetsbolag_g,2018,368627
fastighetsbolag_g,2019,392108
fastighetsbolag_g,2020,399217
fastighetsbolag_g,2021,399655
fastighetsbolag_g,2022,399923
fastighetsbolag_g,2023,476033
film_vide_j,2008,10616
film_vide_j,2009,11075
film_vide_j,2010,12014
film_vide_j,2011,11906
film_vide_j,2012,12144
film_vide_j,2013,11688
film_vide_j,2014,12684
film_vide_j,2015,12553
film_vide_j,2016,12760
film_vide_j,2017,14175
film_vide_j,2018,15599
film_vide_j,2019,16840
film_vide_j,2020,15190
film_vide_j,2021,17499
film_vide_j,2022,20144
film_vide_j,2023,10007
finans,2008,113289
finans,2009,132750
finans,2010,126604
finans,2011,136768
finans,2012,145591
finans,2013,153793
finans,2014,163678
finans,2015,177938
finans,2016,170860
finans,2017,163391
finans,2018,163717
finans,2019,165521
finans,2020,189436
finans,2021,207025
finans,2022,222778
finans,2023,245719
fisk,2008,713
fisk,2009,730
fisk,2010,941
fisk,2011,1095
fisk,2012,931
fisk,2013,981
fisk,2014,906
fisk,2015,1150
fisk,2016,1236
fisk,2017,1310
fisk,2018,1300
fisk,2019,1217
fisk,2020,1161
fisk,2021,935
fisk,2022,1005
fisk,2023,690
flygbolag,2008,6754
flygbolag,2009,6210
flygbolag,2010,7174
flygbolag,2011,8256
flygbolag,2012,8765
flygbolag,2013,8506
flygbolag,2014,6110
flygbolag,2015,6920
flygbolag,2016,7066
flygbolag,2017,7564
flygbolag,2018,7446
flygbolag,2019,5715
flygbolag,2020,242
flygbolag,2021,593
flygbolag,2022,1834
flygbolag,2023,2064
foradl_tot,2008,3001336
foradl_tot,2009,2930639
foradl_tot,2010,3131175
foradl_tot,2011,3280377
foradl_tot,2012,3302118
foradl_tot,2013,3372723
foradl_tot,2014,3518784
foradl_tot,2015,3756059
foradl_tot,2016,3885378
foradl_tot,2017,4047009
foradl_tot,2018,4224647
foradl_tot,2019,4452618
foradl_tot,2020,4444511
foradl_tot,2021,4802076
foradl_tot,2022,5158193
foradl_tot,2023,5487968
forlag,2008,26994
forlag,2009,24021
forlag,2010,26206
forlag,2011,26371
forlag,2012,27508
