sni_id,year,el_energi
totalt_tota,2008,19146
totalt_tota,2009,20082
totalt_tota,2010,20930
totalt_tota,2011,20169
totalt_tota,2012,20630
totalt_tota,2013,20754
totalt_tota,2014,19827
totalt_tota,2015,20379
totalt_tota,2016,21309
totalt_tota,2017,23213
totalt_tota,2018,24475
totalt_tota,2019,25654
totalt_tota,2020,27157
totalt_tota,2021,27184
totalt_tota,2022,25029
totalt_tota,2023,27759
jordbruksforetag_serv,2008,3
jordbruksforetag_serv,2009,4
jordbruksforetag_serv,2010,4
jordbruksforetag_serv,2011,4
jordbruksforetag_serv,2012,4
jordbruksforetag_serv,2013,4
jordbruksforetag_serv,2014,3
jordbruksforetag_serv,2015,9
jordbruksforetag_serv,2016,8
jordbruksforetag_serv,2017,9
jordbruksforetag_serv,2018,9
jordbruksforetag_serv,2019,8
jordbruksforetag_serv,2020,9
jordbruksforetag_serv,2021,4
jordbruksforetag_serv,2022,3
jordbruksforetag_serv,2023,3
skogsbruksforetag,2008,0
skogsbruksforetag,2009,1
skogsbruksforetag,2010,1
skogsbruksforetag,2011,1
skogsbruksforetag,2012,1
skogsbruksforetag,2013,0
skogsbruksforetag,2014,0
skogsbruksforetag,2015,0
skogsbruksforetag,2016,0
skogsbruksforetag,2017,0
skogsbruksforetag,2018,0
skogsbruksforetag,2019,0
skogsbruksforetag,2020,0
skogsbruksforetag,2021,1
skogsbruksforetag,2022,1
skogsbruksforetag,2023,1
fisk,2008,0
fisk,2009,0
fisk,2010,0
fisk,2011,0
fisk,2012,0
fisk,2013,0
fisk,2014,0
fisk,2015,0
fisk,2016,0
fisk,2017,0
fisk,2018,0
fisk,2019,0
fisk,2020,0
fisk,2021,0
fisk,2022,0
fisk,2023,0
utvinning_min,2008,3
utvinning_min,2009,3
utvinning_min,2010,4
utvinning_min,2011,4
utvinning_min,2012,4
utvinning_min,2013,4
utvinning_min,2014,4
utvinning_min,2015,4
utvinning_min,2016,4
utvinning_min,2017,4
utvinning_min,2018,4
utvinning_min,2019,5
utvinning_min,2020,4
utvinning_min,2021,7
utvinning_min,2022,4
utvinning_min,2023,5
livsmedel_dryck_tob,2008,5
livsmedel_dryck_tob,2009,6
livsmedel_dryck_tob,2010,6
livsmedel_dryck_tob,2011,7
livsmedel_dryck_tob,2012,6
livsmedel_dryck_tob,2013,5
livsmedel_dryck_tob,2014,6
livsmedel_dryck_tob,2015,5
livsmedel_dryck_tob,2016,5
livsmedel_dryck_tob,2017,4
livsmedel_dryck_tob,2018,4
livsmedel_dryck_tob,2019,4
livsmedel_dryck_tob,2020,5
livsmedel_dryck_tob,2021,7
livsmedel_dryck_tob,2022,4
livsmedel_dryck_tob,2023,7
textil_bekl,2008,1
textil_bekl,2009,1
textil_bekl,2010,1
textil_bekl,2011,1
textil_bekl,2012,1
textil_bekl,2013,0
textil_bekl,2014,1
textil_bekl,2015,1
textil_bekl,2016,0
textil_bekl,2017,1
textil_bekl,2018,1
textil_bekl,2019,0
textil_bekl,2020,0
textil_bekl,2021,1
textil_bekl,2022,0
textil_bekl,2023,0
industri_for_tra,2008,6
industri_for_tra,2009,7
industri_for_tra,2010,6
industri_for_tra,2011,7
industri_for_tra,2012,5
industri_for_tra,2013,5
industri_for_tra,2014,5
industri_for_tra,2015,5
industri_for_tra,2016,4
industri_for_tra,2017,4
industri_for_tra,2018,4
industri_for_tra,2019,4
industri_for_tra,2020,4
industri_for_tra,2021,4
industri_for_tra,2022,4
industri_for_tra,2023,4
massa_papp,2008,32
massa_papp,2009,34
massa_papp,2010,34
massa_papp,2011,35
massa_papp,2012,31
massa_papp,2013,27
massa_papp,2014,26
massa_papp,2015,23
massa_papp,2016,21
massa_papp,2017,23
massa_papp,2018,22
massa_papp,2019,24
massa_papp,2020,24
massa_papp,2021,26
massa_papp,2022,14
massa_papp,2023,27
grafisk,2008,1
grafisk,2009,1
grafisk,2010,1
grafisk,2011,1
grafisk,2012,1
grafisk,2013,1
grafisk,2014,1
grafisk,2015,1
grafisk,2016,1
grafisk,2017,1
grafisk,2018,1
grafisk,2019,1
grafisk,2020,1
grafisk,2021,1
grafisk,2022,0
grafisk,2023,0
industri_for_sten,2008,2
industri_for_sten,2009,2
industri_for_sten,2010,2
industri_for_sten,2011,2
industri_for_sten,2012,2
industri_for_sten,2013,1
industri_for_sten,2014,1
industri_for_sten,2015,1
industri_for_sten,2016,1
industri_for_sten,2017,1
industri_for_sten,2018,1
industri_for_sten,2019,1
industri_for_sten,2020,1
industri_for_sten,2021,3
industri_for_sten,2022,2
industri_for_sten,2023,3
industri_for_bas,2008,9
industri_for_bas,2009,10
industri_for_bas,2010,10
industri_for_bas,2011,10
industri_for_bas,2012,10
industri_for_bas,2013,9
industri_for_bas,2014,9
industri_for_bas,2015,8
industri_for_bas,2016,7
industri_for_bas,2017,7
industri_for_bas,2018,6
industri_for_bas,2019,7
industri_for_bas,2020,8
industri_for_bas,2021,9
industri_for_bas,2022,7
industri_for_bas,2023,9
gummi,2008,3
gummi,2009,3
gummi,2010,3
gummi,2011,3
gummi,2012,3
gummi,2013,2
gummi,2014,2
gummi,2015,2
gummi,2016,2
gummi,2017,2
gummi,2018,2
gummi,2019,2
gummi,2020,3
gummi,2021,3
gummi,2022,2
gummi,2023,3
icke_met_andra,2008,3
icke_met_andra,2009,3
icke_met_andra,2010,3
icke_met_andra,2011,3
icke_met_andra,2012,2
icke_met_andra,2013,2
icke_met_andra,2014,2
icke_met_andra,2015,2
icke_met_andra,2016,2
icke_met_andra,2017,2
icke_met_andra,2018,2
icke_met_andra,2019,2
icke_met_andra,2020,2
icke_met_andra,2021,3
icke_met_andra,2022,2
icke_met_andra,2023,3
metaller,2008,13
metaller,2009,11
metaller,2010,13
metaller,2011,14
metaller,2012,12
metaller,2013,11
metaller,2014,11
metaller,2015,10
metaller,2016,10
metaller,2017,11
metaller,2018,10
metaller,2019,11
metaller,2020,12
metaller,2021,10
metaller,2022,10
metaller,2023,15
industri_for_met,2008,5
industri_for_met,2009,5
industri_for_met,2010,5
industri_for_met,2011,6
industri_for_met,2012,5
industri_for_met,2013,4
industri_for_met,2014,5
industri_for_met,2015,5
industri_for_met,2016,4
industri_for_met,2017,5
industri_for_met,2018,4
industri_for_met,2019,4
industri_for_met,2020,4
industri_for_met,2021,6
industri_for_met,2022,3
industri_for_met,2023,5
datorer_elek,2008,1
datorer_elek,2009,1
datorer_elek,2010,1
datorer_elek,2011,1
datorer_elek,2012,1
datorer_elek,2013,0
datorer_elek,2014,0
datorer_elek,2015,0
datorer_elek,2016,0
datorer_elek,2017,0
datorer_elek,2018,0
datorer_elek,2019,0
datorer_elek,2020,0
datorer_elek,2021,1
datorer_elek,2022,0
datorer_elek,2023,1
elapparatur,2008,1
elapparatur,2009,1
elapparatur,2010,1
elapparatur,2011,1
elapparatur,2012,1
elapparatur,2013,1
elapparatur,2014,1
elapparatur,2015,1
elapparatur,2016,1
elapparatur,2017,1
elapparatur,2018,1
elapparatur,2019,1
elapparatur,2020,1
elapparatur,2021,1
elapparatur,2022,1
elapparatur,2023,0
ovrig_mask,2008,3
ovrig_mask,2009,3
ovrig_mask,2010,3
ovrig_mask,2011,4
ovrig_mask,2012,3
ovrig_mask,2013,3
ovrig_mask,2014,3
ovrig_mask,2015,3
ovrig_mask,2016,2
ovrig_mask,2017,3
ovrig_mask,2018,3
ovrig_mask,2019,3
ovrig_mask,2020,3
ovrig_mask,2021,3
ovrig_mask,2022,2
ovrig_mask,2023,4
industri_for_mot,2008,4
industri_for_mot,2009,3
industri_for_mot,2010,4
industri_for_mot,2011,4
industri_for_mot,2012,3
industri_for_mot,2013,3
industri_for_mot,2014,3
industri_for_mot,2015,3
industri_for_mot,2016,3
industri_for_mot,2017,3
industri_for_mot,2018,3
industri_for_mot,2019,3
industri_for_mot,2020,3
industri_for_mot,2021,4
industri_for_mot,2022,2
industri_for_mot,2023,4
andra_tran,2008,1
andra_tran,2009,1
andra_tran,2010,1
andra_tran,2011,1
andra_tran,2012,1
andra_tran,2013,1
andra_tran,2014,0
andra_tran,2015,0
andra_tran,2016,0
andra_tran,2017,0
andra_tran,2018,0
andra_tran,2019,0
andra_tran,2020,0
andra_tran,2021,1
andra_tran,2022,0
andra_tran,2023,1
tillverkning_mob,2008,2
tillverkning_mob,2009,2
tillverkning_mob,2010,2
tillverkning_mob,2011,2
tillverkning_mob,2012,1
tillverkning_mob,2013,1
tillverkning_mob,2014,1
tillverkning_mob,2015,1
tillverkning_mob,2016,1
tillverkning_mob,2017,1
tillverkning_mob,2018,1
tillverkning_mob,2019,1
tillverkning_mob,2020,1
tillverkning_mob,2021,2
tillverkning_mob,2022,1
tillverkning_mob,2023,1
reparationsverkstader,2008,1
reparationsverkstader,2009,1
reparationsverkstader,2010,1
reparationsverkstader,2011,1
reparationsverkstader,2012,1
reparationsverkstader,2013,1
reparationsverkstader,2014,1
reparationsverkstader,2015,1
reparationsverkstader,2016,1
reparationsverkstader,2017,1
reparationsverkstader,2018,1
reparationsverkstader,2019,1
reparationsverkstader,2020,1
reparationsverkstader,2021,1
reparationsverkstader,2022,0
reparationsverkstader,2023,1
el_gas,2008,1169
el_gas,2009,1123
el_gas,2010,1172
el_gas,2011,1120
el_gas,2012,1183
el_gas,2013,1041
el_gas,2014,947
el_gas,2015,2398
el_gas,2016,2413
el_gas,2017,2570
el_gas,2018,2114
el_gas,2019,2534
el_gas,2020,3126
el_gas,2021,3460
el_gas,2022,5082
el_gas,2023,4536
vattenforsorjning_e,2008,65
vattenforsorjning_e,2009,65
vattenforsorjning_e,2010,70
vattenforsorjning_e,2011,65
vattenforsorjning_e,2012,58
vattenforsorjning_e,2013,59
vattenforsorjning_e,2014,40
vattenforsorjning_e,2015,157
vattenforsorjning_e,2016,147
vattenforsorjning_e,2017,157
vattenforsorjning_e,2018,157
vattenforsorjning_e,2019,173
vattenforsorjning_e,2020,189
vattenforsorjning_e,2021,84
vattenforsorjning_e,2022,66
vattenforsorjning_e,2023,0
vatt_och_avl,2008,202
vatt_och_avl,2009,196
vatt_och_avl,2010,210
vatt_och_avl,2011,203
vatt_och_avl,2012,180
vatt_och_avl,2013,183
vatt_och_avl,2014,146
vatt_och_avl,2015,282
vatt_och_avl,2016,266
vatt_och_avl,2017,286
vatt_och_avl,2018,300
vatt_och_avl,2019,338
vatt_och_avl,2020,393
vatt_och_avl,2021,187
vatt_och_avl,2022,165
vatt_och_avl,2023,202
bygg,2008,176
bygg,2009,217
bygg,2010,236
bygg,2011,225
bygg,2012,209
bygg,2013,212
bygg,2014,206
bygg,2015,187
bygg,2016,190
bygg,2017,211
bygg,2018,242
bygg,2019,275
bygg,2020,287
bygg,2021,323
bygg,2022,284
bygg,2023,311
hand_g,2008,1030
hand_g,2009,1041
hand_g,2010,1146
hand_g,2011,1189
hand_g,2012,1140
hand_g,2013,1111
hand_g,2014,1091
hand_g,2015,1454
hand_g,2016,1407
hand_g,2017,1395
hand_g,2018,1503
hand_g,2019,1673
hand_g,2020,1911
hand_g,2021,1293
hand_g,2022,939
hand_g,2023,1515
landtransportforetag_rort,2008,151
landtransportforetag_rort,2009,153
landtransportforetag_rort,2010,151
landtransportforetag_rort,2011,165
landtransportforetag_rort,2012,152
landtransportforetag_rort,2013,150
landtransportforetag_rort,2014,150
landtransportforetag_rort,2015,206
landtransportforetag_rort,2016,194
landtransportforetag_rort,2017,197
landtransportforetag_rort,2018,214
landtransportforetag_rort,2019,240
landtransportforetag_rort,2020,260
landtransportforetag_rort,2021,180
landtransportforetag_rort,2022,69
landtransportforetag_rort,2023,80
rederier,2008,4
rederier,2009,4
rederier,2010,4
rederier,2011,4
rederier,2012,3
rederier,2013,4
rederier,2014,4
rederier,2015,31
rederier,2016,28
rederier,2017,22
rederier,2018,19
rederier,2019,28
rederier,2020,48
rederier,2021,22
rederier,2022,17
rederier,2023,24
flygbolag,2008,16
flygbolag,2009,17
flygbolag,2010,18
flygbolag,2011,18
flygbolag,2012,16
flygbolag,2013,17
flygbolag,2014,18
flygbolag,2015,6
flygbolag,2016,6
flygbolag,2017,8
flygbolag,2018,8
flygbolag,2019,9
flygbolag,2020,9
flygbolag,2021,5
flygbolag,2022,4
flygbolag,2023,7
magasinering,2008,137
magasinering,2009,144
magasinering,2010,131
magasinering,2011,125
magasinering,2012,115
magasinering,2013,120
magasinering,2014,123
magasinering,2015,175
magasinering,2016,170
magasinering,2017,187
magasinering,2018,199
magasinering,2019,213
magasinering,2020,254
magasinering,2021,193
magasinering,2022,77
magasinering,2023,170
hotell_rest_i,2008,277
hotell_rest_i,2009,322
hotell_rest_i,2010,326
hotell_rest_i,2011,332
hotell_rest_i,2012,330
hotell_rest_i,2013,329
hotell_rest_i,2014,330
hotell_rest_i,2015,460
hotell_rest_i,2016,452
hotell_rest_i,2017,475
hotell_rest_i,2018,506
hotell_rest_i,2019,574
hotell_rest_i,2020,640
hotell_rest_i,2021,491
hotell_rest_i,2022,343
hotell_rest_i,2023,590
forlag,2008,23
forlag,2009,22
forlag,2010,33
forlag,2011,33
forlag,2012,31
forlag,2013,30
forlag,2014,29
forlag,2015,24
forlag,2016,25
forlag,2017,34
forlag,2018,41
forlag,2019,46
forlag,2020,55
forlag,2021,18
forlag,2022,7
forlag,2023,20
film_vide_j,2008,43
film_vide_j,2009,41
film_vide_j,2010,61
film_vide_j,2011,60
film_vide_j,2012,57
film_vide_j,2013,59
film_vide_j,2014,58
film_vide_j,2015,10
film_vide_j,2016,11
film_vide_j,2017,15
film_vide_j,2018,18
film_vide_j,2019,20
film_vide_j,2020,24
film_vide_j,2021,12
film_vide_j,2022,8
film_vide_j,2023,22
telekommunikation_j,2008,47
telekommunikation_j,2009,44
telekommunikation_j,2010,66
telekommunikation_j,2011,64
telekommunikation_j,2012,61
telekommunikation_j,2013,64
telekommunikation_j,2014,63
telekommunikation_j,2015,101
telekommunikation_j,2016,117
telekommunikation_j,2017,3
telekommunikation_j,2018,2
telekommunikation_j,2019,3
telekommunikation_j,2020,4
telekommunikation_j,2021,2
telekommunikation_j,2022,1
telekommunikation_j,2023,60
dataprogrammering_data,2008,24
dataprogrammering_data,2009,22
dataprogrammering_data,2010,32
dataprogrammering_data,2011,31
dataprogrammering_data,2012,30
dataprogrammering_data,2013,31
dataprogrammering_data,2014,31
dataprogrammering_data,2015,23
dataprogrammering_data,2016,27
dataprogrammering_data,2017,0
dataprogrammering_data,2018,0
dataprogrammering_data,2019,0
dataprogrammering_data,2020,1
dataprogrammering_data,2021,3
dataprogrammering_data,2022,2
dataprogrammering_data,2023,117
banker,2008,16
banker,2009,18
banker,2010,14
banker,2011,17
banker,2012,15
banker,2013,15
banker,2014,14
banker,2015,17
banker,2016,17
banker,2017,14
banker,2018,14
banker,2019,14
banker,2020,15
banker,2021,14
banker,2022,11
banker,2023,15
forsakrings,2008,110
forsakrings,2009,114
forsakrings,2010,94
forsakrings,2011,108
forsakrings,2012,99
forsakrings,2013,93
forsakrings,2014,89
forsakrings,2015,104
forsakrings,2016,100
forsakrings,2017,87
forsakrings,2018,88
forsakrings,2019,88
forsakrings,2020,82
forsakrings,2021,81
forsakrings,2022,69
forsakrings,2023,84
serviceforetag_fin,2008,0
serviceforetag_fin,2009,0
serviceforetag_fin,2010,0
serviceforetag_fin,2011,0
serviceforetag_fin,2012,0
serviceforetag_fin,2013,0
serviceforetag_fin,2014,0
serviceforetag_fin,2015,0
serviceforetag_fin,2016,0
serviceforetag_fin,2017,0
serviceforetag_fin,2018,0
serviceforetag_fin,2019,0
serviceforetag_fin,2020,1
serviceforetag_fin,2021,0
serviceforetag_fin,2022,0
serviceforetag_fin,2023,1
fastighetsbolag_g,2008,964
fastighetsbolag_g,2009,1103
fastighetsbolag_g,2010,878
fastighetsbolag_g,2011,874
fastighetsbolag_g,2012,771
fastighetsbolag_g,2013,757
fastighetsbolag_g,2014,743
fastighetsbolag_g,2015,862
fastighetsbolag_g,2016,814
fastighetsbolag_g,2017,642
fastighetsbolag_g,2018,716
fastighetsbolag_g,2019,1259
fastighetsbolag_g,2020,1798
fastighetsbolag_g,2021,1714
fastighetsbolag_g,2022,1219
fastighetsbolag_g,2023,1965
juridisk_ek,2008,66
juridisk_ek,2009,60
juridisk_ek,2010,65
juridisk_ek,2011,69
juridisk_ek,2012,62
juridisk_ek,2013,67
juridisk_ek,2014,73
juridisk_ek,2015,58
juridisk_ek,2016,58
juridisk_ek,2017,68
juridisk_ek,2018,65
juridisk_ek,2019,106
juridisk_ek,2020,135
juridisk_ek,2021,50
juridisk_ek,2022,24
juridisk_ek,2023,42
arkitekt_tekn,2008,66
arkitekt_tekn,2009,67
arkitekt_tekn,2010,70
arkitekt_tekn,2011,70
arkitekt_tekn,2012,63
arkitekt_tekn,2013,64
arkitekt_tekn,2014,66
arkitekt_tekn,2015,172
arkitekt_tekn,2016,167
arkitekt_tekn,2017,190
arkitekt_tekn,2018,182
arkitekt_tekn,2019,142
arkitekt_tekn,2020,309
arkitekt_tekn,2021,99
arkitekt_tekn,2022,49
arkitekt_tekn,2023,105
reklam_und,2008,41
reklam_und,2009,38
reklam_und,2010,41
reklam_und,2011,43
reklam_und,2012,39
reklam_und,2013,41
reklam_und,2014,45
reklam_und,2015,35
reklam_und,2016,35
reklam_und,2017,39
reklam_und,2018,37
reklam_und,2019,49
reklam_und,2020,63
reklam_und,2021,30
