sni_id,year,foradl
annan_serv,2000,
annan_serv,2001,
annan_serv,2002,
annan_serv,2003,137
annan_serv,2004,142
annan_serv,2005,166
annan_serv,2006,151
annan_serv,2007,145
annan_serv,2008,160
annan_serv,2009,152
annan_serv,2010,204
annan_serv,2011,175
annan_serv,2012,173
annan_serv,2013,191
annan_serv,2014,186
annan_serv,2015,192
annan_serv,2016,203
annan_serv,2017,183
annan_serv,2018,182
annan_serv,2019,195
annan_serv,2020,183
annan_serv,2021,200
annan_serv,2022,
annan_serv,2023,
andra_tran,2000,
andra_tran,2001,
andra_tran,2002,
andra_tran,2003,
andra_tran,2004,
andra_tran,2005,
andra_tran,2006,7
andra_tran,2007,2
andra_tran,2008,1
andra_tran,2009,1
andra_tran,2010,1
andra_tran,2011,
andra_tran,2012,2
andra_tran,2013,4
andra_tran,2014,6
andra_tran,2015,4
andra_tran,2016,6
andra_tran,2017,7
andra_tran,2018,6
andra_tran,2019,6
andra_tran,2020,9
andra_tran,2021,11
andra_tran,2022,
andra_tran,2023,
arbetsformedling_rese,2000,
arbetsformedling_rese,2001,
arbetsformedling_rese,2002,
arbetsformedling_rese,2003,731
arbetsformedling_rese,2004,787
arbetsformedling_rese,2005,796
arbetsformedling_rese,2006,863
arbetsformedling_rese,2007,1001
arbetsformedling_rese,2008,986
arbetsformedling_rese,2009,743
arbetsformedling_rese,2010,761
arbetsformedling_rese,2011,685
arbetsformedling_rese,2012,637
arbetsformedling_rese,2013,673
arbetsformedling_rese,2014,671
arbetsformedling_rese,2015,635
arbetsformedling_rese,2016,645
arbetsformedling_rese,2017,582
arbetsformedling_rese,2018,602
arbetsformedling_rese,2019,682
arbetsformedling_rese,2020,623
arbetsformedling_rese,2021,753
arbetsformedling_rese,2022,
arbetsformedling_rese,2023,
arkitekt_tekn,2000,
arkitekt_tekn,2001,
arkitekt_tekn,2002,
arkitekt_tekn,2003,4173
arkitekt_tekn,2004,4424
arkitekt_tekn,2005,4473
arkitekt_tekn,2006,4700
arkitekt_tekn,2007,5598
arkitekt_tekn,2008,6060
arkitekt_tekn,2009,5938
arkitekt_tekn,2010,6300
arkitekt_tekn,2011,5972
arkitekt_tekn,2012,6258
arkitekt_tekn,2013,6094
arkitekt_tekn,2014,6165
arkitekt_tekn,2015,6636
arkitekt_tekn,2016,6993
arkitekt_tekn,2017,7805
arkitekt_tekn,2018,8209
arkitekt_tekn,2019,8940
arkitekt_tekn,2020,8295
arkitekt_tekn,2021,9138
arkitekt_tekn,2022,
arkitekt_tekn,2023,
vattenforsorjning_avlo,2000,
vattenforsorjning_avlo,2001,
vattenforsorjning_avlo,2002,
vattenforsorjning_avlo,2003,10634
vattenforsorjning_avlo,2004,11036
vattenforsorjning_avlo,2005,10996
vattenforsorjning_avlo,2006,12297
vattenforsorjning_avlo,2007,13927
vattenforsorjning_avlo,2008,14274
vattenforsorjning_avlo,2009,13094
vattenforsorjning_avlo,2010,13487
vattenforsorjning_avlo,2011,13932
vattenforsorjning_avlo,2012,15188
vattenforsorjning_avlo,2013,15956
vattenforsorjning_avlo,2014,15532
vattenforsorjning_avlo,2015,18001
vattenforsorjning_avlo,2016,16906
vattenforsorjning_avlo,2017,17407
vattenforsorjning_avlo,2018,19084
vattenforsorjning_avlo,2019,19135
vattenforsorjning_avlo,2020,22055
vattenforsorjning_avlo,2021,25977
vattenforsorjning_avlo,2022,
vattenforsorjning_avlo,2023,
bygg,2000,
bygg,2001,
bygg,2002,
bygg,2003,8337
bygg,2004,10475
bygg,2005,12489
bygg,2006,16747
bygg,2007,20988
bygg,2008,22393
bygg,2009,25042
bygg,2010,28562
bygg,2011,31284
bygg,2012,33619
bygg,2013,34988
bygg,2014,40102
bygg,2015,46789
bygg,2016,52873
bygg,2017,60962
bygg,2018,66038
bygg,2019,69595
bygg,2020,78412
bygg,2021,81766
bygg,2022,
bygg,2023,
dataprogrammering_data,2000,
dataprogrammering_data,2001,
dataprogrammering_data,2002,
dataprogrammering_data,2003,20
dataprogrammering_data,2004,23
dataprogrammering_data,2005,24
dataprogrammering_data,2006,26
dataprogrammering_data,2007,33
dataprogrammering_data,2008,35
dataprogrammering_data,2009,37
dataprogrammering_data,2010,41
dataprogrammering_data,2011,61
dataprogrammering_data,2012,74
dataprogrammering_data,2013,76
dataprogrammering_data,2014,72
dataprogrammering_data,2015,67
dataprogrammering_data,2016,116
dataprogrammering_data,2017,110
dataprogrammering_data,2018,148
dataprogrammering_data,2019,106
dataprogrammering_data,2020,113
dataprogrammering_data,2021,143
dataprogrammering_data,2022,
dataprogrammering_data,2023,
detaljhandel_ut_mot,2000,
detaljhandel_ut_mot,2001,
detaljhandel_ut_mot,2002,
detaljhandel_ut_mot,2003,20
detaljhandel_ut_mot,2004,24
detaljhandel_ut_mot,2005,26
detaljhandel_ut_mot,2006,27
detaljhandel_ut_mot,2007,29
detaljhandel_ut_mot,2008,34
