sni_id,year,forb_fos
jordbruksforetag_serv,2008,0
jordbruksforetag_serv,2009,0
jordbruksforetag_serv,2010,0
jordbruksforetag_serv,2011,0
jordbruksforetag_serv,2012,0
jordbruksforetag_serv,2013,0
jordbruksforetag_serv,2014,0
jordbruksforetag_serv,2015,0
jordbruksforetag_serv,2016,0
jordbruksforetag_serv,2017,0
jordbruksforetag_serv,2018,0
jordbruksforetag_serv,2019,5
jordbruksforetag_serv,2020,4
jordbruksforetag_serv,2021,4
jordbruksforetag_serv,2022,4
jordbruksforetag_serv,2023,4
skogsbruksforetag,2008,1866
skogsbruksforetag,2009,1787
skogsbruksforetag,2010,1938
skogsbruksforetag,2011,2012
skogsbruksforetag,2012,1759
skogsbruksforetag,2013,1691
skogsbruksforetag,2014,1695
skogsbruksforetag,2015,1342
skogsbruksforetag,2016,1299
skogsbruksforetag,2017,1262
skogsbruksforetag,2018,1205
skogsbruksforetag,2019,1170
skogsbruksforetag,2020,1120
skogsbruksforetag,2021,1093
skogsbruksforetag,2022,971
skogsbruksforetag,2023,934
fisk,2008,2008
fisk,2009,2014
fisk,2010,2056
fisk,2011,2148
fisk,2012,2041
fisk,2013,1998
fisk,2014,1950
fisk,2015,1950
fisk,2016,1842
fisk,2017,1825
fisk,2018,1720
fisk,2019,1747
fisk,2020,1641
fisk,2021,1650
fisk,2022,1546
fisk,2023,1663
utvinning_min,2008,397
utvinning_min,2009,409
utvinning_min,2010,436
utvinning_min,2011,458
utvinning_min,2012,438
utvinning_min,2013,443
utvinning_min,2014,440
utvinning_min,2015,459
utvinning_min,2016,470
utvinning_min,2017,446
utvinning_min,2018,425
utvinning_min,2019,397
utvinning_min,2020,371
utvinning_min,2021,369
utvinning_min,2022,325
utvinning_min,2023,325
livsmedel_dryck_tob,2008,790
livsmedel_dryck_tob,2009,797
livsmedel_dryck_tob,2010,749
livsmedel_dryck_tob,2011,768
livsmedel_dryck_tob,2012,745
livsmedel_dryck_tob,2013,713
livsmedel_dryck_tob,2014,680
livsmedel_dryck_tob,2015,668
livsmedel_dryck_tob,2016,651
livsmedel_dryck_tob,2017,632
livsmedel_dryck_tob,2018,595
livsmedel_dryck_tob,2019,572
livsmedel_dryck_tob,2020,527
livsmedel_dryck_tob,2021,508
livsmedel_dryck_tob,2022,433
livsmedel_dryck_tob,2023,414
textil_bekl,2008,149907
textil_bekl,2009,149506
textil_bekl,2010,146365
textil_bekl,2011,136212
textil_bekl,2012,131239
textil_bekl,2013,130629
textil_bekl,2014,129648
textil_bekl,2015,132133
textil_bekl,2016,129100
textil_bekl,2017,127910
textil_bekl,2018,121359
textil_bekl,2019,119583
textil_bekl,2020,111157
textil_bekl,2021,111353
textil_bekl,2022,98434
textil_bekl,2023,96552
industri_for_tra,2008,982
industri_for_tra,2009,995
industri_for_tra,2010,1028
industri_for_tra,2011,994
industri_for_tra,2012,941
industri_for_tra,2013,939
industri_for_tra,2014,924
industri_for_tra,2015,889
industri_for_tra,2016,837
industri_for_tra,2017,821
industri_for_tra,2018,811
industri_for_tra,2019,815
industri_for_tra,2020,759
industri_for_tra,2021,756
industri_for_tra,2022,673
industri_for_tra,2023,651
massa_papp,2008,7806
massa_papp,2009,7431
massa_papp,2010,7739
massa_papp,2011,6783
massa_papp,2012,6902
massa_papp,2013,6017
massa_papp,2014,5667
massa_papp,2015,5547
massa_papp,2016,5396
massa_papp,2017,5081
massa_papp,2018,4887
massa_papp,2019,5466
massa_papp,2020,5256
massa_papp,2021,5061
massa_papp,2022,4411
massa_papp,2023,4461
grafisk,2008,3128
grafisk,2009,3041
grafisk,2010,3429
grafisk,2011,3617
grafisk,2012,3363
grafisk,2013,3398
grafisk,2014,3228
grafisk,2015,3225
grafisk,2016,3037
grafisk,2017,3021
grafisk,2018,2987
grafisk,2019,3017
grafisk,2020,2940
grafisk,2021,2968
grafisk,2022,2683
grafisk,2023,2693
industri_for_sten,2008,2915
industri_for_sten,2009,3232
industri_for_sten,2010,3543
industri_for_sten,2011,3624
industri_for_sten,2012,3451
industri_for_sten,2013,3910
industri_for_sten,2014,3195
industri_for_sten,2015,3333
industri_for_sten,2016,3350
industri_for_sten,2017,3252
industri_for_sten,2018,3471
industri_for_sten,2019,3631
industri_for_sten,2020,3341
industri_for_sten,2021,3469
industri_for_sten,2022,3290
industri_for_sten,2023,3211
industri_for_bas,2008,1238
industri_for_bas,2009,1233
industri_for_bas,2010,1189
industri_for_bas,2011,1209
industri_for_bas,2012,1115
industri_for_bas,2013,1068
industri_for_bas,2014,1040
industri_for_bas,2015,1027
industri_for_bas,2016,969
industri_for_bas,2017,940
industri_for_bas,2018,911
industri_for_bas,2019,888
industri_for_bas,2020,813
industri_for_bas,2021,785
industri_for_bas,2022,677
industri_for_bas,2023,645
gummi,2008,2141
gummi,2009,2131
gummi,2010,2130
gummi,2011,2131
gummi,2012,2008
