sni_id,year,forbr_bio
jordbruksforetag_serv,2008,0
jordbruksforetag_serv,2009,0
jordbruksforetag_serv,2010,0
jordbruksforetag_serv,2011,0
jordbruksforetag_serv,2012,0
jordbruksforetag_serv,2013,0
jordbruksforetag_serv,2014,0
jordbruksforetag_serv,2015,0
jordbruksforetag_serv,2016,0
jordbruksforetag_serv,2017,0
jordbruksforetag_serv,2018,0
jordbruksforetag_serv,2019,1
jordbruksforetag_serv,2020,1
jordbruksforetag_serv,2021,1
jordbruksforetag_serv,2022,1
jordbruksforetag_serv,2023,1
skogsbruksforetag,2008,19
skogsbruksforetag,2009,25
skogsbruksforetag,2010,29
skogsbruksforetag,2011,39
skogsbruksforetag,2012,56
skogsbruksforetag,2013,82
skogsbruksforetag,2014,117
skogsbruksforetag,2015,143
skogsbruksforetag,2016,203
skogsbruksforetag,2017,234
skogsbruksforetag,2018,259
skogsbruksforetag,2019,239
skogsbruksforetag,2020,255
skogsbruksforetag,2021,272
skogsbruksforetag,2022,354
skogsbruksforetag,2023,294
fisk,2008,115
fisk,2009,55
fisk,2010,297
fisk,2011,78
fisk,2012,109
fisk,2013,147
fisk,2014,289
fisk,2015,282
fisk,2016,397
fisk,2017,473
fisk,2018,522
fisk,2019,473
fisk,2020,471
fisk,2021,514
fisk,2022,639
fisk,2023,628
utvinning_min,2008,8
utvinning_min,2009,10
utvinning_min,2010,13
utvinning_min,2011,17
utvinning_min,2012,22
utvinning_min,2013,29
utvinning_min,2014,76
utvinning_min,2015,70
utvinning_min,2016,101
utvinning_min,2017,106
utvinning_min,2018,113
utvinning_min,2019,92
utvinning_min,2020,89
utvinning_min,2021,98
utvinning_min,2022,104
utvinning_min,2023,96
livsmedel_dryck_tob,2008,10
livsmedel_dryck_tob,2009,14
livsmedel_dryck_tob,2010,17
livsmedel_dryck_tob,2011,23
livsmedel_dryck_tob,2012,31
livsmedel_dryck_tob,2013,41
livsmedel_dryck_tob,2014,59
livsmedel_dryck_tob,2015,78
livsmedel_dryck_tob,2016,111
livsmedel_dryck_tob,2017,124
livsmedel_dryck_tob,2018,131
livsmedel_dryck_tob,2019,116
livsmedel_dryck_tob,2020,112
livsmedel_dryck_tob,2021,126
livsmedel_dryck_tob,2022,130
livsmedel_dryck_tob,2023,119
textil_bekl,2008,51536
textil_bekl,2009,55011
textil_bekl,2010,55240
textil_bekl,2011,55903
textil_bekl,2012,55333
textil_bekl,2013,53886
textil_bekl,2014,53942
textil_bekl,2015,54312
textil_bekl,2016,58825
textil_bekl,2017,60493
textil_bekl,2018,57808
textil_bekl,2019,56737
textil_bekl,2020,56490
textil_bekl,2021,59952
textil_bekl,2022,60431
textil_bekl,2023,59318
industri_for_tra,2008,14
industri_for_tra,2009,19
industri_for_tra,2010,23
industri_for_tra,2011,30
industri_for_tra,2012,45
industri_for_tra,2013,65
industri_for_tra,2014,95
industri_for_tra,2015,126
industri_for_tra,2016,163
industri_for_tra,2017,191
industri_for_tra,2018,208
industri_for_tra,2019,199
industri_for_tra,2020,195
industri_for_tra,2021,228
industri_for_tra,2022,245
industri_for_tra,2023,216
massa_papp,2008,1171
massa_papp,2009,2044
massa_papp,2010,1760
massa_papp,2011,1940
massa_papp,2012,1963
massa_papp,2013,1913
massa_papp,2014,1525
massa_papp,2015,1862
massa_papp,2016,2636
massa_papp,2017,2841
massa_papp,2018,2874
massa_papp,2019,2221
massa_papp,2020,2196
massa_papp,2021,2319
massa_papp,2022,2260
massa_papp,2023,2288
grafisk,2008,72
grafisk,2009,178
grafisk,2010,126
grafisk,2011,168
grafisk,2012,227
grafisk,2013,317
grafisk,2014,448
grafisk,2015,625
grafisk,2016,862
grafisk,2017,1026
grafisk,2018,1125
grafisk,2019,1072
grafisk,2020,1042
grafisk,2021,1114
grafisk,2022,1326
grafisk,2023,1243
industri_for_sten,2008,94
industri_for_sten,2009,131
industri_for_sten,2010,152
industri_for_sten,2011,208
industri_for_sten,2012,270
industri_for_sten,2013,401
industri_for_sten,2014,481
industri_for_sten,2015,636
industri_for_sten,2016,979
industri_for_sten,2017,1027
industri_for_sten,2018,1128
industri_for_sten,2019,1154
industri_for_sten,2020,1084
industri_for_sten,2021,1079
industri_for_sten,2022,1485
industri_for_sten,2023,1132
industri_for_bas,2008,20
industri_for_bas,2009,25
industri_for_bas,2010,33
industri_for_bas,2011,38
industri_for_bas,2012,48
industri_for_bas,2013,85
industri_for_bas,2014,114
industri_for_bas,2015,135
industri_for_bas,2016,167
industri_for_bas,2017,193
industri_for_bas,2018,239
industri_for_bas,2019,194
industri_for_bas,2020,196
industri_for_bas,2021,209
industri_for_bas,2022,231
industri_for_bas,2023,199
gummi,2008,44
gummi,2009,58
gummi,2010,68
gummi,2011,83
gummi,2012,115
gummi,2013,155
gummi,2014,226
gummi,2015,300
gummi,2016,414
gummi,2017,477
gummi,2018,564
