sni_id,year,fordonskatt
totalt_tota,2007,
totalt_tota,2008,11308
totalt_tota,2009,11683
totalt_tota,2010,11875
totalt_tota,2011,11238
totalt_tota,2012,11195
totalt_tota,2013,11493
totalt_tota,2014,11576
totalt_tota,2015,13290
totalt_tota,2016,13383
totalt_tota,2017,13272
totalt_tota,2018,13156
totalt_tota,2019,13908
totalt_tota,2020,14679
totalt_tota,2021,15491
totalt_tota,2022,14256
totalt_tota,2023,
jordbruksforetag_serv,2007,
jordbruksforetag_serv,2008,563
jordbruksforetag_serv,2009,589
jordbruksforetag_serv,2010,610
jordbruksforetag_serv,2011,575
jordbruksforetag_serv,2012,380
jordbruksforetag_serv,2013,193
jordbruksforetag_serv,2014,110
jordbruksforetag_serv,2015,74
jordbruksforetag_serv,2016,35
jordbruksforetag_serv,2017,41
jordbruksforetag_serv,2018,37
jordbruksforetag_serv,2019,40
jordbruksforetag_serv,2020,42
jordbruksforetag_serv,2021,46
jordbruksforetag_serv,2022,49
jordbruksforetag_serv,2023,
skogsbruksforetag,2007,
skogsbruksforetag,2008,78
skogsbruksforetag,2009,83
skogsbruksforetag,2010,81
skogsbruksforetag,2011,82
skogsbruksforetag,2012,88
skogsbruksforetag,2013,93
skogsbruksforetag,2014,58
skogsbruksforetag,2015,51
skogsbruksforetag,2016,49
skogsbruksforetag,2017,55
skogsbruksforetag,2018,50
skogsbruksforetag,2019,56
skogsbruksforetag,2020,61
skogsbruksforetag,2021,68
skogsbruksforetag,2022,71
skogsbruksforetag,2023,
fisk,2007,
fisk,2008,3
fisk,2009,3
fisk,2010,3
fisk,2011,3
fisk,2012,3
fisk,2013,3
fisk,2014,2
fisk,2015,2
fisk,2016,1
fisk,2017,2
fisk,2018,1
fisk,2019,2
fisk,2020,2
fisk,2021,2
fisk,2022,2
fisk,2023,
utvinning_min,2007,
utvinning_min,2008,6
utvinning_min,2009,8
utvinning_min,2010,8
utvinning_min,2011,8
utvinning_min,2012,9
utvinning_min,2013,10
utvinning_min,2014,8
utvinning_min,2015,9
utvinning_min,2016,11
utvinning_min,2017,12
utvinning_min,2018,11
utvinning_min,2019,12
utvinning_min,2020,14
utvinning_min,2021,16
utvinning_min,2022,17
utvinning_min,2023,
livsmedel_dryck_tob,2007,
livsmedel_dryck_tob,2008,16
livsmedel_dryck_tob,2009,17
livsmedel_dryck_tob,2010,18
livsmedel_dryck_tob,2011,16
livsmedel_dryck_tob,2012,14
livsmedel_dryck_tob,2013,19
livsmedel_dryck_tob,2014,10
livsmedel_dryck_tob,2015,15
livsmedel_dryck_tob,2016,22
livsmedel_dryck_tob,2017,22
livsmedel_dryck_tob,2018,20
livsmedel_dryck_tob,2019,22
livsmedel_dryck_tob,2020,25
livsmedel_dryck_tob,2021,26
livsmedel_dryck_tob,2022,27
livsmedel_dryck_tob,2023,
textil_bekl,2007,
textil_bekl,2008,4
textil_bekl,2009,4
textil_bekl,2010,4
textil_bekl,2011,4
textil_bekl,2012,4
textil_bekl,2013,3
textil_bekl,2014,1
textil_bekl,2015,2
textil_bekl,2016,3
textil_bekl,2017,3
textil_bekl,2018,3
textil_bekl,2019,4
textil_bekl,2020,4
textil_bekl,2021,4
textil_bekl,2022,4
textil_bekl,2023,
industri_for_tra,2007,
industri_for_tra,2008,18
industri_for_tra,2009,20
industri_for_tra,2010,20
industri_for_tra,2011,18
industri_for_tra,2012,18
industri_for_tra,2013,21
industri_for_tra,2014,13
industri_for_tra,2015,15
industri_for_tra,2016,20
industri_for_tra,2017,18
industri_for_tra,2018,17
industri_for_tra,2019,19
industri_for_tra,2020,21
industri_for_tra,2021,23
