sni_id,year,forv_kvn
annan_serv,2000,
annan_serv,2001,
annan_serv,2002,
annan_serv,2003,69
annan_serv,2004,70
annan_serv,2005,88
annan_serv,2006,106
annan_serv,2007,110
annan_serv,2008,122
annan_serv,2009,82
annan_serv,2010,96
annan_serv,2011,99
annan_serv,2012,96
annan_serv,2013,103
annan_serv,2014,110
annan_serv,2015,111
annan_serv,2016,99
annan_serv,2017,99
annan_serv,2018,106
annan_serv,2019,96
annan_serv,2020,93
annan_serv,2021,96
annan_serv,2022,
annan_serv,2023,
andra_tran,2000,
andra_tran,2001,
andra_tran,2002,
andra_tran,2003,
andra_tran,2004,
andra_tran,2005,
andra_tran,2006,1
andra_tran,2007,0
andra_tran,2008,0
andra_tran,2009,0
andra_tran,2010,0
andra_tran,2011,
andra_tran,2012,0
andra_tran,2013,0
andra_tran,2014,0
andra_tran,2015,1
andra_tran,2016,1
andra_tran,2017,1
andra_tran,2018,1
andra_tran,2019,1
andra_tran,2020,0
andra_tran,2021,1
andra_tran,2022,
andra_tran,2023,
arbetsformedling_rese,2000,
arbetsformedling_rese,2001,
arbetsformedling_rese,2002,
arbetsformedling_rese,2003,320
arbetsformedling_rese,2004,327
arbetsformedling_rese,2005,303
arbetsformedling_rese,2006,300
arbetsformedling_rese,2007,333
arbetsformedling_rese,2008,320
arbetsformedling_rese,2009,297
arbetsformedling_rese,2010,201
arbetsformedling_rese,2011,204
arbetsformedling_rese,2012,214
arbetsformedling_rese,2013,231
arbetsformedling_rese,2014,260
arbetsformedling_rese,2015,272
arbetsformedling_rese,2016,261
arbetsformedling_rese,2017,230
arbetsformedling_rese,2018,250
arbetsformedling_rese,2019,244
arbetsformedling_rese,2020,220
arbetsformedling_rese,2021,209
arbetsformedling_rese,2022,
arbetsformedling_rese,2023,
arkitekt_tekn,2000,
arkitekt_tekn,2001,
arkitekt_tekn,2002,
arkitekt_tekn,2003,1673
arkitekt_tekn,2004,1753
arkitekt_tekn,2005,1860
arkitekt_tekn,2006,2031
arkitekt_tekn,2007,2245
arkitekt_tekn,2008,2374
arkitekt_tekn,2009,2224
arkitekt_tekn,2010,2391
arkitekt_tekn,2011,2269
arkitekt_tekn,2012,2380
arkitekt_tekn,2013,2379
arkitekt_tekn,2014,2397
arkitekt_tekn,2015,2545
arkitekt_tekn,2016,2785
arkitekt_tekn,2017,2901
arkitekt_tekn,2018,3068
arkitekt_tekn,2019,3184
arkitekt_tekn,2020,3207
arkitekt_tekn,2021,3533
arkitekt_tekn,2022,
arkitekt_tekn,2023,
vattenforsorjning_avlo,2000,
vattenforsorjning_avlo,2001,
vattenforsorjning_avlo,2002,
vattenforsorjning_avlo,2003,1444
vattenforsorjning_avlo,2004,1559
vattenforsorjning_avlo,2005,1633
vattenforsorjning_avlo,2006,1690
vattenforsorjning_avlo,2007,1862
vattenforsorjning_avlo,2008,2021
vattenforsorjning_avlo,2009,2007
vattenforsorjning_avlo,2010,2194
vattenforsorjning_avlo,2011,2473
vattenforsorjning_avlo,2012,2605
vattenforsorjning_avlo,2013,2594
vattenforsorjning_avlo,2014,2695
vattenforsorjning_avlo,2015,2834
vattenforsorjning_avlo,2016,2625
vattenforsorjning_avlo,2017,2646
vattenforsorjning_avlo,2018,2878
vattenforsorjning_avlo,2019,2942
vattenforsorjning_avlo,2020,3246
vattenforsorjning_avlo,2021,3620
vattenforsorjning_avlo,2022,
vattenforsorjning_avlo,2023,
bygg,2000,
bygg,2001,
bygg,2002,
bygg,2003,1064
bygg,2004,1247
bygg,2005,1534
bygg,2006,1889
bygg,2007,2230
bygg,2008,2595
bygg,2009,2683
bygg,2010,3044
bygg,2011,3591
bygg,2012,4011
bygg,2013,4164
bygg,2014,4545
bygg,2015,5126
bygg,2016,5868
bygg,2017,6710
bygg,2018,7674
bygg,2019,8170
bygg,2020,8406
bygg,2021,9107
bygg,2022,
bygg,2023,
dataprogrammering_data,2000,
dataprogrammering_data,2001,
dataprogrammering_data,2002,
dataprogrammering_data,2003,9
dataprogrammering_data,2004,6
dataprogrammering_data,2005,8
dataprogrammering_data,2006,6
dataprogrammering_data,2007,13
dataprogrammering_data,2008,14
dataprogrammering_data,2009,13
dataprogrammering_data,2010,17
dataprogrammering_data,2011,25
dataprogrammering_data,2012,25
dataprogrammering_data,2013,28
dataprogrammering_data,2014,28
dataprogrammering_data,2015,30
dataprogrammering_data,2016,29
dataprogrammering_data,2017,28
dataprogrammering_data,2018,32
dataprogrammering_data,2019,34
dataprogrammering_data,2020,31
dataprogrammering_data,2021,40
dataprogrammering_data,2022,
dataprogrammering_data,2023,
detaljhandel_ut_mot,2000,
detaljhandel_ut_mot,2001,
detaljhandel_ut_mot,2002,
detaljhandel_ut_mot,2003,33
detaljhandel_ut_mot,2004,27
detaljhandel_ut_mot,2005,24
detaljhandel_ut_mot,2006,27
detaljhandel_ut_mot,2007,24
detaljhandel_ut_mot,2008,27
