sni_id,year,fv
flygbolag,2000,
flygbolag,2001,
flygbolag,2002,
flygbolag,2003,
flygbolag,2004,
flygbolag,2005,
flygbolag,2006,
flygbolag,2007,
flygbolag,2008,13132
flygbolag,2009,7784
flygbolag,2010,9243
flygbolag,2011,12004
flygbolag,2012,13796
flygbolag,2013,14803
flygbolag,2014,11516
flygbolag,2015,6684
flygbolag,2016,6808
flygbolag,2017,8854
flygbolag,2018,9806
flygbolag,2019,7435
flygbolag,2020,-3555
flygbolag,2021,-4019
flygbolag,2022,
flygbolag,2023,
landtransportforetag_rort,2000,
landtransportforetag_rort,2001,
landtransportforetag_rort,2002,
landtransportforetag_rort,2003,
landtransportforetag_rort,2004,
landtransportforetag_rort,2005,
landtransportforetag_rort,2006,
landtransportforetag_rort,2007,
landtransportforetag_rort,2008,92634
landtransportforetag_rort,2009,83669
landtransportforetag_rort,2010,89416
landtransportforetag_rort,2011,94993
landtransportforetag_rort,2012,92694
landtransportforetag_rort,2013,90898
landtransportforetag_rort,2014,93293
landtransportforetag_rort,2015,91134
landtransportforetag_rort,2016,88599
landtransportforetag_rort,2017,93634
landtransportforetag_rort,2018,99158
landtransportforetag_rort,2019,104123
landtransportforetag_rort,2020,81859
landtransportforetag_rort,2021,95299
landtransportforetag_rort,2022,
landtransportforetag_rort,2023,
rederier,2000,
rederier,2001,
rederier,2002,
rederier,2003,
rederier,2004,
rederier,2005,
rederier,2006,
rederier,2007,
rederier,2008,9272
rederier,2009,8206
rederier,2010,9828
rederier,2011,9989
rederier,2012,11083
rederier,2013,11459
rederier,2014,9755
rederier,2015,8869
rederier,2016,8824
rederier,2017,9185
rederier,2018,10576
rederier,2019,13557
rederier,2020,8363
rederier,2021,9938
rederier,2022,
rederier,2023,
totalt_tota,2000,
totalt_tota,2001,
totalt_tota,2002,
totalt_tota,2003,
totalt_tota,2004,
totalt_tota,2005,
totalt_tota,2006,
totalt_tota,2007,
totalt_tota,2008,3351899.2128616
totalt_tota,2009,3193158.90937241
totalt_tota,2010,3386811.9209151
totalt_tota,2011,3510289.41648726
totalt_tota,2012,3492353.62726918
totalt_tota,2013,3533213.00581636
totalt_tota,2014,3629915.94655901
totalt_tota,2015,3788043
totalt_tota,2016,3851099
totalt_tota,2017,3957919.53376634
totalt_tota,2018,4037267.17971076
totalt_tota,2019,4121138.08279225
totalt_tota,2020,4015281.44645422
totalt_tota,2021,4274683.24664592
totalt_tota,2022,
totalt_tota,2023,
