sni_id,year,g_forsk
marknadsproduktion_varo,2007,
marknadsproduktion_varo,2009,
marknadsproduktion_varo,2011,
marknadsproduktion_varo,2013,825
marknadsproduktion_varo,2015,1427
marknadsproduktion_varo,2017,1357
marknadsproduktion_varo,2019,4792
marknadsproduktion_varo,2021,5056
marknadsproduktion_varo,2023,6734
skog_gruv,2007,
skog_gruv,2009,
skog_gruv,2011,
skog_gruv,2013,0
skog_gruv,2015,
skog_gruv,2017,
skog_gruv,2019,1
skog_gruv,2021,9
skog_gruv,2023,1
tillverkningsindustrin_c,2007,
tillverkningsindustrin_c,2009,
tillverkningsindustrin_c,2011,
tillverkningsindustrin_c,2013,810
tillverkningsindustrin_c,2015,1373
tillverkningsindustrin_c,2017,1340
tillverkningsindustrin_c,2019,4783
tillverkningsindustrin_c,2021,4977
tillverkningsindustrin_c,2023,6722
livsmedel_dryck_tob,2007,
livsmedel_dryck_tob,2009,
livsmedel_dryck_tob,2011,
livsmedel_dryck_tob,2013,3
livsmedel_dryck_tob,2015,24
livsmedel_dryck_tob,2017,8
livsmedel_dryck_tob,2019,2
livsmedel_dryck_tob,2021,11
livsmedel_dryck_tob,2023,62
tex_tra_graf,2007,
tex_tra_graf,2009,
tex_tra_graf,2011,
tex_tra_graf,2013,21
tex_tra_graf,2015,6
tex_tra_graf,2017,8
tex_tra_graf,2019,6
tex_tra_graf,2021,
tex_tra_graf,2023,3
industri_for_tra,2007,
industri_for_tra,2009,
industri_for_tra,2011,
industri_for_tra,2013,
industri_for_tra,2015,
industri_for_tra,2017,2
industri_for_tra,2019,
industri_for_tra,2021,
industri_for_tra,2023,3
massa_papp,2007,
massa_papp,2009,
massa_papp,2011,
massa_papp,2013,28
massa_papp,2015,42
massa_papp,2017,9
massa_papp,2019,13
massa_papp,2021,14
massa_papp,2023,45
kol_pet_kem,2007,
kol_pet_kem,2009,
kol_pet_kem,2011,
kol_pet_kem,2013,98
kol_pet_kem,2015,144
kol_pet_kem,2017,38
kol_pet_kem,2019,13
kol_pet_kem,2021,10
kol_pet_kem,2023,42
farmaceutiska_basp,2007,
farmaceutiska_basp,2009,
farmaceutiska_basp,2011,
farmaceutiska_basp,2013,3
farmaceutiska_basp,2015,
farmaceutiska_basp,2017,0
farmaceutiska_basp,2019,
farmaceutiska_basp,2021,
farmaceutiska_basp,2023,5520
gummi,2007,
gummi,2009,
gummi,2011,
gummi,2013,2
gummi,2015,10
gummi,2017,
gummi,2019,8
gummi,2021,2
gummi,2023,2
icke_met_andra,2007,
icke_met_andra,2009,
icke_met_andra,2011,
icke_met_andra,2013,3
icke_met_andra,2015,
icke_met_andra,2017,
icke_met_andra,2019,8
icke_met_andra,2021,8
icke_met_andra,2023,3
metaller,2007,
metaller,2009,
metaller,2011,
metaller,2013,
metaller,2015,346
metaller,2017,
metaller,2019,
metaller,2021,30
metaller,2023,108
metall_dator_elap,2007,
metall_dator_elap,2009,
metall_dator_elap,2011,
metall_dator_elap,2013,246
metall_dator_elap,2015,257
metall_dator_elap,2017,142
metall_dator_elap,2019,
metall_dator_elap,2021,
metall_dator_elap,2023,632
metall_dator_elap_transp,2007,
metall_dator_elap_transp,2009,
metall_dator_elap_transp,2011,
metall_dator_elap_transp,2013,460
metall_dator_elap_transp,2015,729
metall_dator_elap_transp,2017,1036
metall_dator_elap_transp,2019,2612
metall_dator_elap_transp,2021,
metall_dator_elap_transp,2023,930
industri_for_met,2007,
industri_for_met,2009,
industri_for_met,2011,
industri_for_met,2013,
industri_for_met,2015,
industri_for_met,2017,20
industri_for_met,2019,15
industri_for_met,2021,
industri_for_met,2023,59
datorer_elek,2007,
datorer_elek,2009,
datorer_elek,2011,
datorer_elek,2013,11
datorer_elek,2015,16
datorer_elek,2017,12
datorer_elek,2019,44
datorer_elek,2021,34
datorer_elek,2023,38
elapparatur,2007,
elapparatur,2009,
elapparatur,2011,
elapparatur,2013,
elapparatur,2015,
elapparatur,2017,15
elapparatur,2019,5
elapparatur,2021,18
elapparatur,2023,50
ovrig_mask,2007,
