sni_id,year,ghg_utslapp_prod
jordbruksforetag_serv,2007,
jordbruksforetag_serv,2008,13490784
jordbruksforetag_serv,2009,12552889
jordbruksforetag_serv,2010,13155749
jordbruksforetag_serv,2011,13718586
jordbruksforetag_serv,2012,13878613
jordbruksforetag_serv,2013,14044069
jordbruksforetag_serv,2014,13618757
jordbruksforetag_serv,2015,12692901
jordbruksforetag_serv,2016,12750671
jordbruksforetag_serv,2017,12374623
jordbruksforetag_serv,2018,12141676
jordbruksforetag_serv,2019,12264437
jordbruksforetag_serv,2020,12365678
jordbruksforetag_serv,2021,12222237
jordbruksforetag_serv,2022,12894126
jordbruksforetag_serv,2023,
skogsbruksforetag,2007,
skogsbruksforetag,2008,541570
skogsbruksforetag,2009,526696
skogsbruksforetag,2010,573430
skogsbruksforetag,2011,645045
skogsbruksforetag,2012,614704
skogsbruksforetag,2013,604241
skogsbruksforetag,2014,566915
skogsbruksforetag,2015,702595
skogsbruksforetag,2016,668802
skogsbruksforetag,2017,619108
skogsbruksforetag,2018,649639
skogsbruksforetag,2019,612013
skogsbruksforetag,2020,551334
skogsbruksforetag,2021,487191
skogsbruksforetag,2022,432262
skogsbruksforetag,2023,
fisk,2007,
fisk,2008,174048
fisk,2009,185349
fisk,2010,170851
fisk,2011,144208
fisk,2012,114746
fisk,2013,113926
fisk,2014,178359
fisk,2015,245010
fisk,2016,266488
fisk,2017,248093
fisk,2018,232237
fisk,2019,211288
fisk,2020,167778
fisk,2021,176854
fisk,2022,157062
fisk,2023,
utvinning_min,2007,
utvinning_min,2008,18114195
utvinning_min,2009,12776770
utvinning_min,2010,15329454
utvinning_min,2011,19762819
utvinning_min,2012,16620844
utvinning_min,2013,15222458
utvinning_min,2014,14601161
utvinning_min,2015,13032469
utvinning_min,2016,12721513
utvinning_min,2017,12556406
utvinning_min,2018,13641142
utvinning_min,2019,12602392
utvinning_min,2020,8632286
utvinning_min,2021,9384417
utvinning_min,2022,9745336
utvinning_min,2023,
livsmedel_dryck_tob,2007,
livsmedel_dryck_tob,2008,1272758
livsmedel_dryck_tob,2009,1263477
livsmedel_dryck_tob,2010,1299920
livsmedel_dryck_tob,2011,1323916
livsmedel_dryck_tob,2012,1289572
livsmedel_dryck_tob,2013,1273387
livsmedel_dryck_tob,2014,1232034
livsmedel_dryck_tob,2015,1471094
livsmedel_dryck_tob,2016,1529874
livsmedel_dryck_tob,2017,1505982
livsmedel_dryck_tob,2018,1450120
livsmedel_dryck_tob,2019,1355520
livsmedel_dryck_tob,2020,1387355
livsmedel_dryck_tob,2021,1282295
livsmedel_dryck_tob,2022,1265291
livsmedel_dryck_tob,2023,
textil_bekl,2007,
textil_bekl,2008,1134520
textil_bekl,2009,1014198
textil_bekl,2010,991589
textil_bekl,2011,1052890
textil_bekl,2012,945945
textil_bekl,2013,880534
textil_bekl,2014,881347
textil_bekl,2015,892390
textil_bekl,2016,902518
textil_bekl,2017,958198
textil_bekl,2018,863089
textil_bekl,2019,832591
textil_bekl,2020,712427
textil_bekl,2021,777470
textil_bekl,2022,979809
textil_bekl,2023,
industri_for_tra,2007,
industri_for_tra,2008,418363
industri_for_tra,2009,304451
industri_for_tra,2010,366391
industri_for_tra,2011,363278
industri_for_tra,2012,313864
industri_for_tra,2013,286258
industri_for_tra,2014,272778
industri_for_tra,2015,344112
industri_for_tra,2016,356043
industri_for_tra,2017,363460
industri_for_tra,2018,372723
industri_for_tra,2019,385153
industri_for_tra,2020,364951
