sni_id,year,kem_skatt
totalt_tota,2007,
totalt_tota,2008,0
totalt_tota,2009,0
totalt_tota,2010,0
totalt_tota,2011,0
totalt_tota,2012,0
totalt_tota,2013,0
totalt_tota,2014,0
totalt_tota,2015,0
totalt_tota,2016,0
totalt_tota,2017,734
totalt_tota,2018,1377
totalt_tota,2019,1468
totalt_tota,2020,1630
totalt_tota,2021,2059
totalt_tota,2022,1928
totalt_tota,2023,
jordbruksforetag_serv,2007,
jordbruksforetag_serv,2008,0
jordbruksforetag_serv,2009,0
jordbruksforetag_serv,2010,0
jordbruksforetag_serv,2011,0
jordbruksforetag_serv,2012,0
jordbruksforetag_serv,2013,0
jordbruksforetag_serv,2014,0
jordbruksforetag_serv,2015,0
jordbruksforetag_serv,2016,0
jordbruksforetag_serv,2017,0
jordbruksforetag_serv,2018,1
jordbruksforetag_serv,2019,1
jordbruksforetag_serv,2020,1
jordbruksforetag_serv,2021,1
jordbruksforetag_serv,2022,1
jordbruksforetag_serv,2023,
skogsbruksforetag,2007,
skogsbruksforetag,2008,0
skogsbruksforetag,2009,0
skogsbruksforetag,2010,0
skogsbruksforetag,2011,0
skogsbruksforetag,2012,0
skogsbruksforetag,2013,0
skogsbruksforetag,2014,0
skogsbruksforetag,2015,0
skogsbruksforetag,2016,0
skogsbruksforetag,2017,0
skogsbruksforetag,2018,0
skogsbruksforetag,2019,0
skogsbruksforetag,2020,0
skogsbruksforetag,2021,0
skogsbruksforetag,2022,0
skogsbruksforetag,2023,
fisk,2007,
fisk,2008,0
fisk,2009,0
fisk,2010,0
fisk,2011,0
fisk,2012,0
fisk,2013,0
fisk,2014,0
fisk,2015,0
fisk,2016,0
fisk,2017,0
fisk,2018,0
fisk,2019,0
fisk,2020,0
fisk,2021,0
fisk,2022,0
fisk,2023,
utvinning_min,2007,
utvinning_min,2008,0
utvinning_min,2009,0
utvinning_min,2010,0
utvinning_min,2011,0
utvinning_min,2012,0
utvinning_min,2013,0
utvinning_min,2014,0
utvinning_min,2015,0
utvinning_min,2016,0
utvinning_min,2017,0
utvinning_min,2018,0
utvinning_min,2019,0
utvinning_min,2020,0
utvinning_min,2021,0
utvinning_min,2022,0
utvinning_min,2023,
livsmedel_dryck_tob,2007,
livsmedel_dryck_tob,2008,0
livsmedel_dryck_tob,2009,0
livsmedel_dryck_tob,2010,0
livsmedel_dryck_tob,2011,0
livsmedel_dryck_tob,2012,0
livsmedel_dryck_tob,2013,0
livsmedel_dryck_tob,2014,0
livsmedel_dryck_tob,2015,0
livsmedel_dryck_tob,2016,0
livsmedel_dryck_tob,2017,0
livsmedel_dryck_tob,2018,1
livsmedel_dryck_tob,2019,0
livsmedel_dryck_tob,2020,1
livsmedel_dryck_tob,2021,1
livsmedel_dryck_tob,2022,0
livsmedel_dryck_tob,2023,
textil_bekl,2007,
textil_bekl,2008,0
textil_bekl,2009,0
textil_bekl,2010,0
textil_bekl,2011,0
textil_bekl,2012,0
textil_bekl,2013,0
textil_bekl,2014,0
textil_bekl,2015,0
textil_bekl,2016,0
textil_bekl,2017,0
textil_bekl,2018,0
textil_bekl,2019,0
textil_bekl,2020,0
textil_bekl,2021,0
textil_bekl,2022,0
textil_bekl,2023,
industri_for_tra,2007,
industri_for_tra,2008,0
industri_for_tra,2009,0
industri_for_tra,2010,0
industri_for_tra,2011,0
industri_for_tra,2012,0
industri_for_tra,2013,0
industri_for_tra,2014,0
industri_for_tra,2015,0
industri_for_tra,2016,0
industri_for_tra,2017,3
industri_for_tra,2018,8
industri_for_tra,2019,9
industri_for_tra,2020,11
industri_for_tra,2021,15
industri_for_tra,2022,12
industri_for_tra,2023,
massa_papp,2007,
massa_papp,2008,0
massa_papp,2009,0
massa_papp,2010,0
massa_papp,2011,0
massa_papp,2012,0
massa_papp,2013,0
massa_papp,2014,0
massa_papp,2015,0
massa_papp,2016,0
massa_papp,2017,1
massa_papp,2018,2
massa_papp,2019,2
massa_papp,2020,2
massa_papp,2021,0
massa_papp,2022,0
massa_papp,2023,
grafisk,2007,
grafisk,2008,0
grafisk,2009,0
grafisk,2010,0
grafisk,2011,0
grafisk,2012,0
grafisk,2013,0
grafisk,2014,0
grafisk,2015,0
grafisk,2016,0
grafisk,2017,0
grafisk,2018,0
grafisk,2019,0
grafisk,2020,0
grafisk,2021,0
grafisk,2022,0
grafisk,2023,
industri_for_sten,2007,
industri_for_sten,2008,0
industri_for_sten,2009,0
industri_for_sten,2010,0
industri_for_sten,2011,0
industri_for_sten,2012,0
industri_for_sten,2013,0
industri_for_sten,2014,0
industri_for_sten,2015,0
industri_for_sten,2016,0
industri_for_sten,2017,0
industri_for_sten,2018,0
industri_for_sten,2019,0
industri_for_sten,2020,0
industri_for_sten,2021,0
industri_for_sten,2022,0
industri_for_sten,2023,
industri_for_bas,2007,
industri_for_bas,2008,0
industri_for_bas,2009,0
industri_for_bas,2010,0
industri_for_bas,2011,0
industri_for_bas,2012,0
industri_for_bas,2013,0
industri_for_bas,2014,0
industri_for_bas,2015,0
industri_for_bas,2016,0
industri_for_bas,2017,0
industri_for_bas,2018,1
industri_for_bas,2019,1
industri_for_bas,2020,1
industri_for_bas,2021,1
industri_for_bas,2022,2
industri_for_bas,2023,
gummi,2007,
gummi,2008,0
gummi,2009,0
gummi,2010,0
gummi,2011,0
gummi,2012,0
gummi,2013,0
gummi,2014,0
gummi,2015,0
gummi,2016,0
gummi,2017,0
gummi,2018,0
gummi,2019,0
gummi,2020,18
gummi,2021,44
gummi,2022,41
gummi,2023,
icke_met_andra,2007,
icke_met_andra,2008,0
icke_met_andra,2009,0
icke_met_andra,2010,0
icke_met_andra,2011,0
icke_met_andra,2012,0
icke_met_andra,2013,0
icke_met_andra,2014,0
icke_met_andra,2015,0
icke_met_andra,2016,0
icke_met_andra,2017,0
icke_met_andra,2018,0
icke_met_andra,2019,0
icke_met_andra,2020,0
icke_met_andra,2021,0
icke_met_andra,2022,0
icke_met_andra,2023,
metaller,2007,
metaller,2008,0
metaller,2009,0
metaller,2010,0
metaller,2011,0
metaller,2012,0
metaller,2013,0
metaller,2014,0
metaller,2015,0
metaller,2016,0
metaller,2017,0
metaller,2018,0
metaller,2019,0
metaller,2020,0
metaller,2021,0
metaller,2022,0
metaller,2023,
industri_for_met,2007,
industri_for_met,2008,0
industri_for_met,2009,0
industri_for_met,2010,0
industri_for_met,2011,0
industri_for_met,2012,0
industri_for_met,2013,0
industri_for_met,2014,0
industri_for_met,2015,0
industri_for_met,2016,0
industri_for_met,2017,1
industri_for_met,2018,2
industri_for_met,2019,2
industri_for_met,2020,1
industri_for_met,2021,7
industri_for_met,2022,5
industri_for_met,2023,
datorer_elek,2007,
datorer_elek,2008,0
datorer_elek,2009,0
datorer_elek,2010,0
datorer_elek,2011,0
datorer_elek,2012,0
datorer_elek,2013,0
datorer_elek,2014,0
datorer_elek,2015,0
datorer_elek,2016,0
datorer_elek,2017,52
datorer_elek,2018,50
datorer_elek,2019,67
datorer_elek,2020,60
datorer_elek,2021,99
datorer_elek,2022,104
datorer_elek,2023,
elapparatur,2007,
elapparatur,2008,0
elapparatur,2009,0
elapparatur,2010,0
elapparatur,2011,0
elapparatur,2012,0
elapparatur,2013,0
elapparatur,2014,0
elapparatur,2015,0
elapparatur,2016,0
elapparatur,2017,7
elapparatur,2018,13
elapparatur,2019,12
elapparatur,2020,10
elapparatur,2021,25
elapparatur,2022,25
elapparatur,2023,
ovrig_mask,2007,
ovrig_mask,2008,0
ovrig_mask,2009,0
ovrig_mask,2010,0
ovrig_mask,2011,0
ovrig_mask,2012,0
ovrig_mask,2013,0
ovrig_mask,2014,0
ovrig_mask,2015,0
ovrig_mask,2016,0
ovrig_mask,2017,2
ovrig_mask,2018,4
ovrig_mask,2019,4
ovrig_mask,2020,5
ovrig_mask,2021,36
ovrig_mask,2022,35
ovrig_mask,2023,
industri_for_mot,2007,
industri_for_mot,2008,0
industri_for_mot,2009,0
industri_for_mot,2010,0
industri_for_mot,2011,0
industri_for_mot,2012,0
industri_for_mot,2013,0
industri_for_mot,2014,0
industri_for_mot,2015,0
industri_for_mot,2016,0
industri_for_mot,2017,47
industri_for_mot,2018,80
industri_for_mot,2019,77
industri_for_mot,2020,61
industri_for_mot,2021,225
industri_for_mot,2022,224
industri_for_mot,2023,
andra_tran,2007,
andra_tran,2008,0
andra_tran,2009,0
andra_tran,2010,0
andra_tran,2011,0
andra_tran,2012,0
andra_tran,2013,0
andra_tran,2014,0
andra_tran,2015,0
andra_tran,2016,0
andra_tran,2017,1
andra_tran,2018,3
andra_tran,2019,2
andra_tran,2020,2
andra_tran,2021,2
andra_tran,2022,3
andra_tran,2023,
tillverkning_mob,2007,
tillverkning_mob,2008,0
tillverkning_mob,2009,0
tillverkning_mob,2010,0
tillverkning_mob,2011,0
tillverkning_mob,2012,0
tillverkning_mob,2013,0
tillverkning_mob,2014,0
tillverkning_mob,2015,0
tillverkning_mob,2016,0
tillverkning_mob,2017,1
tillverkning_mob,2018,1
tillverkning_mob,2019,1
tillverkning_mob,2020,0
tillverkning_mob,2021,1
tillverkning_mob,2022,1
tillverkning_mob,2023,
reparationsverkstader,2007,
reparationsverkstader,2008,0
reparationsverkstader,2009,0
reparationsverkstader,2010,0
reparationsverkstader,2011,0
reparationsverkstader,2012,0
reparationsverkstader,2013,0
reparationsverkstader,2014,0
reparationsverkstader,2015,0
reparationsverkstader,2016,0
reparationsverkstader,2017,1
reparationsverkstader,2018,7
reparationsverkstader,2019,7
reparationsverkstader,2020,8
reparationsverkstader,2021,15
reparationsverkstader,2022,15
reparationsverkstader,2023,
el_gas,2007,
el_gas,2008,0
el_gas,2009,0
el_gas,2010,0
el_gas,2011,0
el_gas,2012,0
el_gas,2013,0
el_gas,2014,0
el_gas,2015,0
el_gas,2016,0
el_gas,2017,1
el_gas,2018,2
el_gas,2019,2
el_gas,2020,2
el_gas,2021,4
el_gas,2022,5
el_gas,2023,
vattenforsorjning_e,2007,
vattenforsorjning_e,2008,0
vattenforsorjning_e,2009,0
vattenforsorjning_e,2010,0
vattenforsorjning_e,2011,0
vattenforsorjning_e,2012,0
vattenforsorjning_e,2013,0
vattenforsorjning_e,2014,0
vattenforsorjning_e,2015,0
vattenforsorjning_e,2016,0
vattenforsorjning_e,2017,0
vattenforsorjning_e,2018,0
vattenforsorjning_e,2019,0
vattenforsorjning_e,2020,0
vattenforsorjning_e,2021,0
vattenforsorjning_e,2022,0
vattenforsorjning_e,2023,
vattenforsorjning_avlo,2007,
vattenforsorjning_avlo,2008,0
vattenforsorjning_avlo,2009,0
vattenforsorjning_avlo,2010,0
vattenforsorjning_avlo,2011,0
vattenforsorjning_avlo,2012,0
vattenforsorjning_avlo,2013,0
vattenforsorjning_avlo,2014,0
vattenforsorjning_avlo,2015,0
vattenforsorjning_avlo,2016,0
vattenforsorjning_avlo,2017,0
vattenforsorjning_avlo,2018,1
vattenforsorjning_avlo,2019,1
vattenforsorjning_avlo,2020,1
vattenforsorjning_avlo,2021,1
vattenforsorjning_avlo,2022,1
vattenforsorjning_avlo,2023,
bygg,2007,
bygg,2008,0
bygg,2009,0
bygg,2010,0
bygg,2011,0
bygg,2012,0
bygg,2013,0
bygg,2014,0
bygg,2015,0
bygg,2016,0
bygg,2017,21
bygg,2018,41
bygg,2019,40
bygg,2020,40
bygg,2021,43
bygg,2022,39
bygg,2023,
hand_g,2007,
hand_g,2008,0
hand_g,2009,0
hand_g,2010,0
hand_g,2011,0
hand_g,2012,0
hand_g,2013,0
hand_g,2014,0
hand_g,2015,0
hand_g,2016,0
hand_g,2017,3
hand_g,2018,8
hand_g,2019,7
hand_g,2020,7
hand_g,2021,8
hand_g,2022,8
hand_g,2023,
landtransportforetag_rort,2007,
landtransportforetag_rort,2008,0
landtransportforetag_rort,2009,0
landtransportforetag_rort,2010,0
landtransportforetag_rort,2011,0
landtransportforetag_rort,2012,0
landtransportforetag_rort,2013,0
landtransportforetag_rort,2014,0
landtransportforetag_rort,2015,0
landtransportforetag_rort,2016,0
landtransportforetag_rort,2017,0
landtransportforetag_rort,2018,0
landtransportforetag_rort,2019,0
landtransportforetag_rort,2020,0
landtransportforetag_rort,2021,0
landtransportforetag_rort,2022,0
landtransportforetag_rort,2023,
rederier,2007,
rederier,2008,0
rederier,2009,0
rederier,2010,0
rederier,2011,0
rederier,2012,0
rederier,2013,0
rederier,2014,0
rederier,2015,0
rederier,2016,0
rederier,2017,0
rederier,2018,0
rederier,2019,0
rederier,2020,0
rederier,2021,0
rederier,2022,0
rederier,2023,
flygbolag,2007,
flygbolag,2008,0
flygbolag,2009,0
flygbolag,2010,0
flygbolag,2011,0
flygbolag,2012,0
flygbolag,2013,0
flygbolag,2014,0
flygbolag,2015,0
flygbolag,2016,0
flygbolag,2017,0
flygbolag,2018,0
flygbolag,2019,0
flygbolag,2020,0
flygbolag,2021,0
flygbolag,2022,0
flygbolag,2023,
magasinering,2007,
magasinering,2008,0
magasinering,2009,0
magasinering,2010,0
magasinering,2011,0
magasinering,2012,0
magasinering,2013,0
magasinering,2014,0
magasinering,2015,0
magasinering,2016,0
magasinering,2017,0
magasinering,2018,1
magasinering,2019,0
magasinering,2020,1
magasinering,2021,1
magasinering,2022,1
magasinering,2023,
hotell_rest_i,2007,
hotell_rest_i,2008,0
hotell_rest_i,2009,0
hotell_rest_i,2010,0
hotell_rest_i,2011,0
hotell_rest_i,2012,0
hotell_rest_i,2013,0
hotell_rest_i,2014,0
hotell_rest_i,2015,0
hotell_rest_i,2016,0
hotell_rest_i,2017,1
hotell_rest_i,2018,1
hotell_rest_i,2019,1
hotell_rest_i,2020,1
hotell_rest_i,2021,1
hotell_rest_i,2022,1
hotell_rest_i,2023,
forlag,2007,
forlag,2008,0
forlag,2009,0
forlag,2010,0
forlag,2011,0
forlag,2012,0
forlag,2013,0
forlag,2014,0
forlag,2015,0
forlag,2016,0
forlag,2017,3
forlag,2018,6
forlag,2019,5
forlag,2020,6
forlag,2021,7
forlag,2022,6
forlag,2023,
film_vide_j,2007,
film_vide_j,2008,0
film_vide_j,2009,0
film_vide_j,2010,0
film_vide_j,2011,0
film_vide_j,2012,0
film_vide_j,2013,0
film_vide_j,2014,0
film_vide_j,2015,0
film_vide_j,2016,0
film_vide_j,2017,1
film_vide_j,2018,2
film_vide_j,2019,2
film_vide_j,2020,2
film_vide_j,2021,5
film_vide_j,2022,7
film_vide_j,2023,
telekommunikation_j,2007,
