sni_id,year,kem_tonne
jordbruksforetag_serv,2008,68564
jordbruksforetag_serv,2009,69088
jordbruksforetag_serv,2010,95612
jordbruksforetag_serv,2011,124408
jordbruksforetag_serv,2012,104087
jordbruksforetag_serv,2013,89187
jordbruksforetag_serv,2014,85071
jordbruksforetag_serv,2015,123522
jordbruksforetag_serv,2016,122132
jordbruksforetag_serv,2017,127454
jordbruksforetag_serv,2018,126118
jordbruksforetag_serv,2019,128445
jordbruksforetag_serv,2020,137124
skogsbruksforetag,2008,5005
skogsbruksforetag,2009,4704
skogsbruksforetag,2010,9222
skogsbruksforetag,2011,10138
skogsbruksforetag,2012,12345
skogsbruksforetag,2013,9085
skogsbruksforetag,2014,11772
skogsbruksforetag,2015,28766
skogsbruksforetag,2016,28194
skogsbruksforetag,2017,21442
skogsbruksforetag,2018,26186
skogsbruksforetag,2019,20259
skogsbruksforetag,2020,20252
fisk,2008,1775
fisk,2009,1585
fisk,2010,1785
fisk,2011,1851
fisk,2012,2171
fisk,2013,1571
fisk,2014,2971
fisk,2015,6061
fisk,2016,7065
fisk,2017,6780
fisk,2018,5955
fisk,2019,6403
fisk,2020,9046
utvinning_min,2008,5845
utvinning_min,2009,-4587
utvinning_min,2010,3379
utvinning_min,2011,8011
utvinning_min,2012,2081
utvinning_min,2013,4378
utvinning_min,2014,2811
utvinning_min,2015,9156
utvinning_min,2016,4777
utvinning_min,2017,1692
utvinning_min,2018,-953
utvinning_min,2019,28049
utvinning_min,2020,-17586
livsmedel_dryck_tob,2008,316531
livsmedel_dryck_tob,2009,305682
livsmedel_dryck_tob,2010,430101
livsmedel_dryck_tob,2011,486992
livsmedel_dryck_tob,2012,456412
livsmedel_dryck_tob,2013,398687
livsmedel_dryck_tob,2014,413794
livsmedel_dryck_tob,2015,497162
livsmedel_dryck_tob,2016,549318
livsmedel_dryck_tob,2017,527720
livsmedel_dryck_tob,2018,510578
livsmedel_dryck_tob,2019,490326
livsmedel_dryck_tob,2020,563792
textil_bekl,2008,186134
textil_bekl,2009,163402
textil_bekl,2010,242650
textil_bekl,2011,243944
textil_bekl,2012,231735
textil_bekl,2013,189508
textil_bekl,2014,194976
textil_bekl,2015,231036
textil_bekl,2016,243738
textil_bekl,2017,250662
textil_bekl,2018,242122
textil_bekl,2019,248613
textil_bekl,2020,196842
industri_for_tra,2008,9616
industri_for_tra,2009,9693
industri_for_tra,2010,18408
industri_for_tra,2011,14671
industri_for_tra,2012,14326
industri_for_tra,2013,10047
industri_for_tra,2014,11796
industri_for_tra,2015,25876
industri_for_tra,2016,18585
industri_for_tra,2017,21530
industri_for_tra,2018,18478
industri_for_tra,2019,16681
industri_for_tra,2020,7554
massa_papp_graf,2008,42820
massa_papp_graf,2009,386
massa_papp_graf,2010,51722
massa_papp_graf,2011,55581
massa_papp_graf,2012,40304
massa_papp_graf,2013,30308
massa_papp_graf,2014,29761
massa_papp_graf,2015,25189
massa_papp_graf,2016,46443
massa_papp_graf,2017,18838
massa_papp_graf,2018,52709
massa_papp_graf,2019,4443
massa_papp_graf,2020,12457
industri_for_sten,2008,124699
industri_for_sten,2009,78742
industri_for_sten,2010,213761
industri_for_sten,2011,218400
industri_for_sten,2012,250101
industri_for_sten,2013,128587
industri_for_sten,2014,138696
industri_for_sten,2015,114597
industri_for_sten,2016,149901
industri_for_sten,2017,165774
industri_for_sten,2018,185129
industri_for_sten,2019,133734
industri_for_sten,2020,122197
industri_for_bas,2008,617792
industri_for_bas,2009,661111
industri_for_bas,2010,936892
industri_for_bas,2011,1057169
industri_for_bas,2012,1052116
industri_for_bas,2013,764010
industri_for_bas,2014,755090
industri_for_bas,2015,755181
industri_for_bas,2016,817636
industri_for_bas,2017,731856
industri_for_bas,2018,791751
industri_for_bas,2019,832529
industri_for_bas,2020,986126
gummi,2008,50659
gummi,2009,37931
gummi,2010,72557
gummi,2011,82185
gummi,2012,77413
gummi,2013,70762
gummi,2014,78465
gummi,2015,97609
gummi,2016,107264
gummi,2017,98311
gummi,2018,118010
gummi,2019,107958
gummi,2020,127690
icke_met_andra,2008,211139
icke_met_andra,2009,83678
icke_met_andra,2010,200575
icke_met_andra,2011,221059
icke_met_andra,2012,280364
icke_met_andra,2013,138332
icke_met_andra,2014,252308
icke_met_andra,2015,364884
icke_met_andra,2016,202378
icke_met_andra,2017,333914
icke_met_andra,2018,392042
icke_met_andra,2019,363607
icke_met_andra,2020,186353
metaller,2008,-1592
metaller,2009,-54459
metaller,2010,17967
metaller,2011,17223
metaller,2012,-15909
metaller,2013,-5746
metaller,2014,-9957
metaller,2015,23660
metaller,2016,4232
metaller,2017,-24594
metaller,2018,22948
metaller,2019,19425
metaller,2020,-5821
industri_for_met,2008,95903
industri_for_met,2009,59239
industri_for_met,2010,120461
industri_for_met,2011,105368
industri_for_met,2012,126091
industri_for_met,2013,108909
industri_for_met,2014,124513
industri_for_met,2015,165449
industri_for_met,2016,181780
industri_for_met,2017,204759
industri_for_met,2018,212075
industri_for_met,2019,229499
industri_for_met,2020,209142
datorer_elek,2008,177493
datorer_elek,2009,135391
datorer_elek,2010,236990
datorer_elek,2011,210804
datorer_elek,2012,193260
datorer_elek,2013,170981
datorer_elek,2014,193075
datorer_elek,2015,225477
datorer_elek,2016,207160
datorer_elek,2017,206697
datorer_elek,2018,218655
datorer_elek,2019,201057
datorer_elek,2020,198526
elapparatur,2008,102680
elapparatur,2009,69748
elapparatur,2010,119546
elapparatur,2011,115652
elapparatur,2012,109293
elapparatur,2013,99814
elapparatur,2014,122318
elapparatur,2015,171775
elapparatur,2016,163470
elapparatur,2017,138541
elapparatur,2018,165141
elapparatur,2019,177254
elapparatur,2020,165925
ovrig_mask,2008,250364
ovrig_mask,2009,129043
ovrig_mask,2010,266295
ovrig_mask,2011,314242
ovrig_mask,2012,311029
ovrig_mask,2013,244732
ovrig_mask,2014,262867
ovrig_mask,2015,317015
ovrig_mask,2016,355647
ovrig_mask,2017,356796
ovrig_mask,2018,363694
ovrig_mask,2019,371411
ovrig_mask,2020,383152
industri_for_mot,2008,261973
industri_for_mot,2009,147174
industri_for_mot,2010,354597
industri_for_mot,2011,407306
industri_for_mot,2012,346066
industri_for_mot,2013,314961
industri_for_mot,2014,366513
industri_for_mot,2015,498692
industri_for_mot,2016,548668
industri_for_mot,2017,502477
industri_for_mot,2018,485580
industri_for_mot,2019,432833
industri_for_mot,2020,406575
andra_tran,2008,46867
andra_tran,2009,20964
andra_tran,2010,30773
andra_tran,2011,41287
andra_tran,2012,59381
andra_tran,2013,45632
andra_tran,2014,52317
andra_tran,2015,72403
andra_tran,2016,58321
andra_tran,2017,57905
andra_tran,2018,105627
andra_tran,2019,90284
andra_tran,2020,58701
tillverkning_mob,2008,131611
tillverkning_mob,2009,103607
tillverkning_mob,2010,169229
tillverkning_mob,2011,172471
tillverkning_mob,2012,160769
tillverkning_mob,2013,138301
tillverkning_mob,2014,162117
tillverkning_mob,2015,220495
tillverkning_mob,2016,233997
tillverkning_mob,2017,220916
tillverkning_mob,2018,210694
tillverkning_mob,2019,208104
tillverkning_mob,2020,221613
reparationsverkstader,2008,23675
reparationsverkstader,2009,16218
reparationsverkstader,2010,19258
reparationsverkstader,2011,13490
