sni_id,year,koldi_skatt
annan_serv,2000,
annan_serv,2001,
annan_serv,2002,
annan_serv,2003,
annan_serv,2004,
annan_serv,2005,
annan_serv,2006,
annan_serv,2007,
annan_serv,2008,133
annan_serv,2009,134
annan_serv,2010,147
annan_serv,2011,146
annan_serv,2012,135
annan_serv,2013,128
annan_serv,2014,127
annan_serv,2015,124
annan_serv,2016,120
annan_serv,2017,113
annan_serv,2018,111
annan_serv,2019,108
annan_serv,2020,104
annan_serv,2021,104.780526487466
annan_serv,2022,96.7634768465943
annan_serv,2023,
andra_tran,2000,
andra_tran,2001,
andra_tran,2002,
andra_tran,2003,
andra_tran,2004,
andra_tran,2005,
andra_tran,2006,
andra_tran,2007,
andra_tran,2008,18
andra_tran,2009,17
andra_tran,2010,18
andra_tran,2011,17
andra_tran,2012,17
andra_tran,2013,17
andra_tran,2014,16
andra_tran,2015,17
andra_tran,2016,17
andra_tran,2017,17
andra_tran,2018,17
andra_tran,2019,15
andra_tran,2020,14
andra_tran,2021,14.3938827801081
andra_tran,2022,12.9876608192695
andra_tran,2023,
arbetsformedling_rese,2000,
arbetsformedling_rese,2001,
arbetsformedling_rese,2002,
arbetsformedling_rese,2003,
arbetsformedling_rese,2004,
arbetsformedling_rese,2005,
arbetsformedling_rese,2006,
arbetsformedling_rese,2007,
arbetsformedling_rese,2008,232
arbetsformedling_rese,2009,235
arbetsformedling_rese,2010,273
arbetsformedling_rese,2011,272
arbetsformedling_rese,2012,269
arbetsformedling_rese,2013,264
arbetsformedling_rese,2014,249
arbetsformedling_rese,2015,256
arbetsformedling_rese,2016,242
arbetsformedling_rese,2017,242
arbetsformedling_rese,2018,230
arbetsformedling_rese,2019,218
arbetsformedling_rese,2020,212
arbetsformedling_rese,2021,217.189184906008
arbetsformedling_rese,2022,197.383281376293
arbetsformedling_rese,2023,
arkitekt_tekn,2000,
arkitekt_tekn,2001,
arkitekt_tekn,2002,
arkitekt_tekn,2003,
arkitekt_tekn,2004,
arkitekt_tekn,2005,
arkitekt_tekn,2006,
arkitekt_tekn,2007,
arkitekt_tekn,2008,156
arkitekt_tekn,2009,163
arkitekt_tekn,2010,168
arkitekt_tekn,2011,161
arkitekt_tekn,2012,160
arkitekt_tekn,2013,154
arkitekt_tekn,2014,144
arkitekt_tekn,2015,150
arkitekt_tekn,2016,142
arkitekt_tekn,2017,141
arkitekt_tekn,2018,135
arkitekt_tekn,2019,128
arkitekt_tekn,2020,123
arkitekt_tekn,2021,118.917583307635
arkitekt_tekn,2022,107.26576595475
arkitekt_tekn,2023,
vattenforsorjning_avlo,2000,
vattenforsorjning_avlo,2001,
vattenforsorjning_avlo,2002,
vattenforsorjning_avlo,2003,
vattenforsorjning_avlo,2004,
vattenforsorjning_avlo,2005,
vattenforsorjning_avlo,2006,
vattenforsorjning_avlo,2007,
vattenforsorjning_avlo,2008,163
vattenforsorjning_avlo,2009,171
vattenforsorjning_avlo,2010,192
vattenforsorjning_avlo,2011,188
vattenforsorjning_avlo,2012,189
vattenforsorjning_avlo,2013,178
vattenforsorjning_avlo,2014,177
vattenforsorjning_avlo,2015,183
vattenforsorjning_avlo,2016,174
vattenforsorjning_avlo,2017,161
vattenforsorjning_avlo,2018,152
vattenforsorjning_avlo,2019,135
vattenforsorjning_avlo,2020,119
vattenforsorjning_avlo,2021,132.665149532986
vattenforsorjning_avlo,2022,0.787870812408743
vattenforsorjning_avlo,2023,
banker,2000,
banker,2001,
banker,2002,
banker,2003,
banker,2004,
banker,2005,
banker,2006,
banker,2007,
banker,2008,46
banker,2009,41
banker,2010,70
banker,2011,66
banker,2012,78
banker,2013,72
banker,2014,67
banker,2015,73
banker,2016,73
banker,2017,76
banker,2018,70
banker,2019,66
banker,2020,65
banker,2021,98.3547305129547
banker,2022,100.377162470677
banker,2023,
bygg,2000,
bygg,2001,
bygg,2002,
bygg,2003,
bygg,2004,
bygg,2005,
bygg,2006,
bygg,2007,
bygg,2008,1957
bygg,2009,2012
bygg,2010,2192
bygg,2011,2079
bygg,2012,2145
bygg,2013,2067
bygg,2014,1976
bygg,2015,2085
bygg,2016,2099
bygg,2017,2027
bygg,2018,1902
bygg,2019,1829
bygg,2020,1818
bygg,2021,1936.73304256128
bygg,2022,1746.96750036353
bygg,2023,
dataprogrammering_data,2000,
dataprogrammering_data,2001,
dataprogrammering_data,2002,
dataprogrammering_data,2003,
dataprogrammering_data,2004,
dataprogrammering_data,2005,
dataprogrammering_data,2006,
dataprogrammering_data,2007,
dataprogrammering_data,2008,92
dataprogrammering_data,2009,98
dataprogrammering_data,2010,91
dataprogrammering_data,2011,94
dataprogrammering_data,2012,89
dataprogrammering_data,2013,84
dataprogrammering_data,2014,77
dataprogrammering_data,2015,78
dataprogrammering_data,2016,73
dataprogrammering_data,2017,72
dataprogrammering_data,2018,69
dataprogrammering_data,2019,63
dataprogrammering_data,2020,57
