sni_id,year,netto
jordbruksforetag_serv,2008,74009
jordbruksforetag_serv,2009,69283
jordbruksforetag_serv,2010,83512
jordbruksforetag_serv,2011,88069
jordbruksforetag_serv,2012,87538
jordbruksforetag_serv,2013,87171
jordbruksforetag_serv,2014,89102
jordbruksforetag_serv,2015,89045
jordbruksforetag_serv,2016,90596
jordbruksforetag_serv,2017,95615
jordbruksforetag_serv,2018,96690
jordbruksforetag_serv,2019,101896
jordbruksforetag_serv,2020,104001
jordbruksforetag_serv,2021,108349
jordbruksforetag_serv,2022,120747
skogsbruksforetag,2008,82169
skogsbruksforetag,2009,70218
skogsbruksforetag,2010,82137
skogsbruksforetag,2011,87688
skogsbruksforetag,2012,73261
skogsbruksforetag,2013,64484
skogsbruksforetag,2014,66366
skogsbruksforetag,2015,66354
skogsbruksforetag,2016,65584
skogsbruksforetag,2017,66007
skogsbruksforetag,2018,72685
skogsbruksforetag,2019,78458
skogsbruksforetag,2020,76904
skogsbruksforetag,2021,81341
skogsbruksforetag,2022,73905
fisk,2008,1706
fisk,2009,1742
fisk,2010,2075
fisk,2011,2417
fisk,2012,2139
fisk,2013,2227
fisk,2014,2207
fisk,2015,2500
fisk,2016,2793
fisk,2017,2673
fisk,2018,2716
fisk,2019,2532
fisk,2020,2522
fisk,2021,2751
fisk,2022,3080
metallmalmer,2008,28704.0138756969
metallmalmer,2009,19827.2563287219
metallmalmer,2010,38347.2344253328
metallmalmer,2011,41620.2851759558
metallmalmer,2012,39107.2563058409
metallmalmer,2013,35044.4436880812
metallmalmer,2014,33362.4822220872
metallmalmer,2015,29122.8819060354
metallmalmer,2016,32797.4224761442
metallmalmer,2017,40776
metallmalmer,2018,42852.8423995624
metallmalmer,2019,47123.8349237221
metallmalmer,2020,52887
metallmalmer,2021,71688
metallmalmer,2022,52408
annan_indu,2008,4536.4551353414
annan_indu,2009,3721.74367127813
annan_indu,2010,7198.10016410381
annan_indu,2011,7812.47946676391
annan_indu,2012,7340.76269778561
annan_indu,2013,6578.13841447355
annan_indu,2014,6262.42002471687
annan_indu,2015,5466.61119552665
annan_indu,2016,6156.35353228388
annan_indu,2017,7654
annan_indu,2018,8043.84088008266
annan_indu,2019,8845.54229218582
annan_indu,2020,8847
annan_indu,2021,9452
annan_indu,2022,8549
serviceforetag_utv,2008,1890
serviceforetag_utv,2009,2174
serviceforetag_utv,2010,873.665410563423
serviceforetag_utv,2011,948.235357280334
serviceforetag_utv,2012,890.980996373508
serviceforetag_utv,2013,798.417897445248
serviceforetag_utv,2014,760.097753195972
serviceforetag_utv,2015,663.506898437975
serviceforetag_utv,2016,747.223991571952
serviceforetag_utv,2017,929
serviceforetag_utv,2018,976.31672035495
serviceforetag_utv,2019,1073.62278409206
serviceforetag_utv,2020,151
serviceforetag_utv,2021,238
serviceforetag_utv,2022,256
livsmedel,2008,137025
livsmedel,2009,137776
livsmedel,2010,140927
livsmedel,2011,145758
livsmedel,2012,147238
livsmedel,2013,151180
livsmedel,2014,149637
livsmedel,2015,151340
livsmedel,2016,157833
livsmedel,2017,165026
livsmedel,2018,167355
livsmedel,2019,172260
livsmedel,2020,173308
livsmedel,2021,177396
livsmedel,2022,212035
dryckesvaru,2008,22921
dryckesvaru,2009,24411
dryckesvaru,2010,23468
dryckesvaru,2011,24081
dryckesvaru,2012,26450
dryckesvaru,2013,27143
dryckesvaru,2014,24953
dryckesvaru,2015,25571
dryckesvaru,2016,26849
dryckesvaru,2017,23497
dryckesvaru,2018,25006
dryckesvaru,2019,26643
dryckesvaru,2020,28275
dryckesvaru,2021,32206
dryckesvaru,2022,45179
textilindustri,2008,8248
textilindustri,2009,6915
textilindustri,2010,7663
textilindustri,2011,7563
textilindustri,2012,7218
textilindustri,2013,7482
textilindustri,2014,7749
textilindustri,2015,8061
textilindustri,2016,8380
textilindustri,2017,8690
textilindustri,2018,9005
textilindustri,2019,9260
textilindustri,2020,8955
textilindustri,2021,9218
textilindustri,2022,10683
bekladnadsindustri,2008,3201
bekladnadsindustri,2009,2912
bekladnadsindustri,2010,2167
bekladnadsindustri,2011,2201
bekladnadsindustri,2012,1958
bekladnadsindustri,2013,2046
bekladnadsindustri,2014,2174
bekladnadsindustri,2015,2181
bekladnadsindustri,2016,2270
bekladnadsindustri,2017,2466
bekladnadsindustri,2018,2526
bekladnadsindustri,2019,2654
bekladnadsindustri,2020,2084
bekladnadsindustri,2021,1972
bekladnadsindustri,2022,2477
industri_for_lad,2008,1411
industri_for_lad,2009,1149
industri_for_lad,2010,1369
industri_for_lad,2011,1448
industri_for_lad,2012,1266
industri_for_lad,2013,1335
industri_for_lad,2014,1143
industri_for_lad,2015,1190
industri_for_lad,2016,1343
industri_for_lad,2017,1199
industri_for_lad,2018,1601
industri_for_lad,2019,1233
industri_for_lad,2020,1075
industri_for_lad,2021,1154
industri_for_lad,2022,1471
industri_for_tra,2008,88753
industri_for_tra,2009,79241
industri_for_tra,2010,85652
industri_for_tra,2011,85771
industri_for_tra,2012,80815
industri_for_tra,2013,75804
industri_for_tra,2014,89136
industri_for_tra,2015,94512
industri_for_tra,2016,88078
