sni_id,year,syss_bel_man
bransch_ospe,2007,
bransch_ospe,2008,22174
bransch_ospe,2009,20180
bransch_ospe,2010,19969
bransch_ospe,2011,21536
bransch_ospe,2012,21959
bransch_ospe,2013,21631
bransch_ospe,2014,22239
bransch_ospe,2015,21757
bransch_ospe,2016,20084
bransch_ospe,2017,21751
bransch_ospe,2018,21249
bransch_ospe,2019,25745
bransch_ospe,2020,33357
bransch_ospe,2021,32636
bransch_ospe,2022,32488
bransch_ospe,2023,34028
jord_skog,2007,
jord_skog,2008,59348
jord_skog,2009,60672
jord_skog,2010,63369
jord_skog,2011,77312
jord_skog,2012,76712
jord_skog,2013,76751
jord_skog,2014,76283
jord_skog,2015,75121
jord_skog,2016,72349
jord_skog,2017,72720
jord_skog,2018,70139
jord_skog,2019,73520
jord_skog,2020,71171
jord_skog,2021,69538
jord_skog,2022,68337
jord_skog,2023,66868
utvinning_min,2007,
utvinning_min,2008,7157
utvinning_min,2009,6770
utvinning_min,2010,7026
utvinning_min,2011,7189
utvinning_min,2012,7532
utvinning_min,2013,7683
utvinning_min,2014,7712
utvinning_min,2015,7387
utvinning_min,2016,7188
utvinning_min,2017,7033
utvinning_min,2018,7113
utvinning_min,2019,6901
utvinning_min,2020,7112
utvinning_min,2021,7437
utvinning_min,2022,7606
utvinning_min,2023,7756
livsmedel_dryck_tob,2007,
livsmedel_dryck_tob,2008,36592
livsmedel_dryck_tob,2009,35907
livsmedel_dryck_tob,2010,35303
livsmedel_dryck_tob,2011,35414
livsmedel_dryck_tob,2012,34812
livsmedel_dryck_tob,2013,34728
livsmedel_dryck_tob,2014,34155
livsmedel_dryck_tob,2015,34262
livsmedel_dryck_tob,2016,34337
livsmedel_dryck_tob,2017,34086
livsmedel_dryck_tob,2018,33962
livsmedel_dryck_tob,2019,33491
livsmedel_dryck_tob,2020,33599
livsmedel_dryck_tob,2021,33674
livsmedel_dryck_tob,2022,33684
livsmedel_dryck_tob,2023,33569
textil_bekl,2007,
textil_bekl,2008,5057
textil_bekl,2009,4479
textil_bekl,2010,4482
textil_bekl,2011,4231
textil_bekl,2012,4097
textil_bekl,2013,3689
textil_bekl,2014,3760
textil_bekl,2015,3751
textil_bekl,2016,3778
textil_bekl,2017,3745
textil_bekl,2018,3757
textil_bekl,2019,3678
textil_bekl,2020,3554
textil_bekl,2021,3549
textil_bekl,2022,3555
textil_bekl,2023,3531
industri_for_tra,2007,
industri_for_tra,2008,32105
industri_for_tra,2009,28552
industri_for_tra,2010,28735
industri_for_tra,2011,28430
industri_for_tra,2012,26576
industri_for_tra,2013,25582
industri_for_tra,2014,25846
industri_for_tra,2015,26790
industri_for_tra,2016,27694
industri_for_tra,2017,27829
industri_for_tra,2018,27379
industri_for_tra,2019,26613
industri_for_tra,2020,26556
industri_for_tra,2021,27482
industri_for_tra,2022,27548
industri_for_tra,2023,24329
massa_papp,2007,
massa_papp,2008,28226
massa_papp,2009,26491
massa_papp,2010,25009
massa_papp,2011,24557
massa_papp,2012,24020
massa_papp,2013,22967
massa_papp,2014,22481
massa_papp,2015,21816
massa_papp,2016,21588
massa_papp,2017,21486
massa_papp,2018,21460
massa_papp,2019,20820
massa_papp,2020,20724
massa_papp,2021,20186
massa_papp,2022,20243
massa_papp,2023,19950
grafisk,2007,
grafisk,2008,13190
grafisk,2009,12169
grafisk,2010,11693
grafisk,2011,11263
