sni_id,year,syss_bel_tot
bransch_ospe,2007,
bransch_ospe,2008,50674
bransch_ospe,2009,45895
bransch_ospe,2010,47591
bransch_ospe,2011,52541
bransch_ospe,2012,52932
bransch_ospe,2013,52917
bransch_ospe,2014,53728
bransch_ospe,2015,53067
bransch_ospe,2016,50073
bransch_ospe,2017,52831
bransch_ospe,2018,51171
bransch_ospe,2019,63337
bransch_ospe,2020,68830
bransch_ospe,2021,67569
bransch_ospe,2022,66920
bransch_ospe,2023,67763
jord_skog,2007,
jord_skog,2008,74307
jord_skog,2009,76198
jord_skog,2010,80001
jord_skog,2011,100264
jord_skog,2012,100130
jord_skog,2013,100907
jord_skog,2014,100564
jord_skog,2015,99312
jord_skog,2016,94772
jord_skog,2017,96551
jord_skog,2018,92678
jord_skog,2019,97685
jord_skog,2020,95965
jord_skog,2021,93960
jord_skog,2022,92862
jord_skog,2023,91152
utvinning_min,2007,
utvinning_min,2008,8373
utvinning_min,2009,7940
utvinning_min,2010,8351
utvinning_min,2011,8658
utvinning_min,2012,9232
utvinning_min,2013,9501
utvinning_min,2014,9579
utvinning_min,2015,9166
utvinning_min,2016,8961
utvinning_min,2017,8840
utvinning_min,2018,9032
utvinning_min,2019,8855
utvinning_min,2020,9217
utvinning_min,2021,9761
utvinning_min,2022,10185
utvinning_min,2023,10412
livsmedel_dryck_tob,2007,
livsmedel_dryck_tob,2008,59189
livsmedel_dryck_tob,2009,57776
livsmedel_dryck_tob,2010,57211
livsmedel_dryck_tob,2011,57184
livsmedel_dryck_tob,2012,56487
livsmedel_dryck_tob,2013,56078
livsmedel_dryck_tob,2014,54948
livsmedel_dryck_tob,2015,54879
livsmedel_dryck_tob,2016,55035
livsmedel_dryck_tob,2017,54557
livsmedel_dryck_tob,2018,54406
livsmedel_dryck_tob,2019,54248
livsmedel_dryck_tob,2020,53950
livsmedel_dryck_tob,2021,54573
livsmedel_dryck_tob,2022,54801
livsmedel_dryck_tob,2023,54300
textil_bekl,2007,
textil_bekl,2008,9998
textil_bekl,2009,8895
textil_bekl,2010,8781
textil_bekl,2011,8560
