sni_id,year,tillamp_forsk
marknadsproduktion_varo,2007,
marknadsproduktion_varo,2009,
marknadsproduktion_varo,2011,
marknadsproduktion_varo,2013,6533
marknadsproduktion_varo,2015,8337
marknadsproduktion_varo,2017,9391
marknadsproduktion_varo,2019,12158
marknadsproduktion_varo,2021,17321
marknadsproduktion_varo,2023,24352
skog_gruv,2007,
skog_gruv,2009,
skog_gruv,2011,
skog_gruv,2013,75
skog_gruv,2015,
skog_gruv,2017,
skog_gruv,2019,87
skog_gruv,2021,98
skog_gruv,2023,149
tillverkningsindustrin_c,2007,
tillverkningsindustrin_c,2009,
tillverkningsindustrin_c,2011,
tillverkningsindustrin_c,2013,6274
tillverkningsindustrin_c,2015,8041
tillverkningsindustrin_c,2017,9062
tillverkningsindustrin_c,2019,11850
tillverkningsindustrin_c,2021,17038
tillverkningsindustrin_c,2023,24007
livsmedel_dryck_tob,2007,
livsmedel_dryck_tob,2009,
livsmedel_dryck_tob,2011,
livsmedel_dryck_tob,2013,95
livsmedel_dryck_tob,2015,42
livsmedel_dryck_tob,2017,45
livsmedel_dryck_tob,2019,50
livsmedel_dryck_tob,2021,26
livsmedel_dryck_tob,2023,31
tex_tra_graf,2007,
tex_tra_graf,2009,
tex_tra_graf,2011,
tex_tra_graf,2013,23
tex_tra_graf,2015,32
tex_tra_graf,2017,25
tex_tra_graf,2019,13
tex_tra_graf,2021,
tex_tra_graf,2023,58
industri_for_tra,2007,
industri_for_tra,2009,
industri_for_tra,2011,
industri_for_tra,2013,
industri_for_tra,2015,24
industri_for_tra,2017,10
industri_for_tra,2019,
industri_for_tra,2021,
industri_for_tra,2023,52
massa_papp,2007,
massa_papp,2009,
massa_papp,2011,
massa_papp,2013,138
massa_papp,2015,108
massa_papp,2017,201
massa_papp,2019,376
massa_papp,2021,189
massa_papp,2023,191
kol_pet_kem,2007,
kol_pet_kem,2009,
kol_pet_kem,2011,
kol_pet_kem,2013,235
kol_pet_kem,2015,185
kol_pet_kem,2017,337
kol_pet_kem,2019,293
kol_pet_kem,2021,169
kol_pet_kem,2023,270
farmaceutiska_basp,2007,
farmaceutiska_basp,2009,
farmaceutiska_basp,2011,
farmaceutiska_basp,2013,2242
farmaceutiska_basp,2015,
farmaceutiska_basp,2017,
farmaceutiska_basp,2019,
farmaceutiska_basp,2021,
farmaceutiska_basp,2023,3180
gummi,2007,
gummi,2009,
gummi,2011,
gummi,2013,37
gummi,2015,48
gummi,2017,
gummi,2019,38
gummi,2021,47
gummi,2023,57
icke_met_andra,2007,
icke_met_andra,2009,
icke_met_andra,2011,
icke_met_andra,2013,31
icke_met_andra,2015,15
icke_met_andra,2017,
icke_met_andra,2019,12
icke_met_andra,2021,19
icke_met_andra,2023,34
metaller,2007,
metaller,2009,
metaller,2011,
metaller,2013,421
metaller,2015,380
metaller,2017,
metaller,2019,
metaller,2021,118
metaller,2023,322
metall_dator_elap,2007,
metall_dator_elap,2009,
metall_dator_elap,2011,
metall_dator_elap,2013,1337
metall_dator_elap,2015,2317
metall_dator_elap,2017,1096
metall_dator_elap,2019,
metall_dator_elap,2021,
metall_dator_elap,2023,4694
metall_dator_elap_transp,2007,
metall_dator_elap_transp,2009,
metall_dator_elap_transp,2011,
metall_dator_elap_transp,2013,2885
metall_dator_elap_transp,2015,4714
metall_dator_elap_transp,2017,5469
metall_dator_elap_transp,2019,8815
metall_dator_elap_transp,2021,
metall_dator_elap_transp,2023,19761
industri_for_met,2007,
industri_for_met,2009,
industri_for_met,2011,
industri_for_met,2013,
industri_for_met,2015,
industri_for_met,2017,151
industri_for_met,2019,
industri_for_met,2021,
industri_for_met,2023,309
datorer_elek,2007,
datorer_elek,2009,
datorer_elek,2011,
datorer_elek,2013,547
datorer_elek,2015,763
datorer_elek,2017,105
datorer_elek,2019,287
datorer_elek,2021,205
datorer_elek,2023,266
elapparatur,2007,
elapparatur,2009,
elapparatur,2011,
elapparatur,2013,
elapparatur,2015,
elapparatur,2017,380
elapparatur,2019,
elapparatur,2021,468
elapparatur,2023,607
