sni_id,year,tot_egen_fou
totalt_tota,2007,78352
totalt_tota,2009,80464
totalt_tota,2011,82066
totalt_tota,2013,85934
totalt_tota,2015,95576
totalt_tota,2017,110933
totalt_tota,2019,122651
totalt_tota,2021,135230
totalt_tota,2023,166121
marknadsproduktion_varo,2007,55244
marknadsproduktion_varo,2009,60272
marknadsproduktion_varo,2011,58925
marknadsproduktion_varo,2013,61504
marknadsproduktion_varo,2015,67441
marknadsproduktion_varo,2017,61684
marknadsproduktion_varo,2019,64483
marknadsproduktion_varo,2021,70276
marknadsproduktion_varo,2023,97788
skog_gruv,2007,308
skog_gruv,2009,327
skog_gruv,2011,368
skog_gruv,2013,373
skog_gruv,2015,343
skog_gruv,2017,
skog_gruv,2019,404
skog_gruv,2021,595
skog_gruv,2023,746
tillverkningsindustrin_c,2007,54443
tillverkningsindustrin_c,2009,59657
tillverkningsindustrin_c,2011,58307
tillverkningsindustrin_c,2013,60556
tillverkningsindustrin_c,2015,66025
tillverkningsindustrin_c,2017,60184
tillverkningsindustrin_c,2019,63100
tillverkningsindustrin_c,2021,68623
tillverkningsindustrin_c,2023,95665
livsmedel_dryck_tob,2007,408
livsmedel_dryck_tob,2009,377
livsmedel_dryck_tob,2011,414
livsmedel_dryck_tob,2013,423
livsmedel_dryck_tob,2015,388
livsmedel_dryck_tob,2017,451
livsmedel_dryck_tob,2019,357
livsmedel_dryck_tob,2021,342
livsmedel_dryck_tob,2023,512
tex_tra_graf,2007,156
tex_tra_graf,2009,118
tex_tra_graf,2011,85
tex_tra_graf,2013,128
tex_tra_graf,2015,273
tex_tra_graf,2017,297
tex_tra_graf,2019,247
tex_tra_graf,2021,207
tex_tra_graf,2023,168
industri_for_tra,2007,
industri_for_tra,2009,33
industri_for_tra,2011,10
industri_for_tra,2013,22
industri_for_tra,2015,191
industri_for_tra,2017,176
industri_for_tra,2019,141
industri_for_tra,2021,140
industri_for_tra,2023,120
massa_papp,2007,2187
massa_papp,2009,3258
massa_papp,2011,909
massa_papp,2013,1176
massa_papp,2015,
massa_papp,2017,1305
massa_papp,2019,1514
massa_papp,2021,1581
massa_papp,2023,1618
kol_pet_kem,2007,1818
kol_pet_kem,2009,1886
kol_pet_kem,2011,1702
kol_pet_kem,2013,2014
kol_pet_kem,2015,1464
kol_pet_kem,2017,1828
kol_pet_kem,2019,2060
kol_pet_kem,2021,1426
kol_pet_kem,2023,1235
farmaceutiska_basp,2007,
farmaceutiska_basp,2009,6319
farmaceutiska_basp,2011,7752
farmaceutiska_basp,2013,6961
farmaceutiska_basp,2015,
farmaceutiska_basp,2017,
farmaceutiska_basp,2019,
farmaceutiska_basp,2021,9845
farmaceutiska_basp,2023,13586
gummi,2007,174
gummi,2009,239
gummi,2011,212
gummi,2013,258
gummi,2015,500
gummi,2017,806
gummi,2019,267
gummi,2021,187
gummi,2023,259
icke_met_andra,2007,80
icke_met_andra,2009,107
icke_met_andra,2011,129
icke_met_andra,2013,141
icke_met_andra,2015,142
icke_met_andra,2017,140
icke_met_andra,2019,141
icke_met_andra,2021,114
icke_met_andra,2023,178
metaller,2007,1398
metaller,2009,1563
metaller,2011,1489
metaller,2013,2153
metaller,2015,2124
metaller,2017,1662
metaller,2019,2253
