sni_id,year,trangselskatt
totalt_tota,2007,
totalt_tota,2008,687
totalt_tota,2009,785
totalt_tota,2010,799
totalt_tota,2011,800
totalt_tota,2012,811
totalt_tota,2013,1493
totalt_tota,2014,1675
totalt_tota,2015,1834
totalt_tota,2016,2578
totalt_tota,2017,2743
totalt_tota,2018,2722
totalt_tota,2019,2684
totalt_tota,2020,2850
totalt_tota,2021,2838
totalt_tota,2022,2601
totalt_tota,2023,
jordbruksforetag_serv,2007,
jordbruksforetag_serv,2008,0
jordbruksforetag_serv,2009,1
jordbruksforetag_serv,2010,1
jordbruksforetag_serv,2011,1
jordbruksforetag_serv,2012,1
jordbruksforetag_serv,2013,1
jordbruksforetag_serv,2014,1
jordbruksforetag_serv,2015,1
jordbruksforetag_serv,2016,1
jordbruksforetag_serv,2017,1
jordbruksforetag_serv,2018,1
jordbruksforetag_serv,2019,1
jordbruksforetag_serv,2020,2
jordbruksforetag_serv,2021,1
jordbruksforetag_serv,2022,1
jordbruksforetag_serv,2023,
skogsbruksforetag,2007,
skogsbruksforetag,2008,0
skogsbruksforetag,2009,0
skogsbruksforetag,2010,0
skogsbruksforetag,2011,0
skogsbruksforetag,2012,0
skogsbruksforetag,2013,1
skogsbruksforetag,2014,1
skogsbruksforetag,2015,1
skogsbruksforetag,2016,1
skogsbruksforetag,2017,1
skogsbruksforetag,2018,1
skogsbruksforetag,2019,1
skogsbruksforetag,2020,1
skogsbruksforetag,2021,1
skogsbruksforetag,2022,1
skogsbruksforetag,2023,
fisk,2007,
fisk,2008,0
fisk,2009,0
fisk,2010,0
fisk,2011,0
fisk,2012,0
fisk,2013,0
fisk,2014,0
fisk,2015,0
fisk,2016,0
fisk,2017,0
fisk,2018,0
fisk,2019,0
fisk,2020,0
fisk,2021,0
fisk,2022,0
fisk,2023,
utvinning_min,2007,
utvinning_min,2008,0
utvinning_min,2009,0
utvinning_min,2010,0
utvinning_min,2011,0
utvinning_min,2012,0
utvinning_min,2013,0
utvinning_min,2014,0
utvinning_min,2015,0
utvinning_min,2016,0
utvinning_min,2017,0
utvinning_min,2018,0
utvinning_min,2019,0
utvinning_min,2020,0
utvinning_min,2021,0
utvinning_min,2022,0
utvinning_min,2023,
livsmedel_dryck_tob,2007,
livsmedel_dryck_tob,2008,4
livsmedel_dryck_tob,2009,4
livsmedel_dryck_tob,2010,4
livsmedel_dryck_tob,2011,4
livsmedel_dryck_tob,2012,4
livsmedel_dryck_tob,2013,8
livsmedel_dryck_tob,2014,7
livsmedel_dryck_tob,2015,7
livsmedel_dryck_tob,2016,10
livsmedel_dryck_tob,2017,11
livsmedel_dryck_tob,2018,11
livsmedel_dryck_tob,2019,8
livsmedel_dryck_tob,2020,9
livsmedel_dryck_tob,2021,9
livsmedel_dryck_tob,2022,9
livsmedel_dryck_tob,2023,
textil_bekl,2007,
textil_bekl,2008,0
textil_bekl,2009,0
textil_bekl,2010,0
textil_bekl,2011,0
textil_bekl,2012,0
textil_bekl,2013,1
textil_bekl,2014,1
textil_bekl,2015,1
textil_bekl,2016,1
textil_bekl,2017,1
textil_bekl,2018,1
textil_bekl,2019,1
textil_bekl,2020,1
textil_bekl,2021,1
textil_bekl,2022,1
textil_bekl,2023,
industri_for_tra,2007,
industri_for_tra,2008,1
industri_for_tra,2009,1
industri_for_tra,2010,1
industri_for_tra,2011,1
industri_for_tra,2012,1
industri_for_tra,2013,2
industri_for_tra,2014,1
industri_for_tra,2015,2
industri_for_tra,2016,2
industri_for_tra,2017,2
industri_for_tra,2018,2
industri_for_tra,2019,2
industri_for_tra,2020,2
industri_for_tra,2021,3
industri_for_tra,2022,3
industri_for_tra,2023,
massa_papp,2007,
massa_papp,2008,0
massa_papp,2009,0
massa_papp,2010,0
massa_papp,2011,0
massa_papp,2012,0
massa_papp,2013,0
massa_papp,2014,0
massa_papp,2015,0
massa_papp,2016,1
massa_papp,2017,1
massa_papp,2018,0
massa_papp,2019,0
massa_papp,2020,0
massa_papp,2021,0
massa_papp,2022,0
massa_papp,2023,
grafisk,2007,
grafisk,2008,1
grafisk,2009,1
grafisk,2010,1
grafisk,2011,1
grafisk,2012,1
grafisk,2013,1
grafisk,2014,1
grafisk,2015,1
grafisk,2016,2
grafisk,2017,2
grafisk,2018,2
grafisk,2019,1
grafisk,2020,2
grafisk,2021,1
grafisk,2022,1
grafisk,2023,
industri_for_sten,2007,
industri_for_sten,2008,0
industri_for_sten,2009,0
industri_for_sten,2010,0
industri_for_sten,2011,0
industri_for_sten,2012,0
industri_for_sten,2013,1
industri_for_sten,2014,0
industri_for_sten,2015,1
industri_for_sten,2016,1
industri_for_sten,2017,1
industri_for_sten,2018,1
industri_for_sten,2019,1
industri_for_sten,2020,1
industri_for_sten,2021,0
industri_for_sten,2022,0
industri_for_sten,2023,
industri_for_bas,2007,
industri_for_bas,2008,1
industri_for_bas,2009,1
industri_for_bas,2010,1
industri_for_bas,2011,1
industri_for_bas,2012,1
industri_for_bas,2013,1
industri_for_bas,2014,1
industri_for_bas,2015,1
industri_for_bas,2016,2
industri_for_bas,2017,2
industri_for_bas,2018,2
industri_for_bas,2019,1
industri_for_bas,2020,1
industri_for_bas,2021,2
industri_for_bas,2022,1
industri_for_bas,2023,
gummi,2007,
gummi,2008,0
gummi,2009,1
gummi,2010,1
gummi,2011,1
gummi,2012,1
gummi,2013,1
gummi,2014,1
gummi,2015,1
gummi,2016,1
gummi,2017,1
gummi,2018,1
gummi,2019,1
gummi,2020,1
gummi,2021,1
gummi,2022,1
gummi,2023,
icke_met_andra,2007,
icke_met_andra,2008,1
icke_met_andra,2009,1
icke_met_andra,2010,1
