sni_id,year,utsl_ghg
annan_serv,2000,
annan_serv,2001,
annan_serv,2002,
annan_serv,2003,
annan_serv,2004,
annan_serv,2005,
annan_serv,2006,
annan_serv,2007,
annan_serv,2008,136
annan_serv,2009,130
annan_serv,2010,140
annan_serv,2011,145
annan_serv,2012,127
annan_serv,2013,122
annan_serv,2014,123
annan_serv,2015,119
annan_serv,2016,116
annan_serv,2017,109
annan_serv,2018,106
annan_serv,2019,103
annan_serv,2020,98
annan_serv,2021,95
annan_serv,2022,87
annan_serv,2023,
andra_tran,2000,
andra_tran,2001,
andra_tran,2002,
andra_tran,2003,
andra_tran,2004,
andra_tran,2005,
andra_tran,2006,
andra_tran,2007,
andra_tran,2008,33
andra_tran,2009,26
andra_tran,2010,28
andra_tran,2011,25
andra_tran,2012,19
andra_tran,2013,19
andra_tran,2014,17
andra_tran,2015,17
andra_tran,2016,20
andra_tran,2017,17
andra_tran,2018,16
andra_tran,2019,17
andra_tran,2020,20
andra_tran,2021,14
andra_tran,2022,11
andra_tran,2023,
arbetsformedling_rese,2000,
arbetsformedling_rese,2001,
arbetsformedling_rese,2002,
arbetsformedling_rese,2003,
arbetsformedling_rese,2004,
arbetsformedling_rese,2005,
arbetsformedling_rese,2006,
arbetsformedling_rese,2007,
arbetsformedling_rese,2008,227
arbetsformedling_rese,2009,222
arbetsformedling_rese,2010,249
arbetsformedling_rese,2011,262
arbetsformedling_rese,2012,245
arbetsformedling_rese,2013,247
arbetsformedling_rese,2014,236
arbetsformedling_rese,2015,238
arbetsformedling_rese,2016,225
arbetsformedling_rese,2017,225
arbetsformedling_rese,2018,222
arbetsformedling_rese,2019,225
arbetsformedling_rese,2020,219
arbetsformedling_rese,2021,221
arbetsformedling_rese,2022,200
arbetsformedling_rese,2023,
arkitekt_tekn,2000,
arkitekt_tekn,2001,
arkitekt_tekn,2002,
arkitekt_tekn,2003,
arkitekt_tekn,2004,
arkitekt_tekn,2005,
arkitekt_tekn,2006,
arkitekt_tekn,2007,
arkitekt_tekn,2008,156
arkitekt_tekn,2009,157
arkitekt_tekn,2010,157
arkitekt_tekn,2011,157
arkitekt_tekn,2012,148
arkitekt_tekn,2013,145
arkitekt_tekn,2014,137
arkitekt_tekn,2015,139
arkitekt_tekn,2016,132
arkitekt_tekn,2017,131
arkitekt_tekn,2018,130
arkitekt_tekn,2019,129
arkitekt_tekn,2020,123
arkitekt_tekn,2021,116
arkitekt_tekn,2022,101
arkitekt_tekn,2023,
vattenforsorjning_avlo,2000,
vattenforsorjning_avlo,2001,
vattenforsorjning_avlo,2002,
vattenforsorjning_avlo,2003,
vattenforsorjning_avlo,2004,
vattenforsorjning_avlo,2005,
vattenforsorjning_avlo,2006,
vattenforsorjning_avlo,2007,
vattenforsorjning_avlo,2008,2591
vattenforsorjning_avlo,2009,2497
vattenforsorjning_avlo,2010,2402
vattenforsorjning_avlo,2011,2301
vattenforsorjning_avlo,2012,2140
vattenforsorjning_avlo,2013,2021
vattenforsorjning_avlo,2014,1876
vattenforsorjning_avlo,2015,1761
vattenforsorjning_avlo,2016,1674
vattenforsorjning_avlo,2017,1601
vattenforsorjning_avlo,2018,1489
vattenforsorjning_avlo,2019,1368
vattenforsorjning_avlo,2020,1280
vattenforsorjning_avlo,2021,1235
vattenforsorjning_avlo,2022,1174
vattenforsorjning_avlo,2023,
banker,2000,
banker,2001,
banker,2002,
banker,2003,
banker,2004,
banker,2005,
banker,2006,
banker,2007,
banker,2008,45
banker,2009,39
banker,2010,65
banker,2011,64
banker,2012,71
banker,2013,67
banker,2014,64
banker,2015,68
banker,2016,67
banker,2017,70
banker,2018,67
banker,2019,67
banker,2020,64
banker,2021,91
banker,2022,86
banker,2023,
bygg,2000,
bygg,2001,
bygg,2002,
bygg,2003,
bygg,2004,
bygg,2005,
bygg,2006,
bygg,2007,
bygg,2008,1951
bygg,2009,1919
bygg,2010,2018
bygg,2011,2042
bygg,2012,1989
bygg,2013,1969
bygg,2014,1907
bygg,2015,1967
bygg,2016,1980
bygg,2017,1893
bygg,2018,1867
bygg,2019,1942
bygg,2020,1930
bygg,2021,2007
bygg,2022,1809
bygg,2023,
dataprogrammering_data,2000,
dataprogrammering_data,2001,
dataprogrammering_data,2002,
dataprogrammering_data,2003,
dataprogrammering_data,2004,
dataprogrammering_data,2005,
dataprogrammering_data,2006,
dataprogrammering_data,2007,
dataprogrammering_data,2008,93
dataprogrammering_data,2009,95
dataprogrammering_data,2010,86
dataprogrammering_data,2011,91
dataprogrammering_data,2012,82
dataprogrammering_data,2013,79
dataprogrammering_data,2014,73
dataprogrammering_data,2015,72
dataprogrammering_data,2016,68
dataprogrammering_data,2017,66
dataprogrammering_data,2018,65
dataprogrammering_data,2019,61
dataprogrammering_data,2020,54
dataprogrammering_data,2021,49
dataprogrammering_data,2022,41
dataprogrammering_data,2023,
el_gas,2000,
el_gas,2001,
el_gas,2002,
