sni_id,year,varuexp
icke_met_andra,2000,
icke_met_andra,2001,
icke_met_andra,2002,
icke_met_andra,2003,
icke_met_andra,2004,
icke_met_andra,2005,
icke_met_andra,2006,
icke_met_andra,2007,
icke_met_andra,2008,
icke_met_andra,2009,
icke_met_andra,2010,8169116
icke_met_andra,2011,8352202
icke_met_andra,2012,8491310
icke_met_andra,2013,7839577
icke_met_andra,2014,7898641
icke_met_andra,2015,8760956
icke_met_andra,2016,8431493
icke_met_andra,2017,9383174
icke_met_andra,2018,9576624
icke_met_andra,2019,9442519
icke_met_andra,2020,9340908
icke_met_andra,2021,10191477
icke_met_andra,2022,11607539
icke_met_andra,2023,12102363
andra_kons,2000,
andra_kons,2001,
andra_kons,2002,
andra_kons,2003,
andra_kons,2004,
andra_kons,2005,
andra_kons,2006,
andra_kons,2007,
andra_kons,2008,
andra_kons,2009,
andra_kons,2010,1
andra_kons,2011,15
andra_kons,2012,13
andra_kons,2013,17
andra_kons,2014,5
andra_kons,2015,0
andra_kons,2016,32
andra_kons,2017,20
andra_kons,2018,1
andra_kons,2019,3
andra_kons,2020,506
andra_kons,2021,203
andra_kons,2022,203
andra_kons,2023,62
annan_indu,2000,
annan_indu,2001,
annan_indu,2002,
annan_indu,2003,
annan_indu,2004,
annan_indu,2005,
annan_indu,2006,
annan_indu,2007,
annan_indu,2008,
annan_indu,2009,
annan_indu,2010,1272808
annan_indu,2011,1175004
annan_indu,2012,1097184
annan_indu,2013,916828
annan_indu,2014,914574
annan_indu,2015,942871
annan_indu,2016,899040
annan_indu,2017,1059409
annan_indu,2018,1222351
annan_indu,2019,1128329
annan_indu,2020,1069932
annan_indu,2021,1202180
annan_indu,2022,1371468
annan_indu,2023,1369299
andra_till,2000,
andra_till,2001,
andra_till,2002,
andra_till,2003,
andra_till,2004,
andra_till,2005,
andra_till,2006,
andra_till,2007,
andra_till,2008,
andra_till,2009,
andra_till,2010,18891947
andra_till,2011,18278954
andra_till,2012,18308826
andra_till,2013,17671405
andra_till,2014,17227397
andra_till,2015,18877229
andra_till,2016,18686393
andra_till,2017,19494511
andra_till,2018,20740114
andra_till,2019,22310007
andra_till,2020,23880767
andra_till,2021,25023394
andra_till,2022,26974860
andra_till,2023,30528853
andra_tran,2000,
andra_tran,2001,
andra_tran,2002,
andra_tran,2003,
andra_tran,2004,
andra_tran,2005,
andra_tran,2006,
andra_tran,2007,
andra_tran,2008,
andra_tran,2009,
andra_tran,2010,18590044
andra_tran,2011,19045988
andra_tran,2012,15531124
andra_tran,2013,14416624
andra_tran,2014,12458937
andra_tran,2015,15013468
andra_tran,2016,16646830
andra_tran,2017,13232797
andra_tran,2018,15032034
andra_tran,2019,20652479
andra_tran,2020,15433533
andra_tran,2021,15609443
andra_tran,2022,20387845
andra_tran,2023,23146560
arkitekt,2000,
arkitekt,2001,
arkitekt,2002,
arkitekt,2003,
arkitekt,2004,
arkitekt,2005,
arkitekt,2006,
arkitekt,2007,
arkitekt,2008,
arkitekt,2009,
arkitekt,2010,12681
arkitekt,2011,21250
arkitekt,2012,17408
arkitekt,2013,94745
arkitekt,2014,12537
arkitekt,2015,3307
arkitekt,2016,31189
arkitekt,2017,2560
arkitekt,2018,1080
arkitekt,2019,3290
arkitekt,2020,4200
arkitekt,2021,9620
arkitekt,2022,2193
arkitekt,2023,2601
avfallshantering_ater,2000,
avfallshantering_ater,2001,
avfallshantering_ater,2002,
avfallshantering_ater,2003,
avfallshantering_ater,2004,
avfallshantering_ater,2005,
avfallshantering_ater,2006,
avfallshantering_ater,2007,
avfallshantering_ater,2008,
avfallshantering_ater,2009,
avfallshantering_ater,2010,8815196
avfallshantering_ater,2011,11024138
avfallshantering_ater,2012,10673572
avfallshantering_ater,2013,8327538
avfallshantering_ater,2014,8899867
avfallshantering_ater,2015,7855734
avfallshantering_ater,2016,8376553
avfallshantering_ater,2017,10138161
avfallshantering_ater,2018,10784684
avfallshantering_ater,2019,11604830
avfallshantering_ater,2020,11619414
avfallshantering_ater,2021,15879559
avfallshantering_ater,2022,18465887
avfallshantering_ater,2023,18626039
avloppsreningstjanster_avlo,2000,
avloppsreningstjanster_avlo,2001,
avloppsreningstjanster_avlo,2002,
avloppsreningstjanster_avlo,2003,
avloppsreningstjanster_avlo,2004,
avloppsreningstjanster_avlo,2005,
avloppsreningstjanster_avlo,2006,
avloppsreningstjanster_avlo,2007,
avloppsreningstjanster_avlo,2008,
avloppsreningstjanster_avlo,2009,
avloppsreningstjanster_avlo,2010,0
avloppsreningstjanster_avlo,2011,0
avloppsreningstjanster_avlo,2012,0
avloppsreningstjanster_avlo,2013,2
avloppsreningstjanster_avlo,2014,1
avloppsreningstjanster_avlo,2015,0
avloppsreningstjanster_avlo,2016,0
avloppsreningstjanster_avlo,2017,130
avloppsreningstjanster_avlo,2018,0
avloppsreningstjanster_avlo,2019,32
avloppsreningstjanster_avlo,2020,246
avloppsreningstjanster_avlo,2021,282
avloppsreningstjanster_avlo,2022,1
avloppsreningstjanster_avlo,2023,4
bibliotek_arki,2000,
bibliotek_arki,2001,
bibliotek_arki,2002,
bibliotek_arki,2003,
bibliotek_arki,2004,
bibliotek_arki,2005,
bibliotek_arki,2006,
bibliotek_arki,2007,
bibliotek_arki,2008,
bibliotek_arki,2009,
bibliotek_arki,2010,104721
bibliotek_arki,2011,76276
bibliotek_arki,2012,55479
bibliotek_arki,2013,79761
bibliotek_arki,2014,213352
bibliotek_arki,2015,99658
bibliotek_arki,2016,120718
bibliotek_arki,2017,117944
bibliotek_arki,2018,96006
bibliotek_arki,2019,64558
bibliotek_arki,2020,50621
bibliotek_arki,2021,191430
bibliotek_arki,2022,11572
bibliotek_arki,2023,72530
datorer_elek,2000,
datorer_elek,2001,
datorer_elek,2002,
datorer_elek,2003,
datorer_elek,2004,
datorer_elek,2005,
datorer_elek,2006,
datorer_elek,2007,
datorer_elek,2008,
datorer_elek,2009,
datorer_elek,2010,135966225
datorer_elek,2011,136982501
datorer_elek,2012,110509521
datorer_elek,2013,97027887
datorer_elek,2014,101614437
datorer_elek,2015,108693077
datorer_elek,2016,108657174
datorer_elek,2017,107616747
datorer_elek,2018,112316442
datorer_elek,2019,124165395
datorer_elek,2020,123343487
datorer_elek,2021,129040978
datorer_elek,2022,144041122
datorer_elek,2023,147917991
drycker,2000,
drycker,2001,
drycker,2002,
drycker,2003,
drycker,2004,
drycker,2005,
drycker,2006,
drycker,2007,
drycker,2008,
drycker,2009,
drycker,2010,6635748
drycker,2011,6495786
drycker,2012,6873014
drycker,2013,7007818
drycker,2014,6844132
drycker,2015,7803896
drycker,2016,7865490
drycker,2017,7957956
drycker,2018,8446689
drycker,2019,8930031
drycker,2020,8136355
drycker,2021,8848839
drycker,2022,10258831
drycker,2023,11172104
el_gas,2000,
el_gas,2001,
el_gas,2002,
el_gas,2003,
el_gas,2004,
el_gas,2005,
el_gas,2006,
el_gas,2007,
el_gas,2008,
el_gas,2009,
el_gas,2010,5648828
el_gas,2011,8274967
el_gas,2012,8506457
el_gas,2013,7764067
el_gas,2014,8393933
el_gas,2015,6607345
el_gas,2016,7191199
el_gas,2017,9531179
el_gas,2018,13714003
el_gas,2019,14299933
el_gas,2020,7586647
el_gas,2021,21070728
el_gas,2022,47989391
el_gas,2023,22621074
elapparatur,2000,
elapparatur,2001,
elapparatur,2002,
elapparatur,2003,
elapparatur,2004,
elapparatur,2005,
elapparatur,2006,
elapparatur,2007,
elapparatur,2008,
elapparatur,2009,
elapparatur,2010,57962778
elapparatur,2011,61361994
elapparatur,2012,61837556
elapparatur,2013,58260114
elapparatur,2014,60822335
