sni_id,year,vaxthus_inb_prod
jordbruksforetag_serv,2007,
jordbruksforetag_serv,2008,3535145
jordbruksforetag_serv,2009,3474020
jordbruksforetag_serv,2010,3630691
jordbruksforetag_serv,2011,3794129
jordbruksforetag_serv,2012,3743145
jordbruksforetag_serv,2013,3805969
jordbruksforetag_serv,2014,3625212
jordbruksforetag_serv,2015,3185433
jordbruksforetag_serv,2016,2968189
jordbruksforetag_serv,2017,3014225
jordbruksforetag_serv,2018,2961406
jordbruksforetag_serv,2019,3111031
jordbruksforetag_serv,2020,3234266
jordbruksforetag_serv,2021,3202458
jordbruksforetag_serv,2022,3553023
jordbruksforetag_serv,2023,
skogsbruksforetag,2007,
skogsbruksforetag,2008,375702
skogsbruksforetag,2009,454237
skogsbruksforetag,2010,413893
skogsbruksforetag,2011,498562
skogsbruksforetag,2012,503917
skogsbruksforetag,2013,498128
skogsbruksforetag,2014,429515
skogsbruksforetag,2015,658756
skogsbruksforetag,2016,597482
skogsbruksforetag,2017,472298
skogsbruksforetag,2018,518168
skogsbruksforetag,2019,426788
skogsbruksforetag,2020,348347
skogsbruksforetag,2021,191315
skogsbruksforetag,2022,179316
skogsbruksforetag,2023,
fisk,2007,
fisk,2008,84325
fisk,2009,71269
fisk,2010,46674
fisk,2011,49841
fisk,2012,58035
fisk,2013,58874
fisk,2014,77112
fisk,2015,172963
fisk,2016,157641
fisk,2017,153387
fisk,2018,151677
fisk,2019,139009
fisk,2020,142131
fisk,2021,150813
fisk,2022,133428
fisk,2023,
utvinning_min,2007,
utvinning_min,2008,727655
utvinning_min,2009,-977857
utvinning_min,2010,-287249
utvinning_min,2011,562651
utvinning_min,2012,190049
utvinning_min,2013,428671
utvinning_min,2014,-131165
utvinning_min,2015,-78170
utvinning_min,2016,833111
utvinning_min,2017,322832
utvinning_min,2018,-643268
utvinning_min,2019,1018159
utvinning_min,2020,-96921
utvinning_min,2021,-44286
utvinning_min,2022,129364
utvinning_min,2023,
livsmedel_dryck_tob,2007,
livsmedel_dryck_tob,2008,10307379
livsmedel_dryck_tob,2009,9799047
livsmedel_dryck_tob,2010,10169250
livsmedel_dryck_tob,2011,10510587
livsmedel_dryck_tob,2012,10234487
livsmedel_dryck_tob,2013,10325808
livsmedel_dryck_tob,2014,10295224
livsmedel_dryck_tob,2015,8486471
livsmedel_dryck_tob,2016,8414286
livsmedel_dryck_tob,2017,8254130
livsmedel_dryck_tob,2018,8445959
livsmedel_dryck_tob,2019,8121508
livsmedel_dryck_tob,2020,8399800
livsmedel_dryck_tob,2021,8726948
livsmedel_dryck_tob,2022,8953700
livsmedel_dryck_tob,2023,
textil_bekl,2007,
textil_bekl,2008,3794016
textil_bekl,2009,3442242
textil_bekl,2010,3453430
textil_bekl,2011,3430979
textil_bekl,2012,2976170
textil_bekl,2013,3052556
textil_bekl,2014,2904647
textil_bekl,2015,2725254
textil_bekl,2016,2422749
textil_bekl,2017,2550246
textil_bekl,2018,2459931
textil_bekl,2019,2312567
textil_bekl,2020,1965833
textil_bekl,2021,2023147
textil_bekl,2022,2722782
textil_bekl,2023,
industri_for_tra,2007,
industri_for_tra,2008,173981
industri_for_tra,2009,118880
industri_for_tra,2010,223048
industri_for_tra,2011,180885
industri_for_tra,2012,140281
industri_for_tra,2013,122208
industri_for_tra,2014,154076
industri_for_tra,2015,181582
industri_for_tra,2016,57623
industri_for_tra,2017,128630
industri_for_tra,2018,159356
industri_for_tra,2019,138674
industri_for_tra,2020,20468
industri_for_tra,2021,72755
industri_for_tra,2022,191422
industri_for_tra,2023,
massa_papp_graf,2007,
massa_papp_graf,2008,246406
massa_papp_graf,2009,79113
massa_papp_graf,2010,260544
massa_papp_graf,2011,299380
massa_papp_graf,2012,212632
massa_papp_graf,2013,209985
massa_papp_graf,2014,189826
massa_papp_graf,2015,150456
massa_papp_graf,2016,196340
massa_papp_graf,2017,121515
massa_papp_graf,2018,281341
massa_papp_graf,2019,92310
massa_papp_graf,2020,114009
massa_papp_graf,2021,184764
massa_papp_graf,2022,264043
massa_papp_graf,2023,
industri_for_sten,2007,
industri_for_sten,2008,5814844
industri_for_sten,2009,4291746
industri_for_sten,2010,3307978
industri_for_sten,2011,5781823
industri_for_sten,2012,4172956
industri_for_sten,2013,4093969
industri_for_sten,2014,3522833
industri_for_sten,2015,2655446
industri_for_sten,2016,2356588
