sni_id,year,vaxthusg
bransch_ospe,2000,
bransch_ospe,2001,
bransch_ospe,2002,
bransch_ospe,2003,
bransch_ospe,2004,
bransch_ospe,2005,
bransch_ospe,2006,
bransch_ospe,2007,
bransch_ospe,2008,0
bransch_ospe,2009,0
bransch_ospe,2010,0
bransch_ospe,2011,0
bransch_ospe,2012,0
bransch_ospe,2013,0
bransch_ospe,2014,0
bransch_ospe,2015,0
bransch_ospe,2016,0
bransch_ospe,2017,0
bransch_ospe,2018,0
bransch_ospe,2019,0
bransch_ospe,2020,
bransch_ospe,2021,
bransch_ospe,2022,
bransch_ospe,2023,
marknadsproduktion_tjan,2000,
marknadsproduktion_tjan,2001,
marknadsproduktion_tjan,2002,
marknadsproduktion_tjan,2003,
marknadsproduktion_tjan,2004,
marknadsproduktion_tjan,2005,
marknadsproduktion_tjan,2006,
marknadsproduktion_tjan,2007,
marknadsproduktion_tjan,2008,31751
marknadsproduktion_tjan,2009,29720
marknadsproduktion_tjan,2010,29437
marknadsproduktion_tjan,2011,25858
marknadsproduktion_tjan,2012,23764
marknadsproduktion_tjan,2013,24643
marknadsproduktion_tjan,2014,25191
marknadsproduktion_tjan,2015,27742
marknadsproduktion_tjan,2016,28076
marknadsproduktion_tjan,2017,25237
marknadsproduktion_tjan,2018,24008
marknadsproduktion_tjan,2019,23356
marknadsproduktion_tjan,2020,
marknadsproduktion_tjan,2021,
marknadsproduktion_tjan,2022,
marknadsproduktion_tjan,2023,
marknadsproduktion_varo,2000,
marknadsproduktion_varo,2001,
marknadsproduktion_varo,2002,
marknadsproduktion_varo,2003,
marknadsproduktion_varo,2004,
marknadsproduktion_varo,2005,
marknadsproduktion_varo,2006,
marknadsproduktion_varo,2007,
marknadsproduktion_varo,2008,81831
marknadsproduktion_varo,2009,73812
marknadsproduktion_varo,2010,86048
marknadsproduktion_varo,2011,70849
marknadsproduktion_varo,2012,76011
marknadsproduktion_varo,2013,73248
marknadsproduktion_varo,2014,70683
marknadsproduktion_varo,2015,71329
marknadsproduktion_varo,2016,71362
marknadsproduktion_varo,2017,71062
marknadsproduktion_varo,2018,70251
marknadsproduktion_varo,2019,68163
marknadsproduktion_varo,2020,
marknadsproduktion_varo,2021,
marknadsproduktion_varo,2022,
marknadsproduktion_varo,2023,
offentl_mynd,2000,
offentl_mynd,2001,
offentl_mynd,2002,
offentl_mynd,2003,
offentl_mynd,2004,
offentl_mynd,2005,
offentl_mynd,2006,
offentl_mynd,2007,
offentl_mynd,2008,1759
offentl_mynd,2009,1870
offentl_mynd,2010,1784
offentl_mynd,2011,1685
offentl_mynd,2012,1666
offentl_mynd,2013,1509
offentl_mynd,2014,1478
offentl_mynd,2015,1500
offentl_mynd,2016,1452
offentl_mynd,2017,1408
offentl_mynd,2018,1244
offentl_mynd,2019,1379
offentl_mynd,2020,
offentl_mynd,2021,
offentl_mynd,2022,
offentl_mynd,2023,
privat_kons,2000,
privat_kons,2001,
privat_kons,2002,
privat_kons,2003,
privat_kons,2004,
privat_kons,2005,
privat_kons,2006,
privat_kons,2007,
privat_kons,2008,22658
privat_kons,2009,22579
privat_kons,2010,22106
privat_kons,2011,20639
privat_kons,2012,19851
privat_kons,2013,19631
privat_kons,2014,19390
privat_kons,2015,19693
privat_kons,2016,19135
privat_kons,2017,18840
privat_kons,2018,18328
privat_kons,2019,17773
privat_kons,2020,
privat_kons,2021,
privat_kons,2022,
privat_kons,2023,
totalt_tota,2000,
totalt_tota,2001,
totalt_tota,2002,
totalt_tota,2003,
totalt_tota,2004,
totalt_tota,2005,
totalt_tota,2006,
totalt_tota,2007,
totalt_tota,2008,138003
totalt_tota,2009,127982
totalt_tota,2010,139374
totalt_tota,2011,119029
totalt_tota,2012,121298
totalt_tota,2013,119032
totalt_tota,2014,116739
totalt_tota,2015,120259
totalt_tota,2016,120030
totalt_tota,2017,116548
totalt_tota,2018,113827
totalt_tota,2019,110672
totalt_tota,2020,
totalt_tota,2021,
totalt_tota,2022,
totalt_tota,2023,
