concept,concept_type,name,description,tags,domain
res_post,measure,Resultaträkningsposter enligt Företagens ekonomi (mnkr efter resultaträkningsposter (näringsgren SNI 2007 och år)),Syftet med Företagens ekonomi (FEK) är att belysa strukturen för näringslivet (exklusive de finansiella och offentliga sektorerna samt hushållens ickevinstdrivande organisationer) med avseende på i första hand lönsamhet tillväxt utveckling finansiering och produktion. FEK är snarare att betrakta som ett system av olika statistiska undersökningar än en separat undersökning. Uppgifter från flera olika källor (insamlade på och utanför SCB) kombineras för att producera statistik rörande FEKs målvariabler. Företagens ekonomi regleras numera tillsammans med flera andra statistikprodukter av Europaparlamentets och rådets förordning (EU) 2019/2152 om europeisk företagsstatistik och om upphävande av tio rättsakter på området företagsstatistik.,,
ghg_utsl,measure,Utsläpp av GHG efter näringsgren SNI 2007 (år och kiloton),Utsläpp av växthusgaser per bransch ingår i miljöräkenskaperna och avser utsläpp genererade från ekonomiska aktörer Miljöräkenskaper syftar till att sammanfatta och beskriva miljöpåverkan från ekonomiska aktiviteter och utveckling. Miljöräkenskaper avseende utsläpp till luft regleras av EU förordningen 691/20111 för EU länder. Samtliga länder ska följa standarder som anges i FNs System of Environmental- Economic Accounting – Central Framework (2012). ,emissions,
forb_fos,measure,Förbränning av samtliga bränslen (TJ efter bränsletyp (näringsgren SNI 2007 och år)) fossilt bränsle,Bränsleanvändning per bransch ingår i miljöräkenskaperna och avser användningen från ekonomiska aktörer. Grunddata hämtas från Energimyndighetens undersökningar Industrins energianvändning (ISEN (EN0113)) Årlig energistatistik (el gas och fjärrvärme) och förbränningsinstallationer i bostadshus och offentliga och kommersiella lokaler. Även undersökningarna månatlig bränslestatistik och leveranser av fordonsgas EN0107 och bränsledirektivets data används. För sjöfart används indata från Nationalräkenskaperna över inköpta bränslen och för flyget användes OECD data.,environment,
forb_bio,measure,Förbränning av samtliga bränslen( TJ efter bränsletyp (näringsgren SNI 2007 och år)) biobränsle,Bränsleanvändning per bransch ingår i miljöräkenskaperna och avser användningen från ekonomiska aktörer. Grunddata hämtas från Energimyndighetens undersökningar Industrins energianvändning (ISEN (EN0113)) Årlig energistatistik (el gas och fjärrvärme) och förbränningsinstallationer i bostadshus och offentliga och kommersiella lokaler. Även undersökningarna månatlig bränslestatistik och leveranser av fordonsgas EN0107 och bränsledirektivets data används. För sjöfart används indata från Nationalräkenskaperna över inköpta bränslen och för flyget användes OECD data.,environment,
arbk_med,measure,Arbetskraftsinsats (ENS2010) efter näringsgren SNI 2007 (tabellinnehåll och år (Medelantal sysselsatta: personer i 1000-tal)),Arbetskraftsinsatsen inkluderar medelantal sysselsatta och arbetade faktiska timmar för personer i åldern 15–89 år.  Nationalräkenskaperna följer EUs regelverk European System of National Accounts 2010 (ESA 2010). Begrepp för sysselsatta och arbetade timmar definieras också i ESA.,workforce,
arbk_tim,measure,Arbetskraftsinsats (ENS2010) efter näringsgren SNI 2007  (tabellinnehåll och år (Arbetade timmar (faktiska timmar i 1 000 000-tal)),Arbetskraftsinsatsen inkluderar medelantal sysselsatta och arbetade faktiska timmar för personer i åldern 15–89 år.  Nationalräkenskaperna följer EUs regelverk European System of National Accounts 2010 (ESA 2010). Begrepp för sysselsatta och arbetade timmar definieras också i ESA.,workforce,
forvar,measure,Förädlingsvärde (mnkr),Statistiken om miljösektorn ingår som en modul i Miljöräkenskaperna. Miljöräkenskaper syftar till att beskriva sambandet mellan ekonomi och miljö. Statistiken om miljösektorn syftar till att redovisa den del av den svenska ekonomins produktionsaktivitet som alstrar miljövänliga varor och tjänster. Inom EU regleras miljöräkenskaperna och statistiken om miljösektorn (EGSS) av EU förordning 691/20111.,,
prodvar,measure,Produktionsvärde (mnkr),Statistiken om miljösektorn ingår som en modul i Miljöräkenskaperna. Miljöräkenskaper syftar till att beskriva sambandet mellan ekonomi och miljö. Statistiken om miljösektorn syftar till att redovisa den del av den svenska ekonomins produktionsaktivitet som alstrar miljövänliga varor och tjänster. Inom EU regleras miljöräkenskaperna och statistiken om miljösektorn (EGSS) av EU förordning 691/20111.,,
exp,measure,Export (mnkr),Statistiken om miljösektorn ingår som en modul i Miljöräkenskaperna. Miljöräkenskaper syftar till att beskriva sambandet mellan ekonomi och miljö. Statistiken om miljösektorn syftar till att redovisa den del av den svenska ekonomins produktionsaktivitet som alstrar miljövänliga varor och tjänster. Inom EU regleras miljöräkenskaperna och statistiken om miljösektorn (EGSS) av EU förordning 691/20111.,,
forv_kv,measure,Förvärvsarbetande kvinnor (antal),Statistiken om miljösektorn ingår som en modul i Miljöräkenskaperna. Miljöräkenskaper syftar till att beskriva sambandet mellan ekonomi och miljö. Statistiken om miljösektorn syftar till att redovisa den del av den svenska ekonomins produktionsaktivitet som alstrar miljövänliga varor och tjänster. Inom EU regleras miljöräkenskaperna och statistiken om miljösektorn (EGSS) av EU förordning 691/20111. ,workforce,
forv_mn,measure,Förvärvsarbetande män (antal),Statistiken om miljösektorn ingår som en modul i Miljöräkenskaperna. Miljöräkenskaper syftar till att beskriva sambandet mellan ekonomi och miljö. Statistiken om miljösektorn syftar till att redovisa den del av den svenska ekonomins produktionsaktivitet som alstrar miljövänliga varor och tjänster. Inom EU regleras miljöräkenskaperna och statistiken om miljösektorn (EGSS) av EU förordning 691/20111. ,workforce,
forv_tot,measure,Förvärvsarbetande totalt,Statistiken om miljösektorn ingår som en modul i Miljöräkenskaperna. Miljöräkenskaper syftar till att beskriva sambandet mellan ekonomi och miljö. Statistiken om miljösektorn syftar till att redovisa den del av den svenska ekonomins produktionsaktivitet som alstrar miljövänliga varor och tjänster. Inom EU regleras miljöräkenskaperna och statistiken om miljösektorn (EGSS) av EU förordning 691/20111. ,workforce,
antk_ans,measure,Antal anställda berörda av konkurser,Konkursstatistiken visar hur många företag som har gått i konkurs och hur många anställda som har berörts av konkurser. Statistiken täcker endast företagskonkurser (det vill säga konkurs av ett bolag i någon form) inklusive enskilda näringsidkare.,,
ant_kon,measure,Antal konkurser,Konkursstatistiken visar hur många företag som har gått i konkurs och hur många anställda som har berörts av konkurser. Statistiken täcker endast företagskonkurser (det vill säga konkurs av ett bolag i någon form) inklusive enskilda näringsidkare.,,
tag,entity_domain,Tag,,_none,
name,string,Name,,_none,
parent,string,Parent,,_none,
description,string,Description,,_none,
tags,string,Tags,,_none,
year,time,Year,,_root,
sninamn,entity_set,SNI-Namn,,_none,geog
domain,string,Domain,,_none,
geog,entity_domain,Geography,,_none,
