sni_id,year,ant_for_fem
jur_andra,2000,
jur_andra,2001,
jur_andra,2002,
jur_andra,2003,
jur_andra,2004,
jur_andra,2005,
jur_andra,2006,295
jur_andra,2007,304
jur_andra,2008,305
jur_andra,2009,307
jur_andra,2010,337
jur_andra,2011,341
jur_andra,2012,366
jur_andra,2013,356
jur_andra,2014,323
jur_andra,2015,373
jur_andra,2016,373
jur_andra,2017,347
jur_andra,2018,323
jur_andra,2019,353
jur_andra,2020,369
jur_andra,2021,368
jur_andra,2022,
jur_andra,2023,
andra_kons,2000,
andra_kons,2001,
andra_kons,2002,
andra_kons,2003,
andra_kons,2004,
andra_kons,2005,
andra_kons,2006,499
andra_kons,2007,549
andra_kons,2008,572
andra_kons,2009,642
andra_kons,2010,712
andra_kons,2011,770
andra_kons,2012,775
andra_kons,2013,822
andra_kons,2014,834
andra_kons,2015,844
andra_kons,2016,886
andra_kons,2017,869
andra_kons,2018,883
andra_kons,2019,903
andra_kons,2020,927
andra_kons,2021,944
andra_kons,2022,
andra_kons,2023,
anlaggningar_for,2000,
anlaggningar_for,2001,
anlaggningar_for,2002,
anlaggningar_for,2003,
anlaggningar_for,2004,
anlaggningar_for,2005,
anlaggningar_for,2006,7
anlaggningar_for,2007,6
anlaggningar_for,2008,11
anlaggningar_for,2009,7
anlaggningar_for,2010,10
anlaggningar_for,2011,14
anlaggningar_for,2012,13
anlaggningar_for,2013,14
anlaggningar_for,2014,18
anlaggningar_for,2015,16
anlaggningar_for,2016,14
anlaggningar_for,2017,12
anlaggningar_for,2018,11
anlaggningar_for,2019,13
anlaggningar_for,2020,16
anlaggningar_for,2021,14
anlaggningar_for,2022,
anlaggningar_for,2023,
anlaggningsentreprenorer,2000,
anlaggningsentreprenorer,2001,
anlaggningsentreprenorer,2002,
anlaggningsentreprenorer,2003,
anlaggningsentreprenorer,2004,
anlaggningsentreprenorer,2005,
anlaggningsentreprenorer,2006,110
anlaggningsentreprenorer,2007,117
anlaggningsentreprenorer,2008,113
anlaggningsentreprenorer,2009,120
anlaggningsentreprenorer,2010,133
anlaggningsentreprenorer,2011,153
anlaggningsentreprenorer,2012,166
anlaggningsentreprenorer,2013,154
anlaggningsentreprenorer,2014,173
anlaggningsentreprenorer,2015,168
anlaggningsentreprenorer,2016,168
anlaggningsentreprenorer,2017,178
anlaggningsentreprenorer,2018,188
anlaggningsentreprenorer,2019,224
anlaggningsentreprenorer,2020,230
anlaggningsentreprenorer,2021,223
anlaggningsentreprenorer,2022,
anlaggningsentreprenorer,2023,
annan_indu,2000,
annan_indu,2001,
annan_indu,2002,
annan_indu,2003,
annan_indu,2004,
annan_indu,2005,
annan_indu,2006,66
annan_indu,2007,63
annan_indu,2008,63
annan_indu,2009,62
annan_indu,2010,59
annan_indu,2011,59
annan_indu,2012,60
annan_indu,2013,52
annan_indu,2014,48
annan_indu,2015,51
annan_indu,2016,53
annan_indu,2017,49
annan_indu,2018,46
