sninamn,year,forb_bio
jrbk_serv,2003,
jrbk_serv,2004,
jrbk_serv,2005,
jrbk_serv,2006,
jrbk_serv,2007,
jrbk_serv,2008,5227
jrbk_serv,2009,3899
jrbk_serv,2010,4624
jrbk_serv,2011,4945
jrbk_serv,2012,5208
jrbk_serv,2013,5262
jrbk_serv,2014,5872
jrbk_serv,2015,6152
jrbk_serv,2016,7156
jrbk_serv,2017,8061
jrbk_serv,2018,8095
jrbk_serv,2019,8674
jrbk_serv,2020,8435
jrbk_serv,2021,7754
jrbk_serv,2022,8276
jrbk_serv,2023,
skgb,2003,
skgb,2004,
skgb,2005,
skgb,2006,
skgb,2007,
skgb,2008,573
skgb,2009,427
skgb,2010,454
skgb,2011,580
skgb,2012,831
skgb,2013,1076
skgb,2014,1671
skgb,2015,2069
skgb,2016,2838
skgb,2017,3142
skgb,2018,3317
skgb,2019,3218
skgb,2020,3291
skgb,2021,3531
skgb,2022,3975
skgb,2023,
fsk_vatn,2003,
fsk_vatn,2004,
fsk_vatn,2005,
fsk_vatn,2006,
fsk_vatn,2007,
fsk_vatn,2008,2
fsk_vatn,2009,2
fsk_vatn,2010,3
fsk_vatn,2011,4
fsk_vatn,2012,5
fsk_vatn,2013,6
fsk_vatn,2014,10
fsk_vatn,2015,12
fsk_vatn,2016,17
fsk_vatn,2017,18
fsk_vatn,2018,17
fsk_vatn,2019,16
fsk_vatn,2020,16
fsk_vatn,2021,18
fsk_vatn,2022,20
fsk_vatn,2023,
utv_min,2003,
utv_min,2004,
utv_min,2005,
utv_min,2006,
utv_min,2007,
utv_min,2008,49
utv_min,2009,66
utv_min,2010,70
utv_min,2011,91
utv_min,2012,153
utv_min,2013,264
utv_min,2014,427
utv_min,2015,571
utv_min,2016,801
utv_min,2017,859
utv_min,2018,884
utv_min,2019,895
utv_min,2020,1193
utv_min,2021,1711
utv_min,2022,2126
utv_min,2023,
livs_dk,2003,
livs_dk,2004,
livs_dk,2005,
livs_dk,2006,
livs_dk,2007,
livs_dk,2008,1774
livs_dk,2009,1536
livs_dk,2010,1641
livs_dk,2011,1171
livs_dk,2012,1337
livs_dk,2013,1491
livs_dk,2014,1884
livs_dk,2015,1694
livs_dk,2016,2085
livs_dk,2017,2546
livs_dk,2018,2306
livs_dk,2019,2381
livs_dk,2020,3461
livs_dk,2021,3085
livs_dk,2022,3074
livs_dk,2023,
tilv_txtl,2003,
tilv_txtl,2004,
tilv_txtl,2005,
tilv_txtl,2006,
tilv_txtl,2007,
tilv_txtl,2008,4
tilv_txtl,2009,6
tilv_txtl,2010,6
tilv_txtl,2011,8
tilv_txtl,2012,271
tilv_txtl,2013,34
tilv_txtl,2014,59
tilv_txtl,2015,114
tilv_txtl,2016,90
tilv_txtl,2017,128
tilv_txtl,2018,118
tilv_txtl,2019,115
tilv_txtl,2020,120
tilv_txtl,2021,136
tilv_txtl,2022,133
tilv_txtl,2023,
ind_tra,2003,
ind_tra,2004,
ind_tra,2005,
ind_tra,2006,
ind_tra,2007,
ind_tra,2008,17880
ind_tra,2009,16376
ind_tra,2010,17101
ind_tra,2011,15575
ind_tra,2012,16795
ind_tra,2013,15885
ind_tra,2014,16831
ind_tra,2015,16885
ind_tra,2016,16513
ind_tra,2017,17895
ind_tra,2018,16033
ind_tra,2019,18069
ind_tra,2020,16339
ind_tra,2021,15291
ind_tra,2022,15828
ind_tra,2023,
msa_ppr,2003,
msa_ppr,2004,
msa_ppr,2005,
msa_ppr,2006,
msa_ppr,2007,
msa_ppr,2008,196797
msa_ppr,2009,194674
msa_ppr,2010,206983
msa_ppr,2011,207374
msa_ppr,2012,206192
msa_ppr,2013,205622
msa_ppr,2014,207582
msa_ppr,2015,210108
msa_ppr,2016,207536
msa_ppr,2017,209616
msa_ppr,2018,208615
msa_ppr,2019,221086
msa_ppr,2020,223558
msa_ppr,2021,225977
msa_ppr,2022,225372
msa_ppr,2023,
grf_rep,2003,
grf_rep,2004,
grf_rep,2005,
grf_rep,2006,
grf_rep,2007,
grf_rep,2008,6
grf_rep,2009,8
grf_rep,2010,8
grf_rep,2011,9
grf_rep,2012,14
grf_rep,2013,16
grf_rep,2014,23
grf_rep,2015,63
grf_rep,2016,59
grf_rep,2017,46
grf_rep,2018,45
grf_rep,2019,48
grf_rep,2020,53
grf_rep,2021,55
grf_rep,2022,56
grf_rep,2023,
ind_stnkl,2003,
ind_stnkl,2004,
ind_stnkl,2005,
ind_stnkl,2006,
ind_stnkl,2007,
ind_stnkl,2008,1
ind_stnkl,2009,2
