sninamn,year,forv_kv
jrbk_serv,2003,265
jrbk_serv,2004,217
jrbk_serv,2005,223
jrbk_serv,2006,229
jrbk_serv,2007,957
jrbk_serv,2008,279
jrbk_serv,2009,313
jrbk_serv,2010,368
jrbk_serv,2011,418
jrbk_serv,2012,434
jrbk_serv,2013,453
jrbk_serv,2014,462
jrbk_serv,2015,497
jrbk_serv,2016,548
jrbk_serv,2017,570
jrbk_serv,2018,581
jrbk_serv,2019,567
jrbk_serv,2020,597
jrbk_serv,2021,644
jrbk_serv,2022,
jrbk_serv,2023,
skgb,2003,332
skgb,2004,357
skgb,2005,475
skgb,2006,514
skgb,2007,644
skgb,2008,774
skgb,2009,805
skgb,2010,887
skgb,2011,1101
skgb,2012,1119
skgb,2013,1122
skgb,2014,1221
skgb,2015,1331
skgb,2016,1386
skgb,2017,1302
skgb,2018,1351
skgb,2019,1398
skgb,2020,1420
skgb,2021,1427
skgb,2022,
skgb,2023,
fsk_vatn,2003,0
fsk_vatn,2004,
fsk_vatn,2005,
fsk_vatn,2006,
fsk_vatn,2007,
fsk_vatn,2008,
fsk_vatn,2009,
fsk_vatn,2010,
fsk_vatn,2011,
fsk_vatn,2012,
fsk_vatn,2013,
fsk_vatn,2014,
fsk_vatn,2015,
fsk_vatn,2016,
fsk_vatn,2017,
fsk_vatn,2018,
fsk_vatn,2019,
fsk_vatn,2020,
fsk_vatn,2021,
fsk_vatn,2022,
fsk_vatn,2023,
utv_min,2003,12
utv_min,2004,13
utv_min,2005,12
utv_min,2006,10
utv_min,2007,10
utv_min,2008,6
utv_min,2009,6
utv_min,2010,6
utv_min,2011,5
utv_min,2012,6
utv_min,2013,5
utv_min,2014,5
utv_min,2015,5
utv_min,2016,7
utv_min,2017,7
utv_min,2018,12
utv_min,2019,13
utv_min,2020,9
utv_min,2021,9
utv_min,2022,
utv_min,2023,
livs_dk,2003,27
livs_dk,2004,28
livs_dk,2005,35
livs_dk,2006,36
livs_dk,2007,40
livs_dk,2008,47
livs_dk,2009,55
livs_dk,2010,45
livs_dk,2011,58
livs_dk,2012,63
livs_dk,2013,57
livs_dk,2014,51
livs_dk,2015,66
livs_dk,2016,61
livs_dk,2017,45
livs_dk,2018,47
livs_dk,2019,59
livs_dk,2020,59
livs_dk,2021,52
livs_dk,2022,
livs_dk,2023,
tilv_txtl,2003,59
tilv_txtl,2004,57
tilv_txtl,2005,59
tilv_txtl,2006,54
tilv_txtl,2007,64
tilv_txtl,2008,69
tilv_txtl,2009,58
tilv_txtl,2010,62
tilv_txtl,2011,61
tilv_txtl,2012,57
tilv_txtl,2013,51
tilv_txtl,2014,52
tilv_txtl,2015,53
tilv_txtl,2016,52
tilv_txtl,2017,28
tilv_txtl,2018,29
tilv_txtl,2019,31
tilv_txtl,2020,30
tilv_txtl,2021,30
tilv_txtl,2022,
tilv_txtl,2023,
ind_tra,2003,172
ind_tra,2004,174
ind_tra,2005,118
ind_tra,2006,212
ind_tra,2007,226
ind_tra,2008,240
ind_tra,2009,217
ind_tra,2010,219
ind_tra,2011,223
ind_tra,2012,200
ind_tra,2013,208
ind_tra,2014,202
ind_tra,2015,197
ind_tra,2016,198
ind_tra,2017,200
ind_tra,2018,214
ind_tra,2019,232
ind_tra,2020,238
ind_tra,2021,240
ind_tra,2022,
ind_tra,2023,
msa_ppr,2003,162
msa_ppr,2004,156
msa_ppr,2005,158
msa_ppr,2006,156
msa_ppr,2007,158
msa_ppr,2008,155
msa_ppr,2009,83
msa_ppr,2010,76
msa_ppr,2011,74
msa_ppr,2012,81
msa_ppr,2013,73
msa_ppr,2014,63
msa_ppr,2015,64
msa_ppr,2016,66
msa_ppr,2017,59
msa_ppr,2018,62
msa_ppr,2019,60
msa_ppr,2020,54
msa_ppr,2021,48
msa_ppr,2022,
msa_ppr,2023,
grf_rep,2003,4
grf_rep,2004,5
grf_rep,2005,6
grf_rep,2006,
grf_rep,2007,
grf_rep,2008,
grf_rep,2009,
grf_rep,2010,
grf_rep,2011,
grf_rep,2012,
grf_rep,2013,
grf_rep,2014,
grf_rep,2015,
grf_rep,2016,
grf_rep,2017,
grf_rep,2018,
grf_rep,2019,1
grf_rep,2020,1
grf_rep,2021,
grf_rep,2022,
grf_rep,2023,
tilv_sten,2003,145
tilv_sten,2004,149
tilv_sten,2005,144
tilv_sten,2006,152
tilv_sten,2007,163
tilv_sten,2008,187
tilv_sten,2009,175
tilv_sten,2010,187
tilv_sten,2011,217
tilv_sten,2012,222
tilv_sten,2013,219
tilv_sten,2014,214
tilv_sten,2015,228
tilv_sten,2016,244
tilv_sten,2017,242
tilv_sten,2018,238
tilv_sten,2019,237
tilv_sten,2020,238
tilv_sten,2021,260
tilv_sten,2022,
tilv_sten,2023,
gmi_pls,2003,172
gmi_pls,2004,175
gmi_pls,2005,160
gmi_pls,2006,154
gmi_pls,2007,157
gmi_pls,2008,131
gmi_pls,2009,114
gmi_pls,2010,132
gmi_pls,2011,129
gmi_pls,2012,127
gmi_pls,2013,120
gmi_pls,2014,126
gmi_pls,2015,127
gmi_pls,2016,122
gmi_pls,2017,120
gmi_pls,2018,113
gmi_pls,2019,108
gmi_pls,2020,109
gmi_pls,2021,109
gmi_pls,2022,
gmi_pls,2023,
ind_min,2003,117
ind_min,2004,112
ind_min,2005,53
ind_min,2006,120
ind_min,2007,127
ind_min,2008,124
ind_min,2009,102
ind_min,2010,102
ind_min,2011,102
ind_min,2012,101
ind_min,2013,84
ind_min,2014,88
ind_min,2015,92
ind_min,2016,93
ind_min,2017,90
ind_min,2018,102
ind_min,2019,97
ind_min,2020,102
ind_min,2021,107
ind_min,2022,
ind_min,2023,
stl_met,2003,58
stl_met,2004,59
stl_met,2005,68
stl_met,2006,74
stl_met,2007,81
stl_met,2008,92
stl_met,2009,51
stl_met,2010,71
stl_met,2011,68
stl_met,2012,78
stl_met,2013,83
stl_met,2014,83
stl_met,2015,83
stl_met,2016,74
stl_met,2017,72
stl_met,2018,86
stl_met,2019,82
stl_met,2020,82
stl_met,2021,83
stl_met,2022,
stl_met,2023,
ind_met_,2003,81
ind_met_,2004,83
ind_met_,2005,74
ind_met_,2006,83
ind_met_,2007,82
ind_met_,2008,82
ind_met_,2009,81
ind_met_,2010,73
ind_met_,2011,75
ind_met_,2012,78
ind_met_,2013,90
ind_met_,2014,80
ind_met_,2015,75
ind_met_,2016,68
ind_met_,2017,68
ind_met_,2018,70
ind_met_,2019,69
ind_met_,2020,69
ind_met_,2021,71
ind_met_,2022,
ind_met_,2023,
tilv_dat,2003,759
tilv_dat,2004,774
tilv_dat,2005,773
tilv_dat,2006,820
tilv_dat,2007,910
tilv_dat,2008,1002
tilv_dat,2009,947
tilv_dat,2010,725
tilv_dat,2011,553
tilv_dat,2012,498
tilv_dat,2013,507
tilv_dat,2014,506
tilv_dat,2015,459
tilv_dat,2016,457
tilv_dat,2017,400
tilv_dat,2018,406
tilv_dat,2019,367
tilv_dat,2020,352
tilv_dat,2021,420
tilv_dat,2022,
tilv_dat,2023,
elap,2003,1196
elap,2004,1259
elap,2005,1250
elap,2006,1403
elap,2007,1419
elap,2008,1520
elap,2009,1330
elap,2010,1185
elap,2011,1204
elap,2012,1161
elap,2013,950
elap,2014,925
elap,2015,882
elap,2016,848
elap,2017,882
elap,2018,942
elap,2019,954
elap,2020,1007
elap,2021,1140
elap,2022,
elap,2023,
ind_mot_vag,2003,46
ind_mot_vag,2004,43
ind_mot_vag,2005,41
ind_mot_vag,2006,44
ind_mot_vag,2007,47
ind_mot_vag,2008,45
ind_mot_vag,2009,43
ind_mot_vag,2010,39
ind_mot_vag,2011,42
ind_mot_vag,2012,62
ind_mot_vag,2013,109
ind_mot_vag,2014,133
ind_mot_vag,2015,119
ind_mot_vag,2016,52
ind_mot_vag,2017,62
ind_mot_vag,2018,58
ind_mot_vag,2019,60
ind_mot_vag,2020,51
ind_mot_vag,2021,55
ind_mot_vag,2022,
ind_mot_vag,2023,
ann_transp,2003,
ann_transp,2004,
ann_transp,2005,
ann_transp,2006,1
ann_transp,2007,0
ann_transp,2008,0
ann_transp,2009,0
ann_transp,2010,0
ann_transp,2011,
ann_transp,2012,0
ann_transp,2013,0
ann_transp,2014,0
ann_transp,2015,1
ann_transp,2016,1
ann_transp,2017,1
ann_transp,2018,1
ann_transp,2019,1
ann_transp,2020,0
ann_transp,2021,1
ann_transp,2022,
ann_transp,2023,
tilv_mob,2003,
tilv_mob,2004,
tilv_mob,2005,2
tilv_mob,2006,2
tilv_mob,2007,1
tilv_mob,2008,1
tilv_mob,2009,1
tilv_mob,2010,0
tilv_mob,2011,2
tilv_mob,2012,4
tilv_mob,2013,5
tilv_mob,2014,6
tilv_mob,2015,6
tilv_mob,2016,7
tilv_mob,2017,7
tilv_mob,2018,10
tilv_mob,2019,9
tilv_mob,2020,10
tilv_mob,2021,10
tilv_mob,2022,
tilv_mob,2023,
rep_inst,2003,121
rep_inst,2004,125
rep_inst,2005,133
rep_inst,2006,151
