sninamn,year,forvar
jrbk_serv,2003,1201
jrbk_serv,2004,1215
jrbk_serv,2005,1043
jrbk_serv,2006,970
jrbk_serv,2007,1379
jrbk_serv,2008,1459
jrbk_serv,2009,1288
jrbk_serv,2010,1724
jrbk_serv,2011,1944
jrbk_serv,2012,1866
jrbk_serv,2013,1840
jrbk_serv,2014,1933
jrbk_serv,2015,2038
jrbk_serv,2016,2109
jrbk_serv,2017,2436
jrbk_serv,2018,2462
jrbk_serv,2019,2626
jrbk_serv,2020,2575
jrbk_serv,2021,3031
jrbk_serv,2022,
jrbk_serv,2023,
skgb,2003,5954
skgb,2004,6686
skgb,2005,3450
skgb,2006,6014
skgb,2007,9940
skgb,2008,10651
skgb,2009,10574
skgb,2010,12491
skgb,2011,12208
skgb,2012,10893
skgb,2013,10490
skgb,2014,11560
skgb,2015,13791
skgb,2016,14891
skgb,2017,15566
skgb,2018,17242
skgb,2019,17742
skgb,2020,15830
skgb,2021,15612
skgb,2022,
skgb,2023,
fsk_vatn,2003,0
fsk_vatn,2004,
fsk_vatn,2005,
fsk_vatn,2006,
fsk_vatn,2007,
fsk_vatn,2008,
fsk_vatn,2009,
fsk_vatn,2010,
fsk_vatn,2011,
fsk_vatn,2012,
fsk_vatn,2013,
fsk_vatn,2014,
fsk_vatn,2015,
fsk_vatn,2016,
fsk_vatn,2017,
fsk_vatn,2018,
fsk_vatn,2019,
fsk_vatn,2020,
fsk_vatn,2021,
fsk_vatn,2022,
fsk_vatn,2023,
utv_min,2003,29
utv_min,2004,37
utv_min,2005,38
utv_min,2006,46
utv_min,2007,49
utv_min,2008,47
utv_min,2009,41
utv_min,2010,38
utv_min,2011,39
utv_min,2012,52
utv_min,2013,55
utv_min,2014,64
utv_min,2015,70
utv_min,2016,78
utv_min,2017,78
utv_min,2018,106
utv_min,2019,124
utv_min,2020,80
utv_min,2021,109
utv_min,2022,
utv_min,2023,
livs_dk,2003,46
livs_dk,2004,54
livs_dk,2005,58
livs_dk,2006,59
livs_dk,2007,67
livs_dk,2008,85
livs_dk,2009,89
livs_dk,2010,63
livs_dk,2011,86
livs_dk,2012,68
livs_dk,2013,82
livs_dk,2014,81
livs_dk,2015,94
livs_dk,2016,113
livs_dk,2017,80
livs_dk,2018,72
livs_dk,2019,75
livs_dk,2020,115
livs_dk,2021,88
livs_dk,2022,
livs_dk,2023,
tilv_txtl,2003,59
tilv_txtl,2004,59
tilv_txtl,2005,61
tilv_txtl,2006,67
tilv_txtl,2007,59
tilv_txtl,2008,63
tilv_txtl,2009,61
tilv_txtl,2010,62
tilv_txtl,2011,64
tilv_txtl,2012,65
tilv_txtl,2013,64
tilv_txtl,2014,64
tilv_txtl,2015,74
tilv_txtl,2016,65
tilv_txtl,2017,49
tilv_txtl,2018,47
tilv_txtl,2019,50
tilv_txtl,2020,51
tilv_txtl,2021,51
tilv_txtl,2022,
tilv_txtl,2023,
ind_tra,2003,846
ind_tra,2004,754
ind_tra,2005,1014
ind_tra,2006,1253
ind_tra,2007,1678
ind_tra,2008,1172
ind_tra,2009,1176
ind_tra,2010,1396
ind_tra,2011,917
ind_tra,2012,879
ind_tra,2013,1190
ind_tra,2014,1219
ind_tra,2015,1342
ind_tra,2016,1283
ind_tra,2017,1516
ind_tra,2018,1755
ind_tra,2019,1650
ind_tra,2020,1440
ind_tra,2021,3213
ind_tra,2022,
ind_tra,2023,
msa_ppr,2003,669
msa_ppr,2004,690
msa_ppr,2005,639
msa_ppr,2006,770
msa_ppr,2007,611
msa_ppr,2008,667
msa_ppr,2009,489
msa_ppr,2010,469
msa_ppr,2011,628
msa_ppr,2012,497
msa_ppr,2013,350
msa_ppr,2014,317
msa_ppr,2015,231
msa_ppr,2016,315
msa_ppr,2017,243
msa_ppr,2018,382
msa_ppr,2019,369
msa_ppr,2020,243
msa_ppr,2021,241
msa_ppr,2022,
msa_ppr,2023,
grf_rep,2003,11
grf_rep,2004,14
grf_rep,2005,17
grf_rep,2006,
grf_rep,2007,
grf_rep,2008,
grf_rep,2009,
grf_rep,2010,
grf_rep,2011,
grf_rep,2012,
grf_rep,2013,
grf_rep,2014,
grf_rep,2015,
grf_rep,2016,
grf_rep,2017,
grf_rep,2018,
grf_rep,2019,5
grf_rep,2020,3
grf_rep,2021,
grf_rep,2022,
grf_rep,2023,
tilv_sten,2003,768
tilv_sten,2004,783
tilv_sten,2005,841
tilv_sten,2006,767
tilv_sten,2007,705
tilv_sten,2008,873
tilv_sten,2009,761
tilv_sten,2010,1087
tilv_sten,2011,1126
tilv_sten,2012,1211
tilv_sten,2013,1352
tilv_sten,2014,1477
tilv_sten,2015,1291
tilv_sten,2016,1399
tilv_sten,2017,1752
tilv_sten,2018,1150
tilv_sten,2019,1526
tilv_sten,2020,1678
tilv_sten,2021,2172
tilv_sten,2022,
tilv_sten,2023,
gmi_pls,2003,437
gmi_pls,2004,417
gmi_pls,2005,427
gmi_pls,2006,572
gmi_pls,2007,553
gmi_pls,2008,463
gmi_pls,2009,392
gmi_pls,2010,392
gmi_pls,2011,447
gmi_pls,2012,420
gmi_pls,2013,319
gmi_pls,2014,407
gmi_pls,2015,436
gmi_pls,2016,492
gmi_pls,2017,489
gmi_pls,2018,456
gmi_pls,2019,485
gmi_pls,2020,535
gmi_pls,2021,431
gmi_pls,2022,
gmi_pls,2023,
ind_min,2003,342
ind_min,2004,333
ind_min,2005,391
ind_min,2006,414
ind_min,2007,554
ind_min,2008,469
ind_min,2009,451
ind_min,2010,520
ind_min,2011,536
ind_min,2012,571
ind_min,2013,474
ind_min,2014,513
ind_min,2015,534
ind_min,2016,521
ind_min,2017,573
ind_min,2018,576
ind_min,2019,644
ind_min,2020,704
ind_min,2021,625
ind_min,2022,
ind_min,2023,
stl_met,2003,208
stl_met,2004,221
stl_met,2005,255
stl_met,2006,239
stl_met,2007,381
stl_met,2008,350
stl_met,2009,79
stl_met,2010,369
stl_met,2011,399
stl_met,2012,493
stl_met,2013,464
stl_met,2014,580
stl_met,2015,645
stl_met,2016,552
stl_met,2017,411
stl_met,2018,537
stl_met,2019,487
stl_met,2020,541
stl_met,2021,688
stl_met,2022,
stl_met,2023,
ind_met_,2003,423
ind_met_,2004,425
ind_met_,2005,452
ind_met_,2006,514
ind_met_,2007,530
ind_met_,2008,464
ind_met_,2009,377
ind_met_,2010,419
ind_met_,2011,372
ind_met_,2012,508
ind_met_,2013,495
ind_met_,2014,486
ind_met_,2015,462
ind_met_,2016,463
ind_met_,2017,468
ind_met_,2018,494
ind_met_,2019,502
ind_met_,2020,523
ind_met_,2021,382
ind_met_,2022,
ind_met_,2023,
tilv_dat,2003,3553
tilv_dat,2004,2642
tilv_dat,2005,2613
tilv_dat,2006,2993
tilv_dat,2007,3512
tilv_dat,2008,3837
tilv_dat,2009,2666
tilv_dat,2010,1263
tilv_dat,2011,1398
tilv_dat,2012,1493
tilv_dat,2013,1319
tilv_dat,2014,988
tilv_dat,2015,2513
tilv_dat,2016,2285
tilv_dat,2017,2200
tilv_dat,2018,2442
tilv_dat,2019,2125
tilv_dat,2020,1663
tilv_dat,2021,1995
tilv_dat,2022,
tilv_dat,2023,
elap,2003,4694
elap,2004,5083
elap,2005,5555
elap,2006,6265
elap,2007,5933
elap,2008,6154
elap,2009,5123
elap,2010,4787
elap,2011,4929
elap,2012,4481
elap,2013,3472
elap,2014,4218
elap,2015,3904
elap,2016,4059
elap,2017,4177
elap,2018,4706
elap,2019,4901
elap,2020,4817
elap,2021,5944
elap,2022,
elap,2023,
ind_mot_vag,2003,209
ind_mot_vag,2004,186
ind_mot_vag,2005,191
ind_mot_vag,2006,217
ind_mot_vag,2007,230
ind_mot_vag,2008,190
ind_mot_vag,2009,277
ind_mot_vag,2010,214
ind_mot_vag,2011,319
ind_mot_vag,2012,357
ind_mot_vag,2013,360
ind_mot_vag,2014,379
ind_mot_vag,2015,563
ind_mot_vag,2016,430
ind_mot_vag,2017,402
ind_mot_vag,2018,391
ind_mot_vag,2019,401
ind_mot_vag,2020,448
ind_mot_vag,2021,419
ind_mot_vag,2022,
ind_mot_vag,2023,
ann_transp,2003,
ann_transp,2004,
ann_transp,2005,
ann_transp,2006,7
ann_transp,2007,2
ann_transp,2008,1
ann_transp,2009,1
ann_transp,2010,1
ann_transp,2011,
ann_transp,2012,2
ann_transp,2013,4
ann_transp,2014,6
ann_transp,2015,4
ann_transp,2016,6
ann_transp,2017,7
ann_transp,2018,6
ann_transp,2019,6
ann_transp,2020,9
ann_transp,2021,11
ann_transp,2022,
ann_transp,2023,
tilv_mob,2003,
tilv_mob,2004,
tilv_mob,2005,5
tilv_mob,2006,8
tilv_mob,2007,1
tilv_mob,2008,2
tilv_mob,2009,1
tilv_mob,2010,1
tilv_mob,2011,2
tilv_mob,2012,11
tilv_mob,2013,13
tilv_mob,2014,28
tilv_mob,2015,31
tilv_mob,2016,31
tilv_mob,2017,33
tilv_mob,2018,37
tilv_mob,2019,35
tilv_mob,2020,52
tilv_mob,2021,61
tilv_mob,2022,
tilv_mob,2023,
rep_inst,2003,470
rep_inst,2004,298
rep_inst,2005,514
rep_inst,2006,422
rep_inst,2007,500
rep_inst,2008,603
rep_inst,2009,426
rep_inst,2010,820
rep_inst,2011,888
rep_inst,2012,650
rep_inst,2013,604
rep_inst,2014,595
rep_inst,2015,530
rep_inst,2016,393
rep_inst,2017,404
rep_inst,2018,230
rep_inst,2019,283
rep_inst,2020,195
rep_inst,2021,312
rep_inst,2022,
rep_inst,2023,
el_gs_vrm,2003,16694
el_gs_vrm,2004,22621
el_gs_vrm,2005,25703
el_gs_vrm,2006,26078
el_gs_vrm,2007,28483
el_gs_vrm,2008,37019
el_gs_vrm,2009,34306
el_gs_vrm,2010,31185
el_gs_vrm,2011,46382
el_gs_vrm,2012,50903
el_gs_vrm,2013,44074
el_gs_vrm,2014,44173
el_gs_vrm,2015,36942
el_gs_vrm,2016,36631
el_gs_vrm,2017,40140
el_gs_vrm,2018,37750
el_gs_vrm,2019,54161
el_gs_vrm,2020,47049
el_gs_vrm,2021,56724
el_gs_vrm,2022,
el_gs_vrm,2023,
vtnf,2003,1527
vtnf,2004,1470
vtnf,2005,1396
vtnf,2006,1343
vtnf,2007,1355
vtnf,2008,1383
vtnf,2009,449
vtnf,2010,432
vtnf,2011,536
vtnf,2012,699
vtnf,2013,792
vtnf,2014,858
vtnf,2015,1043
vtnf,2016,1091
vtnf,2017,909
vtnf,2018,805
vtnf,2019,996
vtnf,2020,1320
vtnf,2021,1471
vtnf,2022,
vtnf,2023,
avl_ren,2003,10634
avl_ren,2004,11036
avl_ren,2005,10996
avl_ren,2006,12297
avl_ren,2007,13927
avl_ren,2008,14274
avl_ren,2009,13094
avl_ren,2010,13487
avl_ren,2011,13932
avl_ren,2012,15188
avl_ren,2013,15956
avl_ren,2014,15532
avl_ren,2015,18001
avl_ren,2016,16906
avl_ren,2017,17407
avl_ren,2018,19084
avl_ren,2019,19135
avl_ren,2020,22055
avl_ren,2021,25977
avl_ren,2022,
avl_ren,2023,
bygg,2003,8337
bygg,2004,10475
bygg,2005,12489
bygg,2006,16747
bygg,2007,20988
bygg,2008,22393
bygg,2009,25042
bygg,2010,28562
bygg,2011,31284
bygg,2012,33619
bygg,2013,34988
bygg,2014,40102
bygg,2015,46789
bygg,2016,52873
bygg,2017,60962
bygg,2018,66038
bygg,2019,69595
bygg,2020,78412
bygg,2021,81766
bygg,2022,
bygg,2023,
hnd_motc,2003,164
hnd_motc,2004,191
hnd_motc,2005,175
hnd_motc,2006,173
hnd_motc,2007,189
hnd_motc,2008,93
hnd_motc,2009,95
hnd_motc,2010,133
hnd_motc,2011,133
hnd_motc,2012,215
hnd_motc,2013,208
hnd_motc,2014,205
hnd_motc,2015,214
hnd_motc,2016,242
hnd_motc,2017,248
hnd_motc,2018,235
hnd_motc,2019,237
hnd_motc,2020,218
hnd_motc,2021,241
hnd_motc,2022,
hnd_motc,2023,
prt_prv,2003,1186
prt_prv,2004,1189
prt_prv,2005,1354
prt_prv,2006,1517
prt_prv,2007,1608
prt_prv,2008,1913
prt_prv,2009,1714
prt_prv,2010,1624
prt_prv,2011,1549
prt_prv,2012,1568
prt_prv,2013,1514
prt_prv,2014,1595
prt_prv,2015,1646
prt_prv,2016,1726
prt_prv,2017,1949
prt_prv,2018,1905
prt_prv,2019,2060
prt_prv,2020,2259
prt_prv,2021,2434
prt_prv,2022,
prt_prv,2023,
det_hnd,2003,20
det_hnd,2004,24
det_hnd,2005,26
det_hnd,2006,27
det_hnd,2007,29
det_hnd,2008,34
det_hnd,2009,27
det_hnd,2010,29
det_hnd,2011,33
det_hnd,2012,37
det_hnd,2013,37
det_hnd,2014,40
det_hnd,2015,43
det_hnd,2016,37
det_hnd,2017,40
det_hnd,2018,44
det_hnd,2019,44
det_hnd,2020,49
det_hnd,2021,38
det_hnd,2022,
det_hnd,2023,
lnd_transp,2003,889
lnd_transp,2004,925
lnd_transp,2005,951
lnd_transp,2006,1167
lnd_transp,2007,1235
lnd_transp,2008,1336
lnd_transp,2009,1064
lnd_transp,2010,1125
lnd_transp,2011,1186
lnd_transp,2012,1150
lnd_transp,2013,1175
lnd_transp,2014,977
lnd_transp,2015,977
lnd_transp,2016,1045
lnd_transp,2017,1032
lnd_transp,2018,1066
lnd_transp,2019,1097
lnd_transp,2020,1113
lnd_transp,2021,1233
lnd_transp,2022,
lnd_transp,2023,
red,2003,1
red,2004,1
red,2005,1
red,2006,1
red,2007,1
red,2008,
red,2009,
red,2010,
red,2011,
red,2012,
red,2013,
red,2014,1
red,2015,1
red,2016,1
red,2017,1
red,2018,1
red,2019,
red,2020,
red,2021,
red,2022,
red,2023,
flg,2003,0
flg,2004,0
flg,2005,0
flg,2006,0
flg,2007,0
flg,2008,0
flg,2009,0
flg,2010,0
flg,2011,0
flg,2012,0
flg,2013,0
flg,2014,0
flg,2015,0
flg,2016,0
flg,2017,0
flg,2018,0
flg,2019,0
flg,2020,0
flg,2021,0
flg,2022,
flg,2023,
mag_std_trans,2003,47
mag_std_trans,2004,62
mag_std_trans,2005,71
mag_std_trans,2006,57
mag_std_trans,2007,66
mag_std_trans,2008,48
mag_std_trans,2009,32
mag_std_trans,2010,43
mag_std_trans,2011,66
mag_std_trans,2012,62
mag_std_trans,2013,58
mag_std_trans,2014,63
mag_std_trans,2015,86
mag_std_trans,2016,97
mag_std_trans,2017,104
mag_std_trans,2018,114
mag_std_trans,2019,114
mag_std_trans,2020,115
mag_std_trans,2021,115
mag_std_trans,2022,
mag_std_trans,2023,
htl_rest,2003,126
htl_rest,2004,129
htl_rest,2005,162
htl_rest,2006,170
htl_rest,2007,168
htl_rest,2008,210
htl_rest,2009,200
htl_rest,2010,230
htl_rest,2011,227
htl_rest,2012,226
htl_rest,2013,223
htl_rest,2014,234
htl_rest,2015,254
htl_rest,2016,291
htl_rest,2017,314
htl_rest,2018,314
htl_rest,2019,318
htl_rest,2020,288
htl_rest,2021,350
htl_rest,2022,
htl_rest,2023,
frlg,2003,39
frlg,2004,43
frlg,2005,52
frlg,2006,65
frlg,2007,77
frlg,2008,116
frlg,2009,141
frlg,2010,170
frlg,2011,170
frlg,2012,147
frlg,2013,158
frlg,2014,169
frlg,2015,231
frlg,2016,168
frlg,2017,141
frlg,2018,151
frlg,2019,144
frlg,2020,119
frlg,2021,118
frlg,2022,
frlg,2023,
flm_ljd_vid,2003,
flm_ljd_vid,2004,
flm_ljd_vid,2005,0
flm_ljd_vid,2006,0
flm_ljd_vid,2007,
flm_ljd_vid,2008,
flm_ljd_vid,2009,
flm_ljd_vid,2010,
flm_ljd_vid,2011,
flm_ljd_vid,2012,
flm_ljd_vid,2013,0
flm_ljd_vid,2014,0
flm_ljd_vid,2015,
flm_ljd_vid,2016,
flm_ljd_vid,2017,
flm_ljd_vid,2018,
flm_ljd_vid,2019,
flm_ljd_vid,2020,
flm_ljd_vid,2021,
flm_ljd_vid,2022,
flm_ljd_vid,2023,
telekom,2003,0
telekom,2004,0
telekom,2005,
telekom,2006,
telekom,2007,
telekom,2008,
telekom,2009,
telekom,2010,
telekom,2011,
telekom,2012,
telekom,2013,
telekom,2014,
telekom,2015,
telekom,2016,
telekom,2017,
telekom,2018,
telekom,2019,
telekom,2020,
telekom,2021,
telekom,2022,
telekom,2023,
prog_inf,2003,20
prog_inf,2004,23
prog_inf,2005,24
prog_inf,2006,26
prog_inf,2007,33
prog_inf,2008,35
prog_inf,2009,37
prog_inf,2010,41
prog_inf,2011,61
prog_inf,2012,74
prog_inf,2013,76
prog_inf,2014,72
prog_inf,2015,67
prog_inf,2016,116
prog_inf,2017,110
prog_inf,2018,148
prog_inf,2019,106
prog_inf,2020,113
prog_inf,2021,143
prog_inf,2022,
prog_inf,2023,
fst_frv,2003,946
fst_frv,2004,1239
fst_frv,2005,610
fst_frv,2006,237
fst_frv,2007,57
fst_frv,2008,45
fst_frv,2009,53
fst_frv,2010,59
fst_frv,2011,205
fst_frv,2012,195
fst_frv,2013,239
fst_frv,2014,301
fst_frv,2015,323
fst_frv,2016,318
fst_frv,2017,305
fst_frv,2018,221
fst_frv,2019,225
fst_frv,2020,142
fst_frv,2021,227
fst_frv,2022,
fst_frv,2023,
jur_ek_hvd,2003,289
jur_ek_hvd,2004,306
jur_ek_hvd,2005,458
jur_ek_hvd,2006,240
jur_ek_hvd,2007,419
jur_ek_hvd,2008,295
jur_ek_hvd,2009,257
jur_ek_hvd,2010,269
jur_ek_hvd,2011,355
jur_ek_hvd,2012,373
jur_ek_hvd,2013,327
jur_ek_hvd,2014,360
jur_ek_hvd,2015,427
jur_ek_hvd,2016,434
jur_ek_hvd,2017,450
jur_ek_hvd,2018,384
jur_ek_hvd,2019,376
jur_ek_hvd,2020,342
jur_ek_hvd,2021,392
jur_ek_hvd,2022,
jur_ek_hvd,2023,
ark_tek_vet,2003,4173
ark_tek_vet,2004,4424
ark_tek_vet,2005,4473
ark_tek_vet,2006,4700
ark_tek_vet,2007,5598
ark_tek_vet,2008,6060
ark_tek_vet,2009,5938
ark_tek_vet,2010,6300
ark_tek_vet,2011,5972
ark_tek_vet,2012,6258
ark_tek_vet,2013,6094
ark_tek_vet,2014,6165
ark_tek_vet,2015,6636
ark_tek_vet,2016,6993
ark_tek_vet,2017,7805
ark_tek_vet,2018,8209
ark_tek_vet,2019,8940
ark_tek_vet,2020,8295
ark_tek_vet,2021,9138
ark_tek_vet,2022,
ark_tek_vet,2023,
rek_mrknd,2003,98
rek_mrknd,2004,105
rek_mrknd,2005,121
rek_mrknd,2006,126
rek_mrknd,2007,181
rek_mrknd,2008,298
rek_mrknd,2009,414
rek_mrknd,2010,470
rek_mrknd,2011,429
rek_mrknd,2012,357
rek_mrknd,2013,358
rek_mrknd,2014,457
rek_mrknd,2015,440
rek_mrknd,2016,491
rek_mrknd,2017,480
rek_mrknd,2018,438
rek_mrknd,2019,510
rek_mrknd,2020,790
rek_mrknd,2021,1178
rek_mrknd,2022,
rek_mrknd,2023,
uthyr,2003,13
uthyr,2004,12
uthyr,2005,14
uthyr,2006,14
uthyr,2007,20
uthyr,2008,75
uthyr,2009,122
uthyr,2010,158
uthyr,2011,178
uthyr,2012,1248
uthyr,2013,250
uthyr,2014,260
uthyr,2015,289
uthyr,2016,338
uthyr,2017,314
uthyr,2018,333
uthyr,2019,391
uthyr,2020,425
uthyr,2021,444
uthyr,2022,
uthyr,2023,
arbf_res,2003,731
arbf_res,2004,787
arbf_res,2005,796
arbf_res,2006,863
arbf_res,2007,1001
arbf_res,2008,986
arbf_res,2009,743
arbf_res,2010,761
arbf_res,2011,685
arbf_res,2012,637
arbf_res,2013,673
arbf_res,2014,671
arbf_res,2015,635
arbf_res,2016,645
arbf_res,2017,582
arbf_res,2018,602
arbf_res,2019,682
arbf_res,2020,623
arbf_res,2021,753
arbf_res,2022,
arbf_res,2023,
utbild,2003,42
utbild,2004,66
utbild,2005,73
utbild,2006,78
utbild,2007,84
utbild,2008,79
utbild,2009,80
utbild,2010,85
utbild,2011,76
utbild,2012,131
utbild,2013,122
utbild,2014,124
utbild,2015,146
utbild,2016,142
utbild,2017,150
utbild,2018,116
utbild,2019,136
utbild,2020,155
utbild,2021,159
utbild,2022,
utbild,2023,
hls_sjkvrd,2003,1
hls_sjkvrd,2004,1
hls_sjkvrd,2005,2
hls_sjkvrd,2006,2
hls_sjkvrd,2007,3
hls_sjkvrd,2008,2
hls_sjkvrd,2009,4
hls_sjkvrd,2010,4
hls_sjkvrd,2011,4
hls_sjkvrd,2012,2
hls_sjkvrd,2013,2
hls_sjkvrd,2014,1
hls_sjkvrd,2015,1
hls_sjkvrd,2016,
hls_sjkvrd,2017,
hls_sjkvrd,2018,
hls_sjkvrd,2019,
hls_sjkvrd,2020,
hls_sjkvrd,2021,
hls_sjkvrd,2022,
hls_sjkvrd,2023,
vrd_oms,2003,
vrd_oms,2004,
vrd_oms,2005,
vrd_oms,2006,
vrd_oms,2007,
vrd_oms,2008,
vrd_oms,2009,
vrd_oms,2010,
vrd_oms,2011,
vrd_oms,2012,
vrd_oms,2013,
vrd_oms,2014,
vrd_oms,2015,
vrd_oms,2016,
vrd_oms,2017,
vrd_oms,2018,0
vrd_oms,2019,0
vrd_oms,2020,0
vrd_oms,2021,0
vrd_oms,2022,
vrd_oms,2023,
kult_frit,2003,34
kult_frit,2004,37
kult_frit,2005,35
kult_frit,2006,39
kult_frit,2007,48
kult_frit,2008,55
kult_frit,2009,61
kult_frit,2010,64
kult_frit,2011,69
kult_frit,2012,60
kult_frit,2013,69
kult_frit,2014,67
kult_frit,2015,89
kult_frit,2016,99
kult_frit,2017,113
kult_frit,2018,111
kult_frit,2019,148
kult_frit,2020,155
kult_frit,2021,166
kult_frit,2022,
kult_frit,2023,
ann_serv,2003,137
ann_serv,2004,142
ann_serv,2005,166
ann_serv,2006,151
ann_serv,2007,145
ann_serv,2008,160
ann_serv,2009,152
ann_serv,2010,204
ann_serv,2011,175
ann_serv,2012,173
ann_serv,2013,191
ann_serv,2014,186
ann_serv,2015,192
ann_serv,2016,203
ann_serv,2017,183
ann_serv,2018,182
ann_serv,2019,195
ann_serv,2020,183
ann_serv,2021,200
ann_serv,2022,
ann_serv,2023,
off_sek,2003,2853
off_sek,2004,2975
off_sek,2005,3035
off_sek,2006,2309
off_sek,2007,2783
off_sek,2008,2531
off_sek,2009,2309
off_sek,2010,2482
off_sek,2011,2913
off_sek,2012,3011
off_sek,2013,3110
off_sek,2014,3281
off_sek,2015,3638
off_sek,2016,4111
off_sek,2017,4415
off_sek,2018,4801
off_sek,2019,4973
off_sek,2020,5099
off_sek,2021,5498
off_sek,2022,
off_sek,2023,
hsh_icke,2003,
hsh_icke,2004,
hsh_icke,2005,
hsh_icke,2006,
hsh_icke,2007,
hsh_icke,2008,409
hsh_icke,2009,417
hsh_icke,2010,393
hsh_icke,2011,416
hsh_icke,2012,435
hsh_icke,2013,474
hsh_icke,2014,517
hsh_icke,2015,529
hsh_icke,2016,555
hsh_icke,2017,593
hsh_icke,2018,622
hsh_icke,2019,630
hsh_icke,2020,632
hsh_icke,2021,702
hsh_icke,2022,
hsh_icke,2023,
tot,2003,68932
tot,2004,78208
tot,2005,80752
tot,2006,90058
tot,2007,105216
tot,2008,117428
tot,2009,111054
tot,2010,114463
tot,2011,133405
tot,2012,141337
tot,2013,134161
tot,2014,141381
tot,2015,148247
tot,2016,155105
tot,2017,169694
tot,2018,176805
tot,2019,199256
tot,2020,201462
tot,2021,224869
tot,2022,
tot,2023,
