sninamn,year,ghg_utsl
jrbk_serv,2003,
jrbk_serv,2004,
jrbk_serv,2005,
jrbk_serv,2006,
jrbk_serv,2007,
jrbk_serv,2008,7908
jrbk_serv,2009,7621
jrbk_serv,2010,7841
jrbk_serv,2011,7789
jrbk_serv,2012,7667
jrbk_serv,2013,7696
jrbk_serv,2014,7704
jrbk_serv,2015,7694
jrbk_serv,2016,7607
jrbk_serv,2017,7693
jrbk_serv,2018,7373
jrbk_serv,2019,7414
jrbk_serv,2020,7458
jrbk_serv,2021,7345
jrbk_serv,2022,7296
jrbk_serv,2023,
skgb,2003,
skgb,2004,
skgb,2005,
skgb,2006,
skgb,2007,
skgb,2008,1053
skgb,2009,1032
skgb,2010,1051
skgb,2011,1103
skgb,2012,1058
skgb,2013,996
skgb,2014,971
skgb,2015,961
skgb,2016,891
skgb,2017,863
skgb,2018,809
skgb,2019,831
skgb,2020,804
skgb,2021,791
skgb,2022,679
skgb,2023,
fsk_vtn,2003,
fsk_vtn,2004,
fsk_vtn,2005,
fsk_vtn,2006,
fsk_vtn,2007,
fsk_vtn,2008,163
fsk_vtn,2009,149
fsk_vtn,2010,138
fsk_vtn,2011,127
fsk_vtn,2012,125
fsk_vtn,2013,122
fsk_vtn,2014,119
fsk_vtn,2015,115
fsk_vtn,2016,109
fsk_vtn,2017,102
fsk_vtn,2018,96
fsk_vtn,2019,91
fsk_vtn,2020,87
fsk_vtn,2021,89
fsk_vtn,2022,88
fsk_vtn,2023,
utv_min,2003,
utv_min,2004,
utv_min,2005,
utv_min,2006,
utv_min,2007,
utv_min,2008,776
utv_min,2009,641
utv_min,2010,877
utv_min,2011,885
utv_min,2012,912
utv_min,2013,897
utv_min,2014,940
utv_min,2015,918
utv_min,2016,916
utv_min,2017,929
utv_min,2018,882
utv_min,2019,894
utv_min,2020,905
utv_min,2021,882
utv_min,2022,821
utv_min,2023,
livs_dk,2003,
livs_dk,2004,
livs_dk,2005,
livs_dk,2006,
livs_dk,2007,
livs_dk,2008,866
livs_dk,2009,886
livs_dk,2010,859
livs_dk,2011,853
livs_dk,2012,826
livs_dk,2013,782
livs_dk,2014,757
livs_dk,2015,694
livs_dk,2016,715
livs_dk,2017,682
livs_dk,2018,649
livs_dk,2019,629
livs_dk,2020,617
livs_dk,2021,558
livs_dk,2022,537
livs_dk,2023,
tilv_txtl,2003,
tilv_txtl,2004,
tilv_txtl,2005,
tilv_txtl,2006,
tilv_txtl,2007,
tilv_txtl,2008,54
tilv_txtl,2009,49
tilv_txtl,2010,50
tilv_txtl,2011,45
tilv_txtl,2012,42
tilv_txtl,2013,39
tilv_txtl,2014,34
tilv_txtl,2015,30
tilv_txtl,2016,29
tilv_txtl,2017,26
tilv_txtl,2018,21
tilv_txtl,2019,21
tilv_txtl,2020,19
tilv_txtl,2021,18
tilv_txtl,2022,20
tilv_txtl,2023,
ind_tra,2003,
ind_tra,2004,
ind_tra,2005,
ind_tra,2006,
ind_tra,2007,
ind_tra,2008,255
ind_tra,2009,245
ind_tra,2010,255
ind_tra,2011,249
ind_tra,2012,231
ind_tra,2013,213
ind_tra,2014,204
ind_tra,2015,208
ind_tra,2016,280
ind_tra,2017,291
ind_tra,2018,302
ind_tra,2019,304
ind_tra,2020,296
ind_tra,2021,299
ind_tra,2022,286
ind_tra,2023,
msa_ppr,2003,
msa_ppr,2004,
msa_ppr,2005,
msa_ppr,2006,
msa_ppr,2007,
msa_ppr,2008,1869
msa_ppr,2009,1566
msa_ppr,2010,1640
msa_ppr,2011,1499
msa_ppr,2012,1392
msa_ppr,2013,1152
msa_ppr,2014,994
msa_ppr,2015,927
msa_ppr,2016,1063
msa_ppr,2017,1044
msa_ppr,2018,1106
msa_ppr,2019,1053
msa_ppr,2020,987
msa_ppr,2021,1020
msa_ppr,2022,932
msa_ppr,2023,
grf_rep,2003,
grf_rep,2004,
grf_rep,2005,
grf_rep,2006,
grf_rep,2007,
grf_rep,2008,43
grf_rep,2009,34
grf_rep,2010,30
grf_rep,2011,30
grf_rep,2012,28
grf_rep,2013,25
grf_rep,2014,23
grf_rep,2015,21
grf_rep,2016,17
grf_rep,2017,18
grf_rep,2018,17
grf_rep,2019,17
grf_rep,2020,14
grf_rep,2021,13
grf_rep,2022,11
grf_rep,2023,
ind_stn,2003,
ind_stn,2004,
ind_stn,2005,
ind_stn,2006,
ind_stn,2007,
ind_stn,2008,3091
ind_stn,2009,3067
ind_stn,2010,3015
ind_stn,2011,2897
ind_stn,2012,3074
ind_stn,2013,2658
