sninamn,year,prodvar
jrbk_serv,2003,2461
jrbk_serv,2004,2506
jrbk_serv,2005,2387
jrbk_serv,2006,2400
jrbk_serv,2007,3215
jrbk_serv,2008,3702
jrbk_serv,2009,3772
jrbk_serv,2010,4576
jrbk_serv,2011,5147
jrbk_serv,2012,5135
jrbk_serv,2013,5197
jrbk_serv,2014,5412
jrbk_serv,2015,5751
jrbk_serv,2016,6355
jrbk_serv,2017,7075
jrbk_serv,2018,7329
jrbk_serv,2019,7272
jrbk_serv,2020,7118
jrbk_serv,2021,8198
jrbk_serv,2022,
jrbk_serv,2023,
skgb,2003,20278
skgb,2004,22141
skgb,2005,14777
skgb,2006,21218
skgb,2007,32979
skgb,2008,36809
skgb,2009,34883
skgb,2010,39495
skgb,2011,38435
skgb,2012,32211
skgb,2013,28531
skgb,2014,31703
skgb,2015,34035
skgb,2016,35861
skgb,2017,36209
skgb,2018,40431
skgb,2019,43221
skgb,2020,41436
skgb,2021,42171
skgb,2022,
skgb,2023,
fsk_vatn,2003,0
fsk_vatn,2004,
fsk_vatn,2005,
fsk_vatn,2006,
fsk_vatn,2007,
fsk_vatn,2008,
fsk_vatn,2009,
fsk_vatn,2010,
fsk_vatn,2011,
fsk_vatn,2012,
fsk_vatn,2013,
fsk_vatn,2014,
fsk_vatn,2015,
fsk_vatn,2016,
fsk_vatn,2017,
fsk_vatn,2018,
fsk_vatn,2019,
fsk_vatn,2020,
fsk_vatn,2021,
fsk_vatn,2022,
fsk_vatn,2023,
utv_min,2003,118
utv_min,2004,98
utv_min,2005,99
utv_min,2006,128
utv_min,2007,111
utv_min,2008,116
utv_min,2009,87
utv_min,2010,110
utv_min,2011,117
utv_min,2012,138
utv_min,2013,144
utv_min,2014,185
utv_min,2015,189
utv_min,2016,231
utv_min,2017,237
utv_min,2018,287
utv_min,2019,327
utv_min,2020,221
utv_min,2021,297
utv_min,2022,
utv_min,2023,
livs_dk,2003,130
livs_dk,2004,151
livs_dk,2005,270
livs_dk,2006,197
livs_dk,2007,222
livs_dk,2008,289
livs_dk,2009,318
livs_dk,2010,227
livs_dk,2011,347
livs_dk,2012,324
livs_dk,2013,337
livs_dk,2014,404
livs_dk,2015,410
livs_dk,2016,472
livs_dk,2017,459
livs_dk,2018,475
livs_dk,2019,400
livs_dk,2020,491
livs_dk,2021,465
livs_dk,2022,
livs_dk,2023,
tilv_txtl,2003,116
tilv_txtl,2004,120
tilv_txtl,2005,133
tilv_txtl,2006,148
tilv_txtl,2007,149
tilv_txtl,2008,162
tilv_txtl,2009,154
tilv_txtl,2010,158
tilv_txtl,2011,153
tilv_txtl,2012,151
tilv_txtl,2013,156
tilv_txtl,2014,146
tilv_txtl,2015,166
tilv_txtl,2016,155
tilv_txtl,2017,110
tilv_txtl,2018,112
tilv_txtl,2019,122
tilv_txtl,2020,98
tilv_txtl,2021,110
tilv_txtl,2022,
tilv_txtl,2023,
ind_tra,2003,3862
ind_tra,2004,3879
ind_tra,2005,4867
ind_tra,2006,5507
ind_tra,2007,6616
ind_tra,2008,6673
ind_tra,2009,6083
ind_tra,2010,7126
ind_tra,2011,6760
ind_tra,2012,6189
ind_tra,2013,6395
ind_tra,2014,6308
ind_tra,2015,6653
ind_tra,2016,7045
ind_tra,2017,7721
ind_tra,2018,8310
ind_tra,2019,8998
ind_tra,2020,8420
ind_tra,2021,11960
ind_tra,2022,
ind_tra,2023,
msa_ppr,2003,1938
msa_ppr,2004,2039
msa_ppr,2005,1967
msa_ppr,2006,2579
msa_ppr,2007,2244
msa_ppr,2008,2569
msa_ppr,2009,2073
msa_ppr,2010,2051
msa_ppr,2011,2225
msa_ppr,2012,2092
msa_ppr,2013,1830
msa_ppr,2014,1444
msa_ppr,2015,1378
msa_ppr,2016,1414
msa_ppr,2017,1332
msa_ppr,2018,1557
msa_ppr,2019,1526
msa_ppr,2020,1056
msa_ppr,2021,1069
msa_ppr,2022,
msa_ppr,2023,
grf_rep,2003,26
grf_rep,2004,33
grf_rep,2005,38
grf_rep,2006,
grf_rep,2007,
grf_rep,2008,
grf_rep,2009,
grf_rep,2010,
grf_rep,2011,
grf_rep,2012,
grf_rep,2013,
grf_rep,2014,
grf_rep,2015,
grf_rep,2016,
grf_rep,2017,
grf_rep,2018,
grf_rep,2019,10
grf_rep,2020,5
grf_rep,2021,
grf_rep,2022,
grf_rep,2023,
tilv_sten,2003,2814
tilv_sten,2004,3317
tilv_sten,2005,4278
tilv_sten,2006,5934
tilv_sten,2007,6359
tilv_sten,2008,8693
tilv_sten,2009,7193
tilv_sten,2010,10206
tilv_sten,2011,7818
tilv_sten,2012,7970
tilv_sten,2013,8288
tilv_sten,2014,7488
tilv_sten,2015,6716
tilv_sten,2016,6978
tilv_sten,2017,7648
tilv_sten,2018,7985
tilv_sten,2019,9817
tilv_sten,2020,9859
tilv_sten,2021,11382
tilv_sten,2022,
tilv_sten,2023,
gmi_pls,2003,1295
gmi_pls,2004,1318
gmi_pls,2005,1441
gmi_pls,2006,1753
gmi_pls,2007,1714
gmi_pls,2008,1423
gmi_pls,2009,1257
gmi_pls,2010,1265
gmi_pls,2011,1418
gmi_pls,2012,1341
gmi_pls,2013,1246
gmi_pls,2014,1492
gmi_pls,2015,1674
gmi_pls,2016,1691
gmi_pls,2017,1946
gmi_pls,2018,1964
gmi_pls,2019,1866
gmi_pls,2020,1657
gmi_pls,2021,1833
gmi_pls,2022,
gmi_pls,2023,
ind_min,2003,977
ind_min,2004,1052
ind_min,2005,1144
ind_min,2006,1198
ind_min,2007,1457
ind_min,2008,1620
ind_min,2009,1358
ind_min,2010,1403
ind_min,2011,1562
ind_min,2012,1484
ind_min,2013,1324
ind_min,2014,1407
ind_min,2015,1466
ind_min,2016,1479
ind_min,2017,1836
ind_min,2018,1893
ind_min,2019,1972
ind_min,2020,2159
ind_min,2021,1896
ind_min,2022,
ind_min,2023,
stl_met,2003,1293
stl_met,2004,1554
stl_met,2005,1801
stl_met,2006,1924
stl_met,2007,2382
stl_met,2008,2862
stl_met,2009,1415
stl_met,2010,2090
stl_met,2011,2108
stl_met,2012,2727
stl_met,2013,2927
stl_met,2014,3339
