sni_id,year,ant_forv_tot_reg
bygg,2000,
bygg,2001,
bygg,2002,
bygg,2003,
bygg,2004,
bygg,2005,
bygg,2006,
bygg,2007,
bygg,2008,293637
bygg,2009,288532
bygg,2010,300647
bygg,2011,314122
bygg,2012,317933
bygg,2013,318302
bygg,2014,322446
bygg,2015,333079
bygg,2016,343661
bygg,2017,354443
bygg,2018,363517
bygg,2019,362903
bygg,2020,364989
bygg,2021,373897
bygg,2022,387660
bygg,2023,
el_gas_avl,2000,
el_gas_avl,2001,
el_gas_avl,2002,
el_gas_avl,2003,
el_gas_avl,2004,
el_gas_avl,2005,
el_gas_avl,2006,
el_gas_avl,2007,
el_gas_avl,2008,44406
el_gas_avl,2009,44775
el_gas_avl,2010,45114
el_gas_avl,2011,45781
el_gas_avl,2012,47211
el_gas_avl,2013,47588
el_gas_avl,2014,48684
el_gas_avl,2015,49311
el_gas_avl,2016,49614
el_gas_avl,2017,50390
el_gas_avl,2018,51274
el_gas_avl,2019,51754
el_gas_avl,2020,53783
el_gas_avl,2021,55370
el_gas_avl,2022,55820
el_gas_avl,2023,
fastighetsbolag_g,2000,
fastighetsbolag_g,2001,
fastighetsbolag_g,2002,
fastighetsbolag_g,2003,
fastighetsbolag_g,2004,
fastighetsbolag_g,2005,
fastighetsbolag_g,2006,
fastighetsbolag_g,2007,
fastighetsbolag_g,2008,65950
fastighetsbolag_g,2009,66512
fastighetsbolag_g,2010,67193
fastighetsbolag_g,2011,69156
fastighetsbolag_g,2012,70549
fastighetsbolag_g,2013,73838
fastighetsbolag_g,2014,74325
fastighetsbolag_g,2015,76821
fastighetsbolag_g,2016,78662
fastighetsbolag_g,2017,80130
fastighetsbolag_g,2018,81529
fastighetsbolag_g,2019,86303
fastighetsbolag_g,2020,87506
fastighetsbolag_g,2021,88645
fastighetsbolag_g,2022,89132
fastighetsbolag_g,2023,
finans,2000,
finans,2001,
finans,2002,
finans,2003,
finans,2004,
finans,2005,
finans,2006,
finans,2007,
finans,2008,91135
finans,2009,88887
finans,2010,89789
finans,2011,90068
finans,2012,90348
finans,2013,91028
finans,2014,91690
finans,2015,92600
finans,2016,93534
finans,2017,95089
finans,2018,96138
finans,2019,96046
finans,2020,98504
finans,2021,101060
finans,2022,106351
finans,2023,
foretagstjanster_g,2000,
foretagstjanster_g,2001,
foretagstjanster_g,2002,
foretagstjanster_g,2003,
foretagstjanster_g,2004,
foretagstjanster_g,2005,
foretagstjanster_g,2006,
foretagstjanster_g,2007,
foretagstjanster_g,2008,470817
foretagstjanster_g,2009,457696
foretagstjanster_g,2010,479953
foretagstjanster_g,2011,504528
foretagstjanster_g,2012,519983
foretagstjanster_g,2013,526130
foretagstjanster_g,2014,533600
foretagstjanster_g,2015,553322
foretagstjanster_g,2016,568463
foretagstjanster_g,2017,591664
foretagstjanster_g,2018,605090
foretagstjanster_g,2019,615489
foretagstjanster_g,2020,601235
foretagstjanster_g,2021,637389
foretagstjanster_g,2022,670292
foretagstjanster_g,2023,
hand_g,2000,
hand_g,2001,
hand_g,2002,
hand_g,2003,
hand_g,2004,
hand_g,2005,
hand_g,2006,
hand_g,2007,
hand_g,2008,546439
hand_g,2009,529618
hand_g,2010,546433
hand_g,2011,554367
hand_g,2012,561176
hand_g,2013,564338
hand_g,2014,566954
hand_g,2015,572862
hand_g,2016,581684
hand_g,2017,587529
hand_g,2018,591639
hand_g,2019,594355
hand_g,2020,588073
hand_g,2021,599315
hand_g,2022,610943
hand_g,2023,
hotell_rest_i,2000,
hotell_rest_i,2001,
hotell_rest_i,2002,
hotell_rest_i,2003,
hotell_rest_i,2004,
hotell_rest_i,2005,
hotell_rest_i,2006,
hotell_rest_i,2007,
hotell_rest_i,2008,128393
hotell_rest_i,2009,129816
hotell_rest_i,2010,139040
hotell_rest_i,2011,140698
hotell_rest_i,2012,150151
hotell_rest_i,2013,157342
hotell_rest_i,2014,159910
hotell_rest_i,2015,164006
hotell_rest_i,2016,167643
hotell_rest_i,2017,169199
hotell_rest_i,2018,168913
hotell_rest_i,2019,182575
hotell_rest_i,2020,160438
hotell_rest_i,2021,178059
hotell_rest_i,2022,194409
hotell_rest_i,2023,
information_komm,2000,
information_komm,2001,
information_komm,2002,
information_komm,2003,
information_komm,2004,
information_komm,2005,
information_komm,2006,
information_komm,2007,
information_komm,2008,168863
information_komm,2009,165920
information_komm,2010,166111
information_komm,2011,171191
information_komm,2012,173694
information_komm,2013,176013
information_komm,2014,178089
information_komm,2015,178994
information_komm,2016,197455
information_komm,2017,202898
information_komm,2018,209651
information_komm,2019,217687
information_komm,2020,219479
information_komm,2021,232100
information_komm,2022,245658
information_komm,2023,
jord_skog,2000,
jord_skog,2001,
jord_skog,2002,
jord_skog,2003,
jord_skog,2004,
jord_skog,2005,
jord_skog,2006,
jord_skog,2007,
jord_skog,2008,74307
jord_skog,2009,76198
jord_skog,2010,80001
jord_skog,2011,100264
jord_skog,2012,100130
jord_skog,2013,100907
jord_skog,2014,100564
jord_skog,2015,99312
jord_skog,2016,94772
jord_skog,2017,96551
jord_skog,2018,92678
jord_skog,2019,97685
jord_skog,2020,95957
jord_skog,2021,93966
jord_skog,2022,92866
jord_skog,2023,
kulturella,2000,
kulturella,2001,
kulturella,2002,
kulturella,2003,
kulturella,2004,
kulturella,2005,
kulturella,2006,
kulturella,2007,
kulturella,2008,184725
kulturella,2009,187024
kulturella,2010,190871
kulturella,2011,195368
kulturella,2012,201966
kulturella,2013,206916
kulturella,2014,208187
kulturella,2015,209780
kulturella,2016,212266
kulturella,2017,213418
kulturella,2018,214640
kulturella,2019,230989
kulturella,2020,219692
kulturella,2021,228489
kulturella,2022,234350
kulturella,2023,
offentlig_forv,2000,
offentlig_forv,2001,
offentlig_forv,2002,
offentlig_forv,2003,
offentlig_forv,2004,
offentlig_forv,2005,
offentlig_forv,2006,
offentlig_forv,2007,
offentlig_forv,2008,239555
offentlig_forv,2009,240410
offentlig_forv,2010,246125
offentlig_forv,2011,252282
offentlig_forv,2012,256390
offentlig_forv,2013,264245
offentlig_forv,2014,267784
offentlig_forv,2015,271747
offentlig_forv,2016,282302
offentlig_forv,2017,293087
offentlig_forv,2018,305145
offentlig_forv,2019,304473
offentlig_forv,2020,321152
offentlig_forv,2021,326858
offentlig_forv,2022,334805
offentlig_forv,2023,
bransch_ospe,2000,
bransch_ospe,2001,
bransch_ospe,2002,
bransch_ospe,2003,
bransch_ospe,2004,
bransch_ospe,2005,
bransch_ospe,2006,
bransch_ospe,2007,
bransch_ospe,2008,50674
bransch_ospe,2009,45895
bransch_ospe,2010,47591
bransch_ospe,2011,52541
bransch_ospe,2012,52932
bransch_ospe,2013,52917
bransch_ospe,2014,53728
bransch_ospe,2015,53067
bransch_ospe,2016,50073
bransch_ospe,2017,52831
bransch_ospe,2018,51171
bransch_ospe,2019,63337
bransch_ospe,2020,68834
bransch_ospe,2021,67567
bransch_ospe,2022,66918
bransch_ospe,2023,
tillverkning_utv,2000,
tillverkning_utv,2001,
