sni_id,year,res_rakn
jur_andra,2000,
jur_andra,2001,
jur_andra,2002,
jur_andra,2003,
jur_andra,2004,
jur_andra,2005,
jur_andra,2006,
jur_andra,2007,
jur_andra,2008,-4202
jur_andra,2009,3704
jur_andra,2010,5490
jur_andra,2011,4876
jur_andra,2012,3799
jur_andra,2013,3541
jur_andra,2014,4744
jur_andra,2015,5394
jur_andra,2016,7151
jur_andra,2017,7009
jur_andra,2018,7950
jur_andra,2019,7403
jur_andra,2020,8295
jur_andra,2021,10809
jur_andra,2022,6139
jur_andra,2023,
andra_kons,2000,
andra_kons,2001,
andra_kons,2002,
andra_kons,2003,
andra_kons,2004,
andra_kons,2005,
andra_kons,2006,
andra_kons,2007,
andra_kons,2008,3834
andra_kons,2009,3991
andra_kons,2010,4930
andra_kons,2011,4981
andra_kons,2012,5064
andra_kons,2013,5445
andra_kons,2014,5838
andra_kons,2015,6169
andra_kons,2016,6736
andra_kons,2017,6762
andra_kons,2018,7230
andra_kons,2019,7442
andra_kons,2020,6744
andra_kons,2021,7417
andra_kons,2022,6667
andra_kons,2023,
anlaggningar_for,2000,
anlaggningar_for,2001,
anlaggningar_for,2002,
anlaggningar_for,2003,
anlaggningar_for,2004,
anlaggningar_for,2005,
anlaggningar_for,2006,
anlaggningar_for,2007,
anlaggningar_for,2008,1
anlaggningar_for,2009,17
anlaggningar_for,2010,18
anlaggningar_for,2011,33
anlaggningar_for,2012,19
anlaggningar_for,2013,27
anlaggningar_for,2014,41
anlaggningar_for,2015,45
anlaggningar_for,2016,59
anlaggningar_for,2017,48
anlaggningar_for,2018,57
anlaggningar_for,2019,68
anlaggningar_for,2020,11
anlaggningar_for,2021,116
anlaggningar_for,2022,-3
anlaggningar_for,2023,
anlaggningsentreprenorer,2000,
anlaggningsentreprenorer,2001,
anlaggningsentreprenorer,2002,
anlaggningsentreprenorer,2003,
anlaggningsentreprenorer,2004,
anlaggningsentreprenorer,2005,
anlaggningsentreprenorer,2006,
anlaggningsentreprenorer,2007,
anlaggningsentreprenorer,2008,1349
anlaggningsentreprenorer,2009,393
anlaggningsentreprenorer,2010,347
anlaggningsentreprenorer,2011,1137
anlaggningsentreprenorer,2012,308
anlaggningsentreprenorer,2013,721
anlaggningsentreprenorer,2014,1527
anlaggningsentreprenorer,2015,1399
anlaggningsentreprenorer,2016,2067
anlaggningsentreprenorer,2017,3176
anlaggningsentreprenorer,2018,4995
anlaggningsentreprenorer,2019,3172
anlaggningsentreprenorer,2020,2053
anlaggningsentreprenorer,2021,3462
anlaggningsentreprenorer,2022,1297
anlaggningsentreprenorer,2023,
andra_till,2000,
andra_till,2001,
andra_till,2002,
andra_till,2003,
andra_till,2004,
andra_till,2005,
andra_till,2006,
andra_till,2007,
andra_till,2008,-406
andra_till,2009,6742
andra_till,2010,6784
andra_till,2011,26872
andra_till,2012,8994
andra_till,2013,34173
andra_till,2014,10524
andra_till,2015,3796
andra_till,2016,1187
