country,year,ant_kon
jrd_skg,2003,
jrd_skg,2004,
jrd_skg,2005,
jrd_skg,2006,
jrd_skg,2007,
jrd_skg,2008,
jrd_skg,2009,70
jrd_skg,2010,116
jrd_skg,2011,102
jrd_skg,2012,93
jrd_skg,2013,119
jrd_skg,2014,95
jrd_skg,2015,86
jrd_skg,2016,66
jrd_skg,2017,69
jrd_skg,2018,92
jrd_skg,2019,107
jrd_skg,2020,49
jrd_skg,2021,55
jrd_skg,2022,49
jrd_skg,2023,67
tilv_ind,2003,
tilv_ind,2004,
tilv_ind,2005,
tilv_ind,2006,
tilv_ind,2007,
tilv_ind,2008,
tilv_ind,2009,640
tilv_ind,2010,519
tilv_ind,2011,460
tilv_ind,2012,489
tilv_ind,2013,497
tilv_ind,2014,458
tilv_ind,2015,416
tilv_ind,2016,376
tilv_ind,2017,353
tilv_ind,2018,383
tilv_ind,2019,396
tilv_ind,2020,387
tilv_ind,2021,315
tilv_ind,2022,327
tilv_ind,2023,404
bygg,2003,
bygg,2004,
bygg,2005,
bygg,2006,
bygg,2007,
bygg,2008,
bygg,2009,986
bygg,2010,1039
bygg,2011,1062
bygg,2012,1202
bygg,2013,1277
bygg,2014,1259
bygg,2015,1043
bygg,2016,1067
bygg,2017,1240
bygg,2018,1338
bygg,2019,1351
bygg,2020,1271
bygg,2021,1236
bygg,2022,1260
bygg,2023,1725
hnd_motc,2003,
hnd_motc,2004,
hnd_motc,2005,
hnd_motc,2006,
hnd_motc,2007,
hnd_motc,2008,
hnd_motc,2009,252
hnd_motc,2010,218
hnd_motc,2011,206
hnd_motc,2012,219
hnd_motc,2013,245
hnd_motc,2014,250
hnd_motc,2015,259
hnd_motc,2016,204
hnd_motc,2017,232
hnd_motc,2018,250
hnd_motc,2019,297
hnd_motc,2020,254
hnd_motc,2021,264
hnd_motc,2022,322
hnd_motc,2023,402
prt_prv,2003,
prt_prv,2004,
prt_prv,2005,
prt_prv,2006,
prt_prv,2007,
prt_prv,2008,
prt_prv,2009,651
prt_prv,2010,520
prt_prv,2011,515
prt_prv,2012,549
prt_prv,2013,625
prt_prv,2014,575
prt_prv,2015,533
prt_prv,2016,456
prt_prv,2017,491
prt_prv,2018,501
prt_prv,2019,449
prt_prv,2020,517
prt_prv,2021,357
prt_prv,2022,435
prt_prv,2023,521
det_hnd,2003,
det_hnd,2004,
det_hnd,2005,
det_hnd,2006,
det_hnd,2007,
det_hnd,2008,
det_hnd,2009,927
det_hnd,2010,758
det_hnd,2011,822
det_hnd,2012,868
det_hnd,2013,938
det_hnd,2014,772
det_hnd,2015,740
det_hnd,2016,665
det_hnd,2017,735
det_hnd,2018,747
det_hnd,2019,801
det_hnd,2020,746
det_hnd,2021,642
det_hnd,2022,736
det_hnd,2023,945
transp_mag,2003,
transp_mag,2004,
transp_mag,2005,
transp_mag,2006,
transp_mag,2007,
transp_mag,2008,
transp_mag,2009,369
transp_mag,2010,349
transp_mag,2011,318
transp_mag,2012,367
transp_mag,2013,393
transp_mag,2014,335
transp_mag,2015,338
transp_mag,2016,286
transp_mag,2017,292
transp_mag,2018,360
transp_mag,2019,345
transp_mag,2020,404
transp_mag,2021,343
transp_mag,2022,322
transp_mag,2023,406
htl_log,2003,
htl_log,2004,
htl_log,2005,
htl_log,2006,
htl_log,2007,
htl_log,2008,
htl_log,2009,24
htl_log,2010,34
htl_log,2011,39
htl_log,2012,35
htl_log,2013,35
htl_log,2014,24
htl_log,2015,27
htl_log,2016,17
htl_log,2017,23
htl_log,2018,37
htl_log,2019,27
htl_log,2020,49
htl_log,2021,44
htl_log,2022,12
htl_log,2023,34
rst_bar,2003,
rst_bar,2004,
rst_bar,2005,
rst_bar,2006,
rst_bar,2007,
rst_bar,2008,
rst_bar,2009,424
rst_bar,2010,458
rst_bar,2011,456
rst_bar,2012,416
rst_bar,2013,436
rst_bar,2014,451
rst_bar,2015,424
rst_bar,2016,402
rst_bar,2017,484
rst_bar,2018,546
rst_bar,2019,586
rst_bar,2020,672
rst_bar,2021,572
rst_bar,2022,630
rst_bar,2023,761
inf_komm,2003,
inf_komm,2004,
inf_komm,2005,
inf_komm,2006,
inf_komm,2007,
inf_komm,2008,
inf_komm,2009,275
inf_komm,2010,281
inf_komm,2011,245
inf_komm,2012,252
inf_komm,2013,288
inf_komm,2014,255
inf_komm,2015,267
inf_komm,2016,246
inf_komm,2017,278
inf_komm,2018,311
inf_komm,2019,319
inf_komm,2020,284
inf_komm,2021,264
inf_komm,2022,281
inf_komm,2023,397
finns_frtg,2003,
finns_frtg,2004,
finns_frtg,2005,
finns_frtg,2006,
finns_frtg,2007,
finns_frtg,2008,
finns_frtg,2009,1380
finns_frtg,2010,1374
finns_frtg,2011,1311
finns_frtg,2012,1402
finns_frtg,2013,1548
finns_frtg,2014,1462
finns_frtg,2015,1327
finns_frtg,2016,1267
finns_frtg,2017,1218
finns_frtg,2018,1342
finns_frtg,2019,1465
finns_frtg,2020,1569
finns_frtg,2021,1338
finns_frtg,2022,1389
finns_frtg,2023,1770
utb_hls,2003,
utb_hls,2004,
utb_hls,2005,
utb_hls,2006,
utb_hls,2007,
utb_hls,2008,
utb_hls,2009,372
utb_hls,2010,406
utb_hls,2011,412
utb_hls,2012,446
utb_hls,2013,506
utb_hls,2014,519
utb_hls,2015,411
utb_hls,2016,390
utb_hls,2017,476
utb_hls,2018,559
utb_hls,2019,630
utb_hls,2020,546
utb_hls,2021,566
utb_hls,2022,581
utb_hls,2023,808
ospec,2003,
ospec,2004,
ospec,2005,
ospec,2006,
ospec,2007,
ospec,2008,
ospec,2009,1213
ospec,2010,1151
ospec,2011,961
ospec,2012,1095
ospec,2013,753
ospec,2014,658
ospec,2015,522
ospec,2016,538
ospec,2017,454
ospec,2018,719
ospec,2019,550
ospec,2020,498
ospec,2021,418
ospec,2022,446
ospec,2023,583
