country,year,arbk_med
tot,2003,
tot,2004,
tot,2005,
tot,2006,
tot,2007,
tot,2008,4611.1
tot,2009,4517.4
tot,2010,4547.6
tot,2011,4652.2
tot,2012,4688.2
tot,2013,4736
tot,2014,4805.3
tot,2015,4877.7
tot,2016,4975.1
tot,2017,5099.9
tot,2018,5186.1
tot,2019,5219.4
tot,2020,5152.7
tot,2021,5217.9
tot,2022,5400.1
tot,2023,
nrg_tot,2003,
nrg_tot,2004,
nrg_tot,2005,
nrg_tot,2006,
nrg_tot,2007,
nrg_tot,2008,3160
nrg_tot,2009,3092.4
nrg_tot,2010,3129.3
nrg_tot,2011,3229.5
nrg_tot,2012,3252.2
nrg_tot,2013,3280.8
nrg_tot,2014,3329.7
nrg_tot,2015,3368.5
nrg_tot,2016,3424.6
nrg_tot,2017,3519.7
nrg_tot,2018,3590.9
nrg_tot,2019,3613.1
nrg_tot,2020,3551.8
nrg_tot,2021,3600.3
nrg_tot,2022,3758
nrg_tot,2023,
varuprod,2003,
varuprod,2004,
varuprod,2005,
varuprod,2006,
varuprod,2007,
varuprod,2008,1110.5
varuprod,2009,1049.9
varuprod,2010,1047.8
varuprod,2011,1082.4
varuprod,2012,1080.6
varuprod,2013,1072.6
varuprod,2014,1073.3
varuprod,2015,1070.3
varuprod,2016,1063.1
varuprod,2017,1104.2
varuprod,2018,1130.4
varuprod,2019,1133.1
varuprod,2020,1126.2
varuprod,2021,1140.9
varuprod,2022,1171.6
varuprod,2023,
jrd_skg,2003,
jrd_skg,2004,
jrd_skg,2005,
jrd_skg,2006,
jrd_skg,2007,
jrd_skg,2008,112.3
jrd_skg,2009,112.5
jrd_skg,2010,116.8
jrd_skg,2011,127.8
jrd_skg,2012,131.7
jrd_skg,2013,132.7
jrd_skg,2014,133.4
jrd_skg,2015,132.4
jrd_skg,2016,128.8
jrd_skg,2017,131.4
jrd_skg,2018,130.8
jrd_skg,2019,134.3
jrd_skg,2020,137.5
jrd_skg,2021,138.1
jrd_skg,2022,138.3
jrd_skg,2023,
jrbk_serv,2003,
jrbk_serv,2004,
jrbk_serv,2005,
jrbk_serv,2006,
jrbk_serv,2007,
jrbk_serv,2008,66.5
jrbk_serv,2009,67
jrbk_serv,2010,69.7
jrbk_serv,2011,74.6
jrbk_serv,2012,73.5
jrbk_serv,2013,73.9
jrbk_serv,2014,73.6
jrbk_serv,2015,72.9
jrbk_serv,2016,71.9
jrbk_serv,2017,73
jrbk_serv,2018,72.9
jrbk_serv,2019,73.5
jrbk_serv,2020,74.9
jrbk_serv,2021,75.6
jrbk_serv,2022,75.5
jrbk_serv,2023,
skgb,2003,
skgb,2004,
skgb,2005,
skgb,2006,
skgb,2007,
skgb,2008,43.8
skgb,2009,43.4
skgb,2010,45
skgb,2011,51.2
skgb,2012,56.2
skgb,2013,56.9
skgb,2014,57.9
skgb,2015,57.7
skgb,2016,55.2
skgb,2017,56.8
skgb,2018,56.3
skgb,2019,59.2
skgb,2020,61.1
skgb,2021,60.9
skgb,2022,61.2
skgb,2023,
fsk_vtn,2003,
fsk_vtn,2004,
fsk_vtn,2005,
fsk_vtn,2006,
fsk_vtn,2007,
fsk_vtn,2008,2
fsk_vtn,2009,2.1
fsk_vtn,2010,2.1
fsk_vtn,2011,2
fsk_vtn,2012,2
fsk_vtn,2013,1.9
fsk_vtn,2014,1.9
fsk_vtn,2015,1.8
fsk_vtn,2016,1.7
fsk_vtn,2017,1.6
fsk_vtn,2018,1.6
fsk_vtn,2019,1.6
fsk_vtn,2020,1.5
fsk_vtn,2021,1.6
fsk_vtn,2022,1.6
fsk_vtn,2023,
grv_min,2003,
grv_min,2004,
grv_min,2005,
grv_min,2006,
grv_min,2007,
grv_min,2008,656.2
grv_min,2009,594.1
grv_min,2010,583.3
grv_min,2011,591.9
grv_min,2012,580.7
grv_min,2013,568.5
grv_min,2014,561.9
grv_min,2015,551.4
grv_min,2016,542.2
grv_min,2017,554.9
grv_min,2018,568.4
grv_min,2019,566
grv_min,2020,556.3
grv_min,2021,561.9
grv_min,2022,578.6
grv_min,2023,
utv_min,2003,
utv_min,2004,
utv_min,2005,
utv_min,2006,
utv_min,2007,
utv_min,2008,9.2
utv_min,2009,8.4
utv_min,2010,8.8
utv_min,2011,9.3
utv_min,2012,9.6
utv_min,2013,9.9
utv_min,2014,10
utv_min,2015,9.3
utv_min,2016,9.2
utv_min,2017,9.2
utv_min,2018,9.6
utv_min,2019,9.7
utv_min,2020,10
utv_min,2021,10.5
utv_min,2022,10.7
utv_min,2023,
tilv_ind,2003,
tilv_ind,2004,
tilv_ind,2005,
tilv_ind,2006,
