country,year,arbk_tim
tot,2003,
tot,2004,
tot,2005,
tot,2006,
tot,2007,
tot,2008,7501
tot,2009,7279
tot,2010,7453
tot,2011,7629
tot,2012,7621
tot,2013,7653
tot,2014,7769
tot,2015,7894
tot,2016,8112
tot,2017,8247
tot,2018,8381
tot,2019,8356
tot,2020,8086
tot,2021,8296
tot,2022,8555
tot,2023,
nrg_tot,2003,
nrg_tot,2004,
nrg_tot,2005,
nrg_tot,2006,
nrg_tot,2007,
nrg_tot,2008,5370
nrg_tot,2009,5161
nrg_tot,2010,5327
nrg_tot,2011,5492
nrg_tot,2012,5464
nrg_tot,2013,5485
nrg_tot,2014,5567
nrg_tot,2015,5655
nrg_tot,2016,5797
nrg_tot,2017,5892
nrg_tot,2018,5994
nrg_tot,2019,5993
nrg_tot,2020,5734
nrg_tot,2021,5892
nrg_tot,2022,6130
nrg_tot,2023,
varuprod,2003,
varuprod,2004,
varuprod,2005,
varuprod,2006,
varuprod,2007,
varuprod,2008,2073
varuprod,2009,1920
varuprod,2010,1944
varuprod,2011,2001
varuprod,2012,1970
varuprod,2013,1961
varuprod,2014,1963
varuprod,2015,1955
varuprod,2016,1978
varuprod,2017,2014
varuprod,2018,2037
varuprod,2019,2036
varuprod,2020,1974
varuprod,2021,2028
varuprod,2022,2059
varuprod,2023,
jrd_skg,2003,
jrd_skg,2004,
jrd_skg,2005,
jrd_skg,2006,
jrd_skg,2007,
jrd_skg,2008,235
jrd_skg,2009,235
jrd_skg,2010,236
jrd_skg,2011,254
jrd_skg,2012,257
jrd_skg,2013,264
jrd_skg,2014,270
jrd_skg,2015,264
jrd_skg,2016,250
jrd_skg,2017,250
jrd_skg,2018,260
jrd_skg,2019,249
jrd_skg,2020,253
jrd_skg,2021,234
jrd_skg,2022,241
jrd_skg,2023,
jrbk_serv,2003,
jrbk_serv,2004,
jrbk_serv,2005,
jrbk_serv,2006,
jrbk_serv,2007,
jrbk_serv,2008,158
jrbk_serv,2009,159
jrbk_serv,2010,160
jrbk_serv,2011,165
jrbk_serv,2012,161
jrbk_serv,2013,169
jrbk_serv,2014,171
jrbk_serv,2015,165
jrbk_serv,2016,159
jrbk_serv,2017,155
jrbk_serv,2018,159
jrbk_serv,2019,152
jrbk_serv,2020,162
jrbk_serv,2021,146
jrbk_serv,2022,150
jrbk_serv,2023,
skgb,2003,
skgb,2004,
skgb,2005,
skgb,2006,
skgb,2007,
skgb,2008,75
skgb,2009,73
skgb,2010,74
skgb,2011,86
skgb,2012,93
skgb,2013,93
skgb,2014,97
skgb,2015,97
skgb,2016,89
skgb,2017,93
skgb,2018,99
skgb,2019,95
skgb,2020,89
skgb,2021,85
skgb,2022,88
skgb,2023,
fsk_vtn,2003,
fsk_vtn,2004,
fsk_vtn,2005,
fsk_vtn,2006,
fsk_vtn,2007,
fsk_vtn,2008,2
fsk_vtn,2009,3
fsk_vtn,2010,3
fsk_vtn,2011,2
fsk_vtn,2012,2
fsk_vtn,2013,2
fsk_vtn,2014,2
fsk_vtn,2015,2
fsk_vtn,2016,2
fsk_vtn,2017,2
fsk_vtn,2018,2
fsk_vtn,2019,2
fsk_vtn,2020,2
fsk_vtn,2021,3
fsk_vtn,2022,3
fsk_vtn,2023,
grv_min,2003,
grv_min,2004,
grv_min,2005,
grv_min,2006,
grv_min,2007,
grv_min,2008,1194
grv_min,2009,1051
grv_min,2010,1067
grv_min,2011,1087
grv_min,2012,1043
grv_min,2013,1019
grv_min,2014,1003
grv_min,2015,986
grv_min,2016,986
grv_min,2017,1012
grv_min,2018,1003
grv_min,2019,999
grv_min,2020,947
grv_min,2021,1005
grv_min,2022,992
grv_min,2023,
utv_min,2003,
utv_min,2004,
utv_min,2005,
utv_min,2006,
utv_min,2007,
utv_min,2008,16
utv_min,2009,15
utv_min,2010,16
utv_min,2011,17
utv_min,2012,17
utv_min,2013,18
utv_min,2014,18
utv_min,2015,18
utv_min,2016,17
utv_min,2017,18
utv_min,2018,19
utv_min,2019,19
utv_min,2020,20
utv_min,2021,22
utv_min,2022,22
utv_min,2023,
tilv_ind,2003,
tilv_ind,2004,
tilv_ind,2005,
tilv_ind,2006,
tilv_ind,2007,
tilv_ind,2008,1178
tilv_ind,2009,1036
tilv_ind,2010,1051
tilv_ind,2011,1070
tilv_ind,2012,1026
tilv_ind,2013,1001
tilv_ind,2014,985
tilv_ind,2015,969
tilv_ind,2016,969
tilv_ind,2017,994
tilv_ind,2018,984
tilv_ind,2019,980
tilv_ind,2020,926
tilv_ind,2021,983
tilv_ind,2022,970
tilv_ind,2023,
livs_dk,2003,
livs_dk,2004,
livs_dk,2005,
