sni_id,year,co_skatt
flygbolag,2000,
flygbolag,2001,
flygbolag,2002,
flygbolag,2003,
flygbolag,2004,
flygbolag,2005,
flygbolag,2006,
flygbolag,2007,
flygbolag,2008,3.82064786428815
flygbolag,2009,4.05439107248889
flygbolag,2010,5.47353740919819
flygbolag,2011,4.02255109052311
flygbolag,2012,3.13014578027181
flygbolag,2013,1.88412290423716
flygbolag,2014,1.67509985245643
flygbolag,2015,1.44825648673178
flygbolag,2016,1.68573141233234
flygbolag,2017,1.23717203940332
flygbolag,2018,1.10337185712493
flygbolag,2019,1.1240393079812
flygbolag,2020,0.970794240277527
flygbolag,2021,0.929251431863272
flygbolag,2022,
flygbolag,2023,
landtransportforetag_rort,2000,
landtransportforetag_rort,2001,
landtransportforetag_rort,2002,
landtransportforetag_rort,2003,
landtransportforetag_rort,2004,
landtransportforetag_rort,2005,
landtransportforetag_rort,2006,
landtransportforetag_rort,2007,
landtransportforetag_rort,2008,3759.67891646678
landtransportforetag_rort,2009,3538.30126274217
landtransportforetag_rort,2010,3753.90758459704
landtransportforetag_rort,2011,3414.83026873542
landtransportforetag_rort,2012,3240.72905700406
landtransportforetag_rort,2013,2891.71429896794
landtransportforetag_rort,2014,2722.70806856928
landtransportforetag_rort,2015,2558.74810565309
landtransportforetag_rort,2016,2276.86899411721
landtransportforetag_rort,2017,2179.11226732327
landtransportforetag_rort,2018,1924.90406340896
landtransportforetag_rort,2019,1736.32540959539
landtransportforetag_rort,2020,1585.41751395212
landtransportforetag_rort,2021,1739.14705809015
landtransportforetag_rort,2022,
landtransportforetag_rort,2023,
rederier,2000,
rederier,2001,
rederier,2002,
rederier,2003,
rederier,2004,
rederier,2005,
rederier,2006,
rederier,2007,
rederier,2008,71.7113561493233
rederier,2009,71.2677147691125
rederier,2010,78.0984057108294
rederier,2011,113.629181515133
rederier,2012,125.64656677715
rederier,2013,112.486060110166
rederier,2014,105.909977911154
rederier,2015,108.175392164321
rederier,2016,108.960131797501
rederier,2017,106.993845940091
rederier,2018,108.775014614256
rederier,2019,92.5647787458605
rederier,2020,101.364398151831
rederier,2021,107.72936845467
rederier,2022,
rederier,2023,
totalt_tota,2000,
totalt_tota,2001,
totalt_tota,2002,
totalt_tota,2003,
totalt_tota,2004,
totalt_tota,2005,
totalt_tota,2006,
totalt_tota,2007,
totalt_tota,2008,25639
totalt_tota,2009,26085
totalt_tota,2010,27334
totalt_tota,2011,25369
totalt_tota,2012,25243
totalt_tota,2013,24031
totalt_tota,2014,23333
totalt_tota,2015,24604
totalt_tota,2016,24139
totalt_tota,2017,23530
totalt_tota,2018,22983
totalt_tota,2019,22167
totalt_tota,2020,20388
totalt_tota,2021,21921
totalt_tota,2022,
totalt_tota,2023,
