country,year,exp
jrd_skg,2003,335
jrd_skg,2004,349
jrd_skg,2005,304
jrd_skg,2006,336
jrd_skg,2007,470
jrd_skg,2008,539
jrd_skg,2009,536
jrd_skg,2010,635
jrd_skg,2011,687
jrd_skg,2012,657
jrd_skg,2013,649
jrd_skg,2014,685
jrd_skg,2015,728
jrd_skg,2016,759
jrd_skg,2017,1457
jrd_skg,2018,1500
jrd_skg,2019,1539
jrd_skg,2020,1532
jrd_skg,2021,1984
jrd_skg,2022,
jrd_skg,2023,
utv_min,2003,7
utv_min,2004,6
utv_min,2005,8
utv_min,2006,19
utv_min,2007,
utv_min,2008,10
utv_min,2009,8
utv_min,2010,8
utv_min,2011,7
utv_min,2012,8
utv_min,2013,7
utv_min,2014,7
utv_min,2015,7
utv_min,2016,9
utv_min,2017,6
utv_min,2018,8
utv_min,2019,8
utv_min,2020,6
utv_min,2021,8
utv_min,2022,
utv_min,2023,
livs_tb_kld,2003,62
livs_tb_kld,2004,75
livs_tb_kld,2005,154
livs_tb_kld,2006,80
livs_tb_kld,2007,81
livs_tb_kld,2008,95
livs_tb_kld,2009,80
livs_tb_kld,2010,106
livs_tb_kld,2011,57
livs_tb_kld,2012,66
livs_tb_kld,2013,53
livs_tb_kld,2014,56
livs_tb_kld,2015,57
livs_tb_kld,2016,62
livs_tb_kld,2017,50
livs_tb_kld,2018,53
livs_tb_kld,2019,36
livs_tb_kld,2020,33
livs_tb_kld,2021,34
livs_tb_kld,2022,
livs_tb_kld,2023,
trv_msa,2003,2093
trv_msa,2004,2299
trv_msa,2005,2433
trv_msa,2006,3041
trv_msa,2007,3015
trv_msa,2008,3358
trv_msa,2009,3195
trv_msa,2010,3144
trv_msa,2011,3262
trv_msa,2012,3217
trv_msa,2013,3015
trv_msa,2014,2808
trv_msa,2015,2384
trv_msa,2016,2864
trv_msa,2017,3017
trv_msa,2018,3473
trv_msa,2019,3300
trv_msa,2020,2836
trv_msa,2021,3485
trv_msa,2022,
trv_msa,2023,
tilv_sten,2003,680
tilv_sten,2004,797
tilv_sten,2005,1001
tilv_sten,2006,1468
tilv_sten,2007,1708
tilv_sten,2008,3102
tilv_sten,2009,1788
tilv_sten,2010,2340
tilv_sten,2011,2089
tilv_sten,2012,2344
tilv_sten,2013,2292
tilv_sten,2014,1981
tilv_sten,2015,2609
tilv_sten,2016,2619
tilv_sten,2017,3153
tilv_sten,2018,3153
tilv_sten,2019,3878
tilv_sten,2020,3832
tilv_sten,2021,4326
tilv_sten,2022,
tilv_sten,2023,
gmi_pls,2003,334
gmi_pls,2004,378
gmi_pls,2005,440
gmi_pls,2006,622
gmi_pls,2007,732
gmi_pls,2008,732
gmi_pls,2009,613
gmi_pls,2010,710
gmi_pls,2011,615
gmi_pls,2012,646
gmi_pls,2013,621
gmi_pls,2014,784
gmi_pls,2015,877
gmi_pls,2016,978
gmi_pls,2017,1035
gmi_pls,2018,1263
gmi_pls,2019,1242
gmi_pls,2020,1020
gmi_pls,2021,1050
gmi_pls,2022,
gmi_pls,2023,
ind_min,2003,149
ind_min,2004,193
ind_min,2005,242
ind_min,2006,237
ind_min,2007,274
ind_min,2008,257
ind_min,2009,309
ind_min,2010,261
ind_min,2011,265
ind_min,2012,296
ind_min,2013,243
ind_min,2014,261
ind_min,2015,258
ind_min,2016,287
ind_min,2017,335
ind_min,2018,353
ind_min,2019,344
ind_min,2020,322
ind_min,2021,334
ind_min,2022,
ind_min,2023,
stl_met,2003,458
stl_met,2004,606
stl_met,2005,713
stl_met,2006,752
stl_met,2007,761
stl_met,2008,1409
stl_met,2009,652
stl_met,2010,1079
stl_met,2011,991
stl_met,2012,1565
stl_met,2013,1710
stl_met,2014,2062
stl_met,2015,2360
stl_met,2016,1881
stl_met,2017,2063
stl_met,2018,1999
stl_met,2019,1939
stl_met,2020,1660
stl_met,2021,2143
stl_met,2022,
stl_met,2023,
ind_met_,2003,353
ind_met_,2004,334
ind_met_,2005,354
ind_met_,2006,493
ind_met_,2007,614
ind_met_,2008,224
ind_met_,2009,283
ind_met_,2010,189
ind_met_,2011,267
ind_met_,2012,502
ind_met_,2013,267
ind_met_,2014,260
ind_met_,2015,196
ind_met_,2016,176
ind_met_,2017,220
ind_met_,2018,203
ind_met_,2019,207
ind_met_,2020,231
ind_met_,2021,269
ind_met_,2022,
ind_met_,2023,
tilv_dat,2003,4204
tilv_dat,2004,4935
tilv_dat,2005,5947
tilv_dat,2006,6735
tilv_dat,2007,6432
tilv_dat,2008,10130
tilv_dat,2009,10629
tilv_dat,2010,6945
tilv_dat,2011,4602
tilv_dat,2012,4327
tilv_dat,2013,4340
tilv_dat,2014,3946
tilv_dat,2015,4168
tilv_dat,2016,4195
tilv_dat,2017,3818
tilv_dat,2018,3557
tilv_dat,2019,3395
tilv_dat,2020,3219
tilv_dat,2021,2876
tilv_dat,2022,
tilv_dat,2023,
elap,2003,4503
elap,2004,5021
elap,2005,5715
elap,2006,6987
elap,2007,8013
elap,2008,8945
elap,2009,7950
elap,2010,6909
elap,2011,7006
elap,2012,6937
elap,2013,5151
elap,2014,5052
elap,2015,5122
elap,2016,5391
elap,2017,5655
elap,2018,6946
elap,2019,8834
elap,2020,7571
elap,2021,8842
elap,2022,
elap,2023,
transp_ind,2003,296
transp_ind,2004,251
transp_ind,2005,292
transp_ind,2006,309
transp_ind,2007,446
transp_ind,2008,464
transp_ind,2009,375
transp_ind,2010,304
transp_ind,2011,333
transp_ind,2012,630
transp_ind,2013,631
transp_ind,2014,697
transp_ind,2015,1209
transp_ind,2016,923
transp_ind,2017,939
transp_ind,2018,887
transp_ind,2019,915
transp_ind,2020,603
transp_ind,2021,710
transp_ind,2022,
transp_ind,2023,
tilv_mob,2003,
tilv_mob,2004,
tilv_mob,2005,
tilv_mob,2006,
tilv_mob,2007,
tilv_mob,2008,
tilv_mob,2009,
tilv_mob,2010,
tilv_mob,2011,
tilv_mob,2012,
tilv_mob,2013,1
tilv_mob,2014,
tilv_mob,2015,
tilv_mob,2016,
tilv_mob,2017,
