country,is--country,name
jrbk_serv,TRUE,jordbruksföretag och serviceföretag till jordbruk
skgb,TRUE,skogsbruksföretag
fsk_vatn,TRUE,fiskare och vattenbrukare 
_mtl_serv,TRUE,utvinning av metallmalmer och annan utvinning av mineral samt service till utvinning
livs,TRUE,livsmedelsindustri
drk_tbk,TRUE,dryckesvaru- och tobaksindustri
drk,TRUE,dryckesvaruindustri
tbk,TRUE,tobaksindustri
txtl,TRUE,textilindustri
bekl_ind,TRUE,beklädnadsindustri
ind_ldr,TRUE,industri för läder och lädervaror
ind_tra,TRUE,industri för trä och varor av trä: kork och rotting o.d. utom möbler
msa_ppr,TRUE,massa-: pappers- och pappersvaruindustri
grf_rep,TRUE,grafisk och annan reproduktionsindustri
kmk_ind,TRUE,kemisk industri: petroleumprodukter och läkemedelsindustri
stn_pet,TRUE,tillverkning av stenkolsprodukter och raffinerade petroleumprodukter
tlv_kmk,TRUE,tillverkning av kemikalier och kemiska produkter
ind_far,TRUE,industri för farmaceutiska basprodukter och läkemedel
gmi_pls,TRUE,gummi- och plastvaruindustri
ind_min,TRUE,industri för andra icke-metalliska mineraliska produkter
stl_met,TRUE,stål- och metallverk
ind_met_,TRUE,industri för metallvaror utom maskiner och apparater
ind_dat,TRUE,industri för datorer: elektronikvaror: optik och elapparatur
ind_dat_ejel,TRUE,industri för datorer: elektronikvaror och optik
ind_elap,TRUE,industri för elapparatur
elap,TRUE,övrig maskinindustri
ind_mot_vag,TRUE,industri för motorfordon: släpfordon och påhängsvagnar
ann_transp,TRUE,annan transportmedelsindustri
mblind,TRUE,möbelindustri
ann_tilv,TRUE,annan tillverkningsindustri
rep_inst,TRUE,reparationsverkstäder och installationsföretag för maskiner och apparater
el_gs_vrm,TRUE,el-: gas- och värmeverk
vtnv,TRUE,vattenverk
rngv,TRUE,reningsverk
avf_trv,TRUE,avfallshanteringsanläggningar: återvinningsanläggningar
san_ftrb,TRUE,anläggningar för sanering: efterbehandling av jord och vatten samt annan verksamhet för föroreningsbekämpning 
bgg_ent,TRUE,byggentreprenörer
anl_ent,TRUE,anläggningsentreprenörer
spec_bgg,TRUE,specialiserade bygg- och anläggningsentreprenörer
hnd_motc,TRUE,handel med och serviceverkstäder för motorfordon och motorcyklar
